timestamp,mobile_timestamp,source_file,mobile_lat,mobile_lon,mobile_accuracy_m,AdvA,payload,CFO_Hz,CFO_00_Hz,CFO_11_Hz,CFO_10_Hz,CFO_01_Hz,CFO_from_transitions_Hz,nprod_00,nprod_11,nprod_10,nprod_01,nprod_total,crc_ok,is_tag_ecosystem,pdu_type,pdu_type_name,length,channel,phase,polarity,slip,window_start,window_end,aa_pos,aa_corr,pre_corr,cfo_window,eco,_adv_tag,_group_key
105.89223217964172,1769612141.3827507,Home_to_work_walking.csv,42.3448023,-71.0825832,16.659,ed:f9:de:76:41:d9,0ef31fd75fe81eff4c001219fef01f81ade882b2d922e53e6565ef5f89bead7fb9ce7602fe,-50232.61209656624,119930.10713391325,-214558.08405913072,98462.80644203426,-184625.55702658425,-44688.185090507104,497,540,510,516,2063,1,1,2,ADV_NONCONN_IND,37,37,5,-1,0,16774443,16775077,55,32,8,pre_aa_hdr_payload,APPLE,4c001219fe,tag::4c001219fe
116.229914188385,1769612151.7204328,Home_to_work_walking.csv,42.3448023,-71.0825832,16.659,ed:f9:de:76:41:d9,377c046e59dd1eff4c001219fe5c14a0ecc61b694cfb06a773a4d5b2e28226788d9ad500fe,-80453.85845640917,104392.80295442636,-216828.31095508536,95602.50586449924,-186616.84360818737,-58023.9543691703,461,612,492,498,2063,1,1,2,ADV_NONCONN_IND,37,37,0,-1,0,18284032,18284666,56,32,8,pre_aa_hdr_payload,APPLE,4c001219fe,tag::4c001219fe
129.98866319656372,1769612165.4791818,Home_to_work_walking.csv,42.3448023,-71.0825832,16.659,ed:f9:de:76:41:d9,f790fdf864ff1eff4c001219feae635dc15aaa7aef0409316eae457e245d0c84822e8a00fe,-48711.25504707996,114383.19537345169,-205164.46361847525,93740.15885224468,-177079.59179518872,-50211.27541223068,473,516,534,540,2063,1,1,2,ADV_NONCONN_IND,37,37,0,-1,0,20324393,20325028,56,32,8,pre_aa_hdr_payload,APPLE,4c001219fe,tag::4c001219fe
141.93917393684387,1769612177.4296925,Home_to_work_walking.csv,42.3448023,-71.0825832,16.659,ed:f9:de:76:41:d9,0ac906c0f9d11eff4c001219fe1e8f30c713117ac52f4a59dbe1c1b902f384e2e2f52300fe,-91981.67388532028,118420.53978039176,-221906.27048273827,97752.06148345533,-206206.0755735105,-69411.95381555283,443,666,474,480,2063,1,1,2,ADV_NONCONN_IND,37,37,0,-1,0,22264602,22265237,56,32,8,pre_aa_hdr_payload,APPLE,4c001219fe,tag::4c001219fe
154.044451713562,1769612189.5349703,Home_to_work_walking.csv,42.3448023,-71.0825832,16.659,ed:f9:de:76:41:d9,51b78283cbde1eff4c001219fe51369f04505a00ce0b4ae3c79bcb1b9f7321155caaaf01fe,-50310.31617066214,129309.73713396462,-218994.2653843784,95119.80216418851,-187815.2396441199,-39919.91101815696,593,564,450,456,2063,1,1,2,ADV_NONCONN_IND,37,37,5,-1,0,24097297,24097932,55,32,8,pre_aa_hdr_payload,APPLE,4c001219fe,tag::4c001219fe
164.37634563446045,1769612199.8668642,Home_to_work_walking.csv,42.3229969,-71.1085177,11.65,ed:f9:de:76:41:d9,b549494d78f21eff4c001219feee389cb4a71d040bd101f48ba9892cdb016bfe87083203fe,-55480.541707136494,114388.33655089028,-158826.25845302452,82138.8161566067,-163189.81613850477,-47663.911239847,443,738,438,444,2063,1,1,2,ADV_NONCONN_IND,37,37,0,-1,0,25723456,25724091,56,32,8,pre_aa_hdr_payload,APPLE,4c001219fe,tag::4c001219fe
165.0742163658142,1769612200.564735,Home_to_work_walking.csv,42.3229969,-71.1085177,11.65,f8:04:e1:a8:9a:f2,f29aa8e104f81eff4c00121900f8703ac92386e23913f0e29f0a015360b81fc3c21bc30300,-59838.4194049362,69358.09212755704,-132566.5165922944,90853.1984703117,-151304.1994473847,-41196.98139672668,413,642,504,504,2063,1,1,2,ADV_NONCONN_IND,37,37,5,-1,0,25826129,25826763,55,32,8,pre_aa_hdr_payload,APPLE,,
180.13798093795776,1769612215.6284995,Home_to_work_walking.csv,42.3229969,-71.1085177,11.65,ed:f9:de:76:41:d9,2932497b67d21eff4c001219fe61d13742bd711f202878ba185a5ad788059ae787f01001fe,-64157.66028779493,133487.1231200432,-182310.36530302904,111874.74128535792,-171499.50811495123,-50617.02248872459,419,774,432,438,2063,1,1,2,ADV_NONCONN_IND,37,37,0,-1,0,27991189,27991823,56,32,8,pre_aa_hdr_payload,APPLE,4c001219fe,tag::4c001219fe
192.57958126068115,1769612228.0700998,Home_to_work_walking.csv,42.3229969,-71.1085177,11.65,e3:22:94:6f:e5:c6,c6e56f9422e31eff4c001219d066996fd68bfe01a67f0260e30e74fc22d5deb0b1d35f010e,-43270.04531226951,164510.34623456385,-207423.21569603408,124434.50934934992,-165753.01818850928,-32015.239785958984,419,576,534,534,2063,1,1,0,ADV_IND,37,37,5,-1,0,29174332,29174966,55,32,8,pre_aa_hdr_payload,APPLE,,
194.4382939338684,1769612229.9288125,Home_to_work_walking.csv,42.3229969,-71.1085177,11.65,ed:f9:de:76:41:d9,f84df9e847dd1eff4c001219fe00c4839838c4fce36e3d8751d2c5aba95b23c939e1b202fe,-69676.5598671405,114563.58295011224,-210588.27274404417,79227.22454276084,-184223.37778653283,-57941.44825708503,455,570,516,522,2063,1,1,2,ADV_NONCONN_IND,37,37,5,-1,0,29541949,29542583,55,32,8,pre_aa_hdr_payload,APPLE,4c001219fe,tag::4c001219fe
