feature,mean_Benign,mean_Car_Adv,effect
cfo_std_norm_p90,28579.03541264993,55311.42933923531,6.557161167819198
CFO_11_Hz_std_p90,14444.602622106871,31070.237524114105,4.62695265931483
cfo_std_norm_p99,40724.85853106719,65915.91366623323,4.126761074395438
CFO_10_Hz_std_p90,16911.170600735386,28807.588626403267,3.89764118808447
seg_n_packets_p90,12.0,88.86999999999999,3.338890946271142
active_cfo_frac,0.35931961025492665,0.8912132441498432,2.963272184313297
CFO_00_Hz_std_p90,18744.45217014625,25551.597620644232,2.7921454726195094
seg_duration_obs_p50,45.30237500000112,427.0161358952522,2.707430986417149
CFO_11_Hz_std_p50,8786.67248998179,15960.872949035343,2.442327632481207
cfo_std_norm_p50,3475.3576062973293,27290.632414823594,2.38964722471963
heavy_segment_frac,0.07534832063062356,0.38271637199032216,2.3615105370284204
seg_duration_obs_p90,357.81876250000204,1088.5399800364178,2.1670828582242496
CFO_01_Hz_std_p90,20407.86255613788,27486.993363821795,2.0871223064287405
dev_ids_per_window_mean,305.3416666666667,10.31111111111111,1.8446291313561305
segments_per_window_mean,305.3416666666667,10.755555555555558,1.8418343168997389
long_segment_frac,0.1624309935292998,0.5367807014887523,1.8040130256385725
CFO_Hz_std_p50,9646.23919542434,6210.374095879247,1.7210707313517117
dev_ids_per_window_p90,421.62499999999994,13.900000000000002,1.6631669153269648
segments_per_window_p90,421.62499999999994,14.626666666666665,1.6601944730569553
seg_n_packets_p50,4.0,20.216666666666665,1.0225920112697278
CFO_Hz_std_p90,15433.853260429409,14227.937078799736,0.6574658085153179
CFO_10_Hz_std_p50,10401.115523190663,12758.041299130116,0.6473006236088821
CFO_00_Hz_std_p50,11680.706514095564,13078.517738721466,0.4599796907086959
CFO_01_Hz_std_p50,12795.999818904496,12617.39939302457,0.04875034228513988
