seg_id,eco,dev_id,t_start,t_end,n_packets,n_unique_adva_in_seg,n_adv_tag_packets,CFO_Hz_mean,CFO_Hz_std,CFO_Hz__iqr,CFO_00_Hz_mean,CFO_00_Hz_std,CFO_00_Hz__iqr,CFO_11_Hz_mean,CFO_11_Hz_std,CFO_11_Hz__iqr,CFO_10_Hz_mean,CFO_10_Hz_std,CFO_10_Hz__iqr,CFO_01_Hz_mean,CFO_01_Hz_std,CFO_01_Hz__iqr,duration_obs,duration_est,cfo_std_norm,label,src_file
0,APPLE,4A:A9:B3:FF:EF:92,1475.5850000000064,1475.5850000000064,1,1,0,-33073.0,,0.0,51386.0,,0.0,-100979.0,,0.0,73747.0,,0.0,-104979.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4B:56:B0:12:4E:94,828.7970000000059,828.7970000000059,1,1,0,-13147.0,,0.0,60300.0,,0.0,-81704.0,,0.0,82858.0,,0.0,-84642.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4B:B8:5B:21:62:2D,134.42799999999988,134.42799999999988,1,1,0,-22199.0,,0.0,56427.0,,0.0,-119310.0,,0.0,53544.0,,0.0,-144652.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4C:1C:EE:B2:6C:08,313.3100000000122,555.5140000000101,2,1,0,-22882.0,14474.475810888627,10235.0,48902.0,8366.48743499923,5916.0,-101047.5,14708.528155461376,10400.5,67634.5,4715.695123733086,3334.5,-113602.0,8768.12408671319,6200.0,242.2039999999979,1800.0,24391.948323165987,Benign,controlled/Benign/airport.csv
0,APPLE,4C:9A:7C:43:7F:78,191.51499999999945,191.51499999999945,1,1,0,-21140.0,,0.0,49579.0,,0.0,-100691.0,,0.0,61150.0,,0.0,-108742.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4D:A0:F8:56:75:D0,296.9780000000028,296.9780000000028,1,1,0,-23068.0,,0.0,73973.0,,0.0,-123278.0,,0.0,80685.0,,0.0,-150495.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4D:C9:5B:AA:1D:C8,996.1359999999986,996.1359999999986,1,1,0,-39152.0,,0.0,49483.0,,0.0,-102415.0,,0.0,61725.0,,0.0,-112136.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4D:CB:5B:A8:1D:DA,941.6929999999992,941.6929999999992,1,1,0,-27993.0,,0.0,47323.0,,0.0,-94273.0,,0.0,58797.0,,0.0,-119469.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4D:CB:5B:AA:1D:DA,717.5050000000047,717.5050000000047,1,1,0,-49371.0,,0.0,50501.0,,0.0,-94401.0,,0.0,53128.0,,0.0,-114814.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4D:E0:D8:D2:F5:D0,172.7390000000014,172.7390000000014,1,1,0,-21204.0,,0.0,51954.0,,0.0,-108299.0,,0.0,41886.0,,0.0,-101752.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4D:E0:DA:D6:F5:D0,423.4470000000001,423.4470000000001,1,1,0,-43057.0,,0.0,41554.0,,0.0,-117000.0,,0.0,44392.0,,0.0,-150846.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4D:E0:F8:46:DD:D0,216.7780000000057,216.7780000000057,1,1,0,-41542.0,,0.0,12997.0,,0.0,-108349.0,,0.0,43301.0,,0.0,-124770.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4D:E0:F8:46:F5:D0,758.2880000000005,758.2880000000005,1,1,0,-40284.0,,0.0,70889.0,,0.0,-112220.0,,0.0,58207.0,,0.0,-143806.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4D:E0:FA:46:F5:D0,592.073000000004,592.073000000004,1,1,0,-34335.0,,0.0,40878.0,,0.0,-97248.0,,0.0,46304.0,,0.0,-126710.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4D:E0:FA:52:D5:D0,142.65800000001036,142.65800000001036,1,1,0,-32507.0,,0.0,65529.0,,0.0,-111533.0,,0.0,64198.0,,0.0,-138312.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4D:E0:FA:52:F5:D0,615.8870000000024,615.8870000000024,1,1,0,-22044.0,,0.0,69071.0,,0.0,-128081.0,,0.0,49775.0,,0.0,-131466.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4D:E0:FA:52:FD:D0,399.2390000000014,399.2390000000014,1,1,0,-34246.0,,0.0,41569.0,,0.0,-105031.0,,0.0,54178.0,,0.0,-121214.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4D:E0:FA:56:75:D0,449.5570000000007,651.9539999999979,2,1,0,-37141.0,6147.5863556358445,4347.0,60316.0,31109.869945083345,21998.0,-96534.5,21908.289401502803,15491.5,59401.5,18296.387963201916,12937.5,-124569.0,13070.161743452145,9242.0,202.3969999999972,1800.0,44622.60538112942,Benign,controlled/Benign/airport.csv
0,APPLE,4D:E0:FA:56:D5:D0,1000.9640000000072,1000.9640000000072,1,1,0,-39470.0,,0.0,51155.0,,0.0,-104482.0,,0.0,35341.0,,0.0,-129586.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
