cluster_id,t_s,t_e,chunk_idx,mac,tag,n_keys,purity_cluster,entropy_cluster,is_quarantined,decision,d_best,n_rows_in_chunk_for_mac,seg_CFO_Hz,seg_CFO_00_Hz,seg_CFO_11_Hz,seg_CFO_10_Hz,seg_CFO_01_Hz
1,0.0,900.0,0,D3:E5:AF:15:52:F2,APPLE_FINDMY,1,1.0,0.0,0,SPAWN,,2,22252.5,135361.0,-75870.0,123855.0,-105458.5
1,0.0,900.0,0,C6:10:A6:2E:B4:5C,APPLE_FINDMY,1,0.5,0.999999999995672,0,MATCH,10.699109503758914,1,2833.0,144492.0,-129781.0,115656.0,-110001.0
1,0.0,900.0,0,CD:FC:40:37:65:F2,APPLE_FINDMY,1,0.3333333333333333,0.9999999999963589,0,MATCH,5.263725245663123,4,-15570.25,124194.25,-109710.25,118546.25,-114128.25
2,0.0,900.0,0,71:6D:67:FE:D5:F1,GOOGLE,1,1.0,0.0,0,SPAWN,,2,37489.5,169871.5,-135556.5,134805.0,-132715.0
3,0.0,900.0,0,C2:66:24:30:1E:2C,TILE,1,1.0,0.0,0,SPAWN,,1,46641.0,151037.0,-115791.0,125521.0,-127024.0
1,0.0,900.0,0,C4:CF:00:E9:2C:44,APPLE_FINDMY,1,0.25,0.9999999999963932,0,MATCH,8.130082915751364,1,-25803.0,130699.0,-129615.0,107794.0,-97530.0
1,0.0,900.0,0,D1:BD:AF:11:D0:F3,APPLE_FINDMY,1,0.2,0.999999999996272,0,MATCH,-1000000000000.0,1,53505.0,152106.0,-75341.0,138957.0,-104465.0
1,0.0,900.0,0,EA:91:89:35:2A:72,APPLE_FINDMY,1,0.16666666666666666,0.9999999999960932,0,MATCH,5.239311105411196,1,-20594.0,122822.0,-104218.0,114831.0,-98532.0
1,0.0,900.0,0,DE:44:5B:F6:D1:4F,APPLE_FINDMY,1,0.14285714285714285,0.999999999995889,0,MATCH,3.037516635556891,1,-15081.0,129024.0,-113468.0,110942.0,-113822.0
1,0.0,900.0,0,D3:75:AF:15:52:F2,APPLE_FINDMY,1,0.125,0.9999999999956719,0,MATCH,-1000000000000.0,1,47642.0,143797.0,-107532.0,138793.0,-111212.0
4,0.0,900.0,0,C9:4D:EA:3F:54:D9,APPLE_FINDMY,1,1.0,0.0,0,SPAWN,29.822737195426896,1,-23593.0,70792.0,-131901.0,78507.0,-124263.0
1,0.0,900.0,0,E3:D6:54:37:B4:20,APPLE_FINDMY,1,0.1111111111111111,0.9999999999954486,0,MATCH,11.68752084463171,1,-28462.0,129655.0,-145934.0,102815.0,-109205.0
1,0.0,900.0,0,D3:C5:AF:15:D0:F2,APPLE_FINDMY,1,0.1,0.9999999999952225,0,MATCH,-1000000000000.0,1,6488.0,159096.0,-122151.0,139089.0,-116114.0
1,0.0,900.0,0,EE:60:FE:43:D4:A4,APPLE_FINDMY,1,0.09090909090909091,0.9999999999949956,0,MATCH,3.454283978356568,2,-7521.0,152615.5,-132663.5,106988.5,-106754.0
1,0.0,900.0,0,F8:16:C1:A2:66:50,APPLE_FINDMY,1,0.08333333333333333,0.9999999999947683,0,MATCH,5.833845098184352,7,-24701.714285714286,143188.14285714287,-142189.14285714287,119311.42857142857,-117216.28571428571
1,0.0,900.0,0,F6:79:C9:8C:4A:EA,APPLE_FINDMY,1,0.07692307692307693,0.9999999999945417,0,MATCH,0.5371798200071619,3,-5042.333333333333,131150.0,-122340.0,117359.66666666667,-105190.66666666667
1,0.0,900.0,0,EF:61:AD:2D:B0:1F,APPLE_FINDMY,1,0.07142857142857142,0.9999999999943163,0,MATCH,2.8724676644483855,2,16597.0,143483.0,-130773.0,108603.5,-100408.5
1,0.0,900.0,0,1C:5E:84:32:66:50,APPLE_FINDMY,1,0.06666666666666667,0.9999999999940915,0,MATCH,-1000000000000.0,1,-25881.0,117641.0,-134026.0,106283.0,-114749.0
2,0.0,900.0,0,71:6D:46:BA:D5:F1,GOOGLE,1,0.5,0.999999999995672,0,MATCH,-1000000000000.0,1,3263.0,167919.0,-129571.0,121056.0,-116682.0
1,0.0,900.0,0,E5:88:A6:E9:20:48,APPLE_FINDMY,1,0.0625,0.9999999999938685,0,MATCH,10.663367626080225,2,28488.5,130534.5,-114161.0,93883.5,-85144.0
1,0.0,900.0,0,E6:90:AB:25:2B:15,APPLE_FINDMY,1,0.058823529411764705,0.9999999999936465,0,MATCH,3.7033073930728433,3,10663.333333333334,125923.0,-91174.0,103244.33333333333,-103620.66666666667
1,0.0,900.0,0,E8:A8:8E:9E:73:7F,APPLE_FINDMY,1,0.05555555555555555,0.9999999999934265,0,MATCH,3.296202406873602,1,-17956.0,147835.0,-119912.0,101573.0,-101764.0
2,0.0,900.0,0,71:6D:47:FE:C4:F1,GOOGLE,1,0.3333333333333333,0.9999999999963589,0,MATCH,-1000000000000.0,1,-3513.0,161459.0,-121606.0,126502.0,-128831.0
4,0.0,900.0,0,D1:43:1C:C8:F6:90,APPLE_FINDMY,1,0.5,0.999999999995672,0,MATCH,16.572231327643692,1,-52063.0,137756.0,-123750.0,85309.0,-111845.0
2,0.0,900.0,0,71:6D:47:DE:57:F1,GOOGLE,1,0.25,0.9999999999963932,0,MATCH,-1000000000000.0,1,0.0,164496.0,-107773.0,115573.0,-117466.0
1,0.0,900.0,0,F9:3D:69:7D:B8:2F,APPLE_FINDMY,1,0.05263157894736842,0.9999999999932072,0,MATCH,5.388893286565671,2,-24945.5,110371.0,-116744.0,102227.5,-103157.5
1,0.0,900.0,0,FD:7A:46:E0:28:51,APPLE_FINDMY,1,0.05,0.9999999999929898,0,MATCH,2.33501148156231,1,-15933.0,115634.0,-119637.0,104998.0,-106326.0
1,0.0,900.0,0,E8:FD:1A:11:CC:8E,APPLE_FINDMY,1,0.047619047619047616,0.9999999999927741,0,MATCH,3.9128431695193027,2,-6568.0,118958.5,-135592.0,97954.5,-100799.5
1,0.0,900.0,0,D2:3F:A7:31:D2:F2,APPLE_FINDMY,1,0.045454545454545456,0.9999999999925586,0,MATCH,-1000000000000.0,1,20160.0,148129.0,-109679.0,132321.0,-118764.0
1,0.0,900.0,0,E4:5E:7B:98:BF:13,APPLE_FINDMY,1,0.043478260869565216,0.9999999999923455,0,MATCH,5.321547466362963,1,0.0,118895.0,-137331.0,104858.0,-96804.0
1,0.0,900.0,0,EA:91:89:35:2A:7A,APPLE_FINDMY,1,0.041666666666666664,0.9999999999921334,0,MATCH,1.4080387765332538,21,-14573.857142857143,133024.85714285713,-128834.76190476191,115949.90476190476,-105430.23809523809
1,0.0,900.0,0,C8:3E:B6:ED:B2:3C,APPLE_FINDMY,1,0.04,0.9999999999919228,0,MATCH,5.955046726112511,2,7794.5,142089.0,-122292.0,93797.0,-91128.0
