timestamp,mobile_timestamp,source_file,mobile_lat,mobile_lon,mobile_accuracy_m,AdvA,payload,CFO_Hz,CFO_00_Hz,CFO_11_Hz,CFO_10_Hz,CFO_01_Hz,CFO_from_transitions_Hz,nprod_00,nprod_11,nprod_10,nprod_01,nprod_total,crc_ok,is_tag_ecosystem,pdu_type,pdu_type_name,length,channel,phase,polarity,slip,window_start,window_end,aa_pos,aa_corr,pre_corr,cfo_window,eco
1.0777153968811035,1769642002.9580517,stroll.csv,42.3469739,-71.0799718,19.363,e7:ce:6a:33:01:78,7801336acee71eff4c00121900ae541886d92eb52d49bd8e67963f07fbfa075021608c0300,-22017.8565383827,95277.4366851879,-154120.7663207071,112502.2475337566,-141342.64057724178,-20281.74439887936,545,498,510,510,2063,1,1,2,ADV_NONCONN_IND,37,37,3,-1,0,13139453,13140087,56,32,8,pre_aa_hdr_payload,APPLE
3.2493064403533936,1769642005.1296427,stroll.csv,42.3469739,-71.0799718,19.363,e7:ce:6a:33:01:78,7801336acee71eff4c00121900ae541886d92eb52d49bd8e67963f07fbfa075021608c0300,-18668.749757737813,147358.0263770346,-196319.3542015919,128283.40704862856,-177007.22975657758,-19204.439414169665,545,498,510,510,2063,1,1,2,ADV_NONCONN_IND,37,37,5,-1,0,13501205,13501839,55,32,8,pre_aa_hdr_payload,APPLE
3.626898050308228,1769642005.5072343,stroll.csv,42.3469739,-71.0799718,19.363,6d:e4:9c:49:d5:66,66d5499ce46d0201021816aafe404c24d1bc36d0e7f1984261830bdd21a841d73303,-17995.282432394855,160655.20188349293,-180509.41041529327,123781.7513399735,-174577.39914737307,-18960.14289260265,485,474,480,480,1919,1,1,0,ADV_IND,34,37,1,-1,0,13591730,13592364,56,31,8,pre_aa_hdr_payload,GOOGLE
7.130658149719238,1769642009.0109944,stroll.csv,42.3469491,-71.079904,24.31,e7:ce:6a:33:01:78,7801336acee71eff4c00121900ae541886d92eb52d49bd8e67963f07fbfa075021608c0300,-16893.080219078576,169291.59950251968,-227314.49623872293,122065.68481046564,-169244.38955642088,-17637.803878058938,545,510,504,504,2063,1,1,2,ADV_NONCONN_IND,37,37,4,-1,0,14174511,14175145,55,32,8,pre_aa_hdr_payload,APPLE
7.666976690292358,1769642009.547313,stroll.csv,42.3469491,-71.079904,24.31,e3:20:45:1e:0f:a6,a60f1e4520e31eff4c00121900332c996dc0837d2a21ec853d7ad3c552da93fada59410300,-41083.3744757742,128967.445585964,-184639.1540918045,116311.67175721124,-176086.70926326627,-34734.37863372963,503,552,504,504,2063,1,1,2,ADV_NONCONN_IND,37,37,0,-1,0,14227034,14227668,56,32,8,pre_aa_hdr_payload,APPLE
8.840821743011475,1769642010.721158,stroll.csv,42.3469491,-71.079904,24.31,e7:ce:6a:33:01:78,7801336acee71eff4c00121900ae541886d92eb52d49bd8e67963f07fbfa075021608c0300,-16996.835061594767,142260.15923747118,-200871.2488837192,129658.60597976632,-169832.97126668127,-21163.106261759025,545,498,510,510,2063,1,1,2,ADV_NONCONN_IND,37,37,5,-1,0,14463756,14464391,55,32,8,pre_aa_hdr_payload,APPLE
10.958584547042848,1769642012.8389208,stroll.csv,42.3469491,-71.079904,24.31,e7:ce:6a:33:01:78,7801336acee71eff4c00121900ae541886d92eb52d49bd8e67963f07fbfa075021608c0300,-14064.090565814402,117221.32442255825,-178045.9336278866,131920.78163671473,-162695.50234353027,-17320.02372526612,545,498,510,510,2063,1,1,2,ADV_NONCONN_IND,37,37,1,-1,0,14698700,14699334,56,32,8,pre_aa_hdr_payload,APPLE
12.726028442382812,1769642014.6063647,stroll.csv,42.3469491,-71.079904,24.31,e7:ce:6a:33:01:78,7801336acee71eff4c00121900ae541886d92eb52d49bd8e67963f07fbfa075021608c0300,-18747.629549294168,152819.0153716693,-211942.63062914865,136248.3793524999,-175214.1907324656,-19049.261753038536,539,504,510,510,2063,1,1,2,ADV_NONCONN_IND,37,37,4,-1,0,14989667,14990301,55,32,8,pre_aa_hdr_payload,APPLE
15.023395538330078,1769642016.9037318,stroll.csv,42.3469396,-71.0800118,22.74,e7:ce:6a:33:01:78,7801336acee71eff4c00121900ae541886d92eb52d49bd8e67963f07fbfa075021608c0300,-17132.058577802865,109499.59094900086,-185415.91427453168,127902.06672160246,-144220.82456345257,-20835.898350444302,545,498,510,510,2063,1,1,2,ADV_NONCONN_IND,37,37,1,-1,0,15391440,15392075,56,32,8,pre_aa_hdr_payload,APPLE
15.781672716140749,1769642017.662009,stroll.csv,42.3469396,-71.0800118,22.74,e3:20:45:1e:0f:a6,a60f1e4520e31eff4c00121900332c996dc0837d2a21ec853d7ad3c552da93fada59410300,-36504.33738675222,120011.73663024348,-181158.3684735423,111534.47870506116,-161375.06345224398,-33817.88829415438,503,552,504,504,2063,1,1,2,ADV_NONCONN_IND,37,37,3,-1,0,15489283,15489917,55,32,8,pre_aa_hdr_payload,APPLE
