chunk_index,start_byte,timestamp_ms,formatted_time,lat,lon,accuracy_m,alt,speed,loc_ts
48,12582912,1769642957274,18:29:17.274,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
49,12845056,1769642957620,18:29:17.620,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
50,13107200,1769642957972,18:29:17.972,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
51,13369344,1769642958323,18:29:18.323,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
52,13631488,1769642958673,18:29:18.673,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
53,13893632,1769642959021,18:29:19.021,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
54,14155776,1769642959372,18:29:19.372,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
55,14417920,1769642959735,18:29:19.735,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
56,14680064,1769642960140,18:29:20.140,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
57,14942208,1769642960535,18:29:20.535,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
58,15204352,1769642960941,18:29:20.941,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
59,15466496,1769642961340,18:29:21.340,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
60,15728640,1769642961912,18:29:21.912,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
61,15990784,1769642962451,18:29:22.451,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
62,16252928,1769642963068,18:29:23.068,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
63,16515072,1769642963489,18:29:23.489,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
64,16777216,1769642964062,18:29:24.062,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
65,17039360,1769642964648,18:29:24.648,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
66,17301504,1769642965004,18:29:25.004,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
67,17563648,1769642965354,18:29:25.354,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
68,17825792,1769642965731,18:29:25.731,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
69,18087936,1769642966262,18:29:26.262,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
70,18350080,1769642966921,18:29:26.921,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
71,18612224,1769642967281,18:29:27.281,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
72,18874368,1769642967751,18:29:27.751,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
73,19136512,1769642968252,18:29:28.252,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
74,19398656,1769642968658,18:29:28.658,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
75,19660800,1769642968978,18:29:28.978,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
76,19922944,1769642969422,18:29:29.422,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
77,20185088,1769642969775,18:29:29.775,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
78,20447232,1769642970126,18:29:30.126,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
79,20709376,1769642970477,18:29:30.477,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
80,20971520,1769642970825,18:29:30.825,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
81,21233664,1769642971175,18:29:31.175,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
82,21495808,1769642971524,18:29:31.524,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
83,21757952,1769642971942,18:29:31.942,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
84,22020096,1769642988375,18:29:48.375,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
85,22282240,1769642988888,18:29:48.888,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
86,22544384,1769642989292,18:29:49.292,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
87,22806528,1769642989747,18:29:49.747,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
88,23068672,1769642990186,18:29:50.186,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
89,23330816,1769642990708,18:29:50.708,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
90,23592960,1769642991061,18:29:51.061,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
91,23855104,1769642991414,18:29:51.414,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
92,24117248,1769642991856,18:29:51.856,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
93,24379392,1769642992185,18:29:52.185,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
94,24641536,1769642992534,18:29:52.534,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
95,24903680,1769642993090,18:29:53.090,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
96,25165824,1769642993626,18:29:53.626,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
97,25427968,1769642994150,18:29:54.150,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
98,25690112,1769642994499,18:29:54.499,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
99,25952256,1769642994997,18:29:54.997,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
100,26214400,1769642995460,18:29:55.460,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
101,26476544,1769642995937,18:29:55.937,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
102,26738688,1769642996417,18:29:56.417,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
103,27000832,1769642996777,18:29:56.777,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
104,27262976,1769642997192,18:29:57.192,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
105,27525120,1769642997564,18:29:57.564,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
106,27787264,1769642998017,18:29:58.017,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
107,28049408,1769642998646,18:29:58.646,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
108,28311552,1769642999185,18:29:59.185,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
109,28573696,1769642999744,18:29:59.744,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
110,28835840,1769643000234,18:30:00.234,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
111,29097984,1769643000636,18:30:00.636,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
112,29360128,1769643001040,18:30:01.040,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
113,29622272,1769643001436,18:30:01.436,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
114,29884416,1769643001827,18:30:01.827,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
115,30146560,1769643002223,18:30:02.223,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
116,30408704,1769643002546,18:30:02.546,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
117,30670848,1769643003007,18:30:03.007,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
118,30932992,1769643003543,18:30:03.543,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
119,31195136,1769643004098,18:30:04.098,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
120,31457280,1769643004712,18:30:04.712,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
121,31719424,1769643005189,18:30:05.189,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
122,31981568,1769643005542,18:30:05.542,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
123,32243712,1769643005957,18:30:05.957,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
124,32505856,1769643006437,18:30:06.437,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
125,32768000,1769643006819,18:30:06.819,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
126,33030144,1769643007169,18:30:07.169,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
127,33292288,1769643007556,18:30:07.556,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
128,33554432,1769643007906,18:30:07.906,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
129,33816576,1769643008255,18:30:08.255,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
130,34078720,1769643008631,18:30:08.631,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
131,34340864,1769643009272,18:30:09.272,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
132,34603008,1769643009751,18:30:09.751,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
133,34865152,1769643010312,18:30:10.312,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
134,35127296,1769643010959,18:30:10.959,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
135,35389440,1769643011411,18:30:11.411,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
136,35651584,1769643012035,18:30:12.035,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
137,35913728,1769643012701,18:30:12.701,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
138,36175872,1769643013548,18:30:13.548,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
139,36438016,1769643014143,18:30:14.143,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
140,36700160,1769643014885,18:30:14.885,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
141,36962304,1769643015457,18:30:15.457,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
142,37224448,1769643016100,18:30:16.100,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
143,37486592,1769643016860,18:30:16.860,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
144,37748736,1769643017317,18:30:17.317,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
145,38010880,1769643017681,18:30:17.681,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
146,38273024,1769643018085,18:30:18.085,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
147,38535168,1769643018624,18:30:18.624,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
148,38797312,1769643019043,18:30:19.043,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
149,39059456,1769643019364,18:30:19.364,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
150,39321600,1769643019722,18:30:19.722,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
151,39583744,1769643020072,18:30:20.072,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
152,39845888,1769643020460,18:30:20.460,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
153,40108032,1769643020913,18:30:20.913,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
154,40370176,1769643021389,18:30:21.389,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
155,40632320,1769643021783,18:30:21.783,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
156,40894464,1769643022105,18:30:22.105,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
157,41156608,1769643022454,18:30:22.454,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
158,41418752,1769643022801,18:30:22.801,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
159,41680896,1769643023152,18:30:23.152,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
160,41943040,1769643023543,18:30:23.543,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
161,42205184,1769643024074,18:30:24.074,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
162,42467328,1769643024458,18:30:24.458,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
163,42729472,1769643024871,18:30:24.871,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
164,42991616,1769643025320,18:30:25.320,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
165,43253760,1769643025692,18:30:25.692,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
166,43515904,1769643026054,18:30:26.054,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
167,43778048,1769643026405,18:30:26.405,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
168,44040192,1769643026788,18:30:26.788,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
169,44302336,1769643027141,18:30:27.141,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
170,44564480,1769643027449,18:30:27.449,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
171,44826624,1769643027835,18:30:27.835,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
172,45088768,1769643028277,18:30:28.277,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
173,45350912,1769643028823,18:30:28.823,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
174,45613056,1769643029462,18:30:29.462,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
175,45875200,1769643030045,18:30:30.045,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
176,46137344,1769643030523,18:30:30.523,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
177,46399488,1769643031058,18:30:31.058,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
178,46661632,1769643031779,18:30:31.779,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
179,46923776,1769643032610,18:30:32.610,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
180,47185920,1769643033209,18:30:33.209,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
181,47448064,1769643034040,18:30:34.040,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
182,47710208,1769643034960,18:30:34.960,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
183,47972352,1769643035625,18:30:35.625,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
184,48234496,1769643036331,18:30:36.331,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
185,48496640,1769643037062,18:30:37.062,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
186,48758784,1769643037754,18:30:37.754,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
187,49020928,1769643038617,18:30:38.617,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
188,49283072,1769643039759,18:30:39.759,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
189,49545216,1769643041352,18:30:41.352,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
190,49807360,1769643043042,18:30:43.042,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
191,50069504,1769643043778,18:30:43.778,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
192,50331648,1769643044167,18:30:44.167,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
193,50593792,1769643045269,18:30:45.269,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
194,50855936,1769643046138,18:30:46.138,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
195,51118080,1769643046617,18:30:46.617,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
196,51380224,1769643046987,18:30:46.987,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
197,51642368,1769643047339,18:30:47.339,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
198,51904512,1769643047694,18:30:47.694,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
199,52166656,1769643048040,18:30:48.040,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
200,52428800,1769643048441,18:30:48.441,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
201,52690944,1769643048787,18:30:48.787,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
202,52953088,1769643049138,18:30:49.138,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
203,53215232,1769643049582,18:30:49.582,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
204,53477376,1769643050149,18:30:50.149,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
205,53739520,1769643050607,18:30:50.607,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
206,54001664,1769643050958,18:30:50.958,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
207,54263808,1769643051351,18:30:51.351,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
208,54525952,1769643051880,18:30:51.880,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
209,54788096,1769643052354,18:30:52.354,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
210,55050240,1769643052678,18:30:52.678,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
211,55312384,1769643053026,18:30:53.026,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
212,55574528,1769643053506,18:30:53.506,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
213,55836672,1769643053995,18:30:53.995,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
214,56098816,1769643054350,18:30:54.350,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
215,56360960,1769643054700,18:30:54.700,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
216,56623104,1769643055056,18:30:55.056,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
217,56885248,1769643055403,18:30:55.403,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
218,57147392,1769643055751,18:30:55.751,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
219,57409536,1769643056208,18:30:56.208,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
220,57671680,1769643056757,18:30:56.757,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
221,57933824,1769643057174,18:30:57.174,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
222,58195968,1769643057519,18:30:57.519,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
223,58458112,1769643057995,18:30:57.995,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
224,58720256,1769643058499,18:30:58.499,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
225,58982400,1769643059084,18:30:59.084,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
226,59244544,1769643059473,18:30:59.473,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
227,59506688,1769643059902,18:30:59.902,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
228,59768832,1769643060499,18:31:00.499,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
229,60030976,1769643060950,18:31:00.950,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
230,60293120,1769643061288,18:31:01.288,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
231,60555264,1769643061637,18:31:01.637,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
232,60817408,1769643062019,18:31:02.019,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
233,61079552,1769643062367,18:31:02.367,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
234,61341696,1769643062717,18:31:02.717,42.349734,-71.0779993,38.456,-32.060508968025346,0.12638168,1769642949766
