pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end
0,1763945441.754206657,37,0,D3:92:34:C5:8A:C1,8E89BED6,-10341.834776,-10341.834776,-10341.834776,325980.273014,325980.273014,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,-10341.834961,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-7131.192383,-4062.353516,2728536,2729288
1,1763945442.247709990,37,0,D3:92:34:C5:8A:C1,8E89BED6,-10291.377912,-10291.377912,-10291.377912,330000.090728,330000.090728,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,-10291.377930,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-19682.005859,-4522.520020,6739242,6739994
2,1763945442.727699995,37,0,D3:92:34:C5:8A:C1,8E89BED6,-10429.047421,-10429.047421,-10429.047421,317020.663117,317020.663117,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,-10429.047852,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-13961.664062,-5753.133789,10747652,10748404
3,1763945443.196036100,37,0,D3:92:34:C5:8A:C1,8E89BED6,-10656.666588,-10656.666588,-10656.666588,302773.274445,302773.274445,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,-10656.666992,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-13185.763672,-2684.507568,14749169,14749921
4,1763945443.660050154,37,0,D3:92:34:C5:8A:C1,8E89BED6,-10261.462793,-10261.462793,-10261.462793,326405.531369,326405.531369,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,-10261.462891,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-1402.937622,2596.066162,18750772,18751524
5,1763945443.660358191,37,0,D3:92:34:C5:8A:C1,8E89BED6,-10686.592794,-10686.592794,-10686.592794,326444.490146,326444.490146,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,-10686.592773,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-1472.095825,2517.133789,18750773,18751525
6,1763945444.091462374,37,0,D3:92:34:C5:8A:C1,8E89BED6,-10211.667221,-10211.667221,-10211.667221,312032.318010,312032.318010,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,-10211.666992,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-19166.732422,-4795.645996,22757984,22758736
7,1763945444.535191536,37,0,D3:92:34:C5:8A:C1,8E89BED6,-10118.577238,-10118.577238,-10118.577238,309707.577263,309707.577263,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,-10118.577148,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-5001.963379,-3429.506348,26757333,26758085
8,1763945444.535702705,37,0,D3:92:34:C5:8A:C1,8E89BED6,-10630.204052,-10630.204052,-10630.204052,309779.332061,309779.332061,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,-10630.204102,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-5189.229004,-3494.437988,26757334,26758086
9,1763945444.958278656,37,0,D3:92:34:C5:8A:C1,8E89BED6,-9818.098546,-9818.098546,-9818.098546,306257.481465,306257.481465,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,-9818.098633,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-11937.567383,254.427475,30756733,30757485
