pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end,cfo_equal_00_hz,cfo_equal_11_hz,cfo_jump_10_hz,cfo_jump_01_hz
14,1764713922.127563715,37,0,DF:62:EF:89:F6:2F,8E89BED6,17826.902286,5233.798120,17826.903528,216498.807767,199787.208028,1.021143,-28.300212,0.000000,3451.476575,24.259709,239583.333333,192.000000,-9335.200195,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,42285.261719,15230.511719,30323904,30324288,51413.993567,-58564.090675,51211.922942,41100.912173
15,1764713922.538804293,37,0,DF:62:EF:89:F6:2F,8E89BED6,18112.808556,2084.932196,18112.809129,233827.004284,186352.191845,0.989452,-84.473882,0.000000,2453.397888,24.513078,239583.333333,192.000000,-8885.108398,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,65338.808594,15029.411133,34323241,34323625,48275.359052,-63787.653802,39440.465588,62544.186316
16,1764713922.548869371,37,0,DF:62:EF:89:F6:2F,8E89BED6,17630.670671,2721.597088,17630.668474,233875.424824,205508.850169,0.990232,86.942820,0.000000,3101.433860,24.448320,239583.333333,192.000000,-8749.401367,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,57791.117188,15263.568359,34323242,34323626,51093.566387,-52075.043787,50131.653087,35466.513312
17,1764713922.961268425,37,0,DF:62:EF:89:F6:2F,8E89BED6,17257.694975,3341.293009,17257.692761,214803.504540,188809.648325,1.002822,43.398316,0.000000,1779.211012,24.404360,239583.333333,192.000000,-9148.476562,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,16132.439453,14988.746094,38325944,38326328,50473.277245,-66553.134454,42908.528511,56628.606139
20,1764713923.368649960,37,0,DF:62:EF:89:F6:2F,8E89BED6,18943.015981,54.983707,18943.015497,222695.240183,191976.366844,1.001267,43.528351,0.000000,2694.524372,24.034329,239583.333333,192.000000,-10191.337891,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,39215.238281,15134.336914,42338628,42339012,50968.221794,-65599.927887,40457.243749,61982.682229
21,1764713923.377407789,37,0,DF:62:EF:89:F6:2F,8E89BED6,18353.064926,632.832590,18353.063573,222609.105694,200459.819644,0.999382,45.803786,0.000000,3349.396340,24.191437,239583.333333,192.000000,-10061.724609,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,39215.238281,15364.818359,42338629,42339013,51041.819843,-56745.540449,50602.901901,43817.105081
22,1764713923.809644222,37,0,DF:62:EF:89:F6:2F,8E89BED6,16942.121210,3417.916576,16942.120974,221714.613254,196441.920529,0.999185,-46.849891,0.000000,1875.157690,24.098660,239583.333333,192.000000,-7467.798340,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-2684.596680,15196.078125,46344935,46345319,48521.446501,-64483.937795,41699.578684,57636.164372
23,1764713924.215543747,37,0,DF:62:EF:89:F6:2F,8E89BED6,17722.121454,1617.348187,17722.121384,218208.438199,195478.916993,1.006838,22.388197,0.000000,2708.719464,24.945093,239583.333333,192.000000,-8446.466797,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,5721.093750,15239.258789,50348043,50348427,50680.014739,-62474.943810,44908.806686,52932.182585
25,1764713924.623681784,37,0,DF:62:EF:89:F6:2F,8E89BED6,18067.137032,2627.421032,18067.138048,228516.166383,184104.298734,0.985878,-62.955869,0.000000,2284.767123,24.076754,239583.333333,192.000000,-10407.393555,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,66864.328125,15167.870117,54359152,54359536,48496.025701,-63419.197016,43612.684661,57198.753146
26,1764713924.632346630,37,0,DF:62:EF:89:F6:2F,8E89BED6,17581.731630,3238.050888,17581.732046,228520.584410,199821.598170,0.989144,-59.557016,0.000000,2934.818413,24.112428,239583.333333,192.000000,-10253.905273,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,55084.183594,15409.416016,54359153,54359537,51464.974996,-53723.140038,53353.101494,33352.818315
