pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end
127,1763952366.089626074,37,0,D5:9E:B7:CB:0B:4A,8E89BED6,5927.849954,5927.849954,5927.849954,347819.470846,347819.470846,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,5927.850098,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-30815.535156,-2013.041382,3885043,3885795
128,1763952366.090016842,37,0,D5:9E:B7:CB:0B:4A,8E89BED6,5560.534840,5560.534840,5560.534840,347163.943673,347163.943673,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,5560.534668,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-33045.035156,-1967.070068,3885044,3885796
185,1763952366.557114840,37,0,D5:9E:B7:CB:0B:4A,8E89BED6,4215.385136,4215.385136,4215.385136,338597.274186,338597.274186,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,4215.385254,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,46489.203125,26791.210938,7889603,7890355
186,1763952366.557356596,37,0,D5:9E:B7:CB:0B:4A,8E89BED6,3707.819482,3707.819482,3707.819482,337381.740144,337381.740144,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,3707.819580,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,46489.203125,26588.732422,7889604,7890356
187,1763952367.032780170,37,0,D5:9E:B7:CB:0B:4A,8E89BED6,4321.381392,4321.381392,4321.381392,363856.200482,363856.200482,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,4321.381348,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-35399.296875,6480.348145,11889970,11890722
188,1763952367.033112526,37,0,D5:9E:B7:CB:0B:4A,8E89BED6,3839.272959,3839.272959,3839.272959,363740.930687,363740.930687,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,3839.272949,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-40549.281250,6486.601074,11889971,11890723
189,1763952367.497612953,37,0,D5:9E:B7:CB:0B:4A,8E89BED6,3986.038332,3986.038332,3986.038332,367454.966944,367454.966944,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,3986.038330,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,348.149017,138.226746,15907265,15908017
190,1763952367.964758158,37,0,D5:9E:B7:CB:0B:4A,8E89BED6,4360.316163,4360.316163,4360.316163,363458.022989,363458.022989,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,4360.316406,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,3285.264893,24585.765625,19920466,19921218
191,1763952368.434518099,37,0,D5:9E:B7:CB:0B:4A,8E89BED6,4492.616020,4492.616020,4492.616020,366933.149073,366933.149073,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,4492.616211,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,12229.622070,22196.265625,23931522,23932274
192,1763952368.434868813,37,0,D5:9E:B7:CB:0B:4A,8E89BED6,4400.671387,4400.671387,4400.671387,366629.226223,366629.226223,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,4400.671387,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,7647.114258,22098.503906,23931523,23932275
193,1763952368.899755716,37,0,D5:9E:B7:CB:0B:4A,8E89BED6,4301.788472,4301.788472,4301.788472,366930.154805,366930.154805,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,4301.788574,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-7966.596191,3059.401855,27949810,27950562
194,1763952368.900470972,37,0,D5:9E:B7:CB:0B:4A,8E89BED6,4041.190738,4041.190738,4041.190738,366920.754222,366920.754222,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,4041.190674,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-7966.596191,2945.036621,27949811,27950563
195,1763952369.377155066,37,0,D5:9E:B7:CB:0B:4A,8E89BED6,4417.368974,4417.368974,4417.368974,341394.807373,341394.807373,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,4417.369141,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,4991.632812,20064.757812,31950627,31951379
196,1763952369.377537489,37,0,D5:9E:B7:CB:0B:4A,8E89BED6,3941.608620,3941.608620,3941.608620,341301.704821,341301.704821,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,3941.608643,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,4391.359375,19975.439453,31950628,31951380
