timestamp,mobile_timestamp,source_file,mobile_lat,mobile_lon,mobile_accuracy_m,AdvA,payload,CFO_Hz,CFO_00_Hz,CFO_11_Hz,CFO_10_Hz,CFO_01_Hz,CFO_from_transitions_Hz,nprod_00,nprod_11,nprod_10,nprod_01,nprod_total,crc_ok,is_tag_ecosystem,pdu_type,pdu_type_name,length,channel,phase,polarity,slip,window_start,window_end,aa_pos,aa_corr,pre_corr,cfo_window
0.0,1769642001.8803363,stroll.csv,42.3469739,-71.0799718,19.363,FC:63:DD:ED:60:59,5960eddd63fc1eff4c001219ff6b1bd719bda6fc3a7e8a574cec05e763b230251d858d03ff,-34012.431799094025,144669.86284815593,-213295.82875536752,108821.01933757278,-170889.77240581074,-26900.382869742523,533,528,498,504,2063,1,1,2,ADV_NONCONN_IND,37,37,4,-1,0,12974142,12974776,55,32,8,pre_aa_hdr_payload
1.0777153968811035,1769642002.9580517,stroll.csv,42.3469739,-71.0799718,19.363,E7:CE:6A:33:01:78,7801336acee71eff4c00121900ae541886d92eb52d49bd8e67963f07fbfa075021608c0300,-22017.8565383827,95277.4366851879,-154120.7663207071,112502.2475337566,-141342.64057724178,-20281.744398879357,545,498,510,510,2063,1,1,2,ADV_NONCONN_IND,37,37,3,-1,0,13139453,13140087,56,32,8,pre_aa_hdr_payload
2.1522915363311768,1769642004.0326278,stroll.csv,42.3469739,-71.0799718,19.363,EA:9B:26:DE:41:77,7741de269bea1eff4c001219ff040dc2c4d03af3c21b1dcf00d917f0dcf41f4f376c9500ff,-39713.63339652863,148472.90002264985,-216594.6852204597,102866.67168792688,-173149.0910596368,-33678.11913041155,545,564,474,480,2063,1,1,2,ADV_NONCONN_IND,37,37,1,-1,0,13358340,13358975,56,32,8,pre_aa_hdr_payload
3.2493064403533936,1769642005.1296427,stroll.csv,42.3469739,-71.0799718,19.363,E7:CE:6A:33:01:78,7801336acee71eff4c00121900ae541886d92eb52d49bd8e67963f07fbfa075021608c0300,-18668.749757737813,147358.0263770346,-196319.3542015919,128283.40704862856,-177007.22975657758,-19204.439414169665,545,498,510,510,2063,1,1,2,ADV_NONCONN_IND,37,37,5,-1,0,13501205,13501839,55,32,8,pre_aa_hdr_payload
3.6268980503082275,1769642005.5072343,stroll.csv,42.3469739,-71.0799718,19.363,6D:E4:9C:49:D5:66,66d5499ce46d0201021816aafe404c24d1bc36d0e7f1984261830bdd21a841d73303,-17995.282432394855,160655.20188349293,-180509.41041529327,123781.7513399735,-174577.39914737307,-18960.14289260265,485,474,480,480,1919,1,1,0,ADV_IND,34,37,1,-1,0,13591730,13592364,56,31,8,pre_aa_hdr_payload
7.130658149719238,1769642009.0109944,stroll.csv,42.3469491,-71.079904,24.31,E7:CE:6A:33:01:78,7801336acee71eff4c00121900ae541886d92eb52d49bd8e67963f07fbfa075021608c0300,-16893.080219078576,169291.59950251968,-227314.49623872293,122065.68481046564,-169244.38955642088,-17637.803878058938,545,510,504,504,2063,1,1,2,ADV_NONCONN_IND,37,37,4,-1,0,14174511,14175145,55,32,8,pre_aa_hdr_payload
7.666976690292358,1769642009.547313,stroll.csv,42.3469491,-71.079904,24.31,E3:20:45:1E:0F:A6,a60f1e4520e31eff4c00121900332c996dc0837d2a21ec853d7ad3c552da93fada59410300,-41083.3744757742,128967.445585964,-184639.1540918045,116311.67175721124,-176086.70926326627,-34734.37863372963,503,552,504,504,2063,1,1,2,ADV_NONCONN_IND,37,37,0,-1,0,14227034,14227668,56,32,8,pre_aa_hdr_payload
8.119075775146484,1769642009.999412,stroll.csv,42.3469491,-71.079904,24.31,C8:00:34:86:D5:44,44d5863400c81eff4c001219ff6a3d2ded1eb889eece366f903694ddb070c9fe884fe300ff,-51521.408319245485,89344.87154489495,-169883.94989716023,105907.4850304703,-164662.2108298561,-38709.24514953059,479,558,510,516,2063,1,1,2,ADV_NONCONN_IND,37,37,1,-1,0,14314209,14314843,56,32,8,pre_aa_hdr_payload
8.840821743011475,1769642010.721158,stroll.csv,42.3469491,-71.079904,24.31,E7:CE:6A:33:01:78,7801336acee71eff4c00121900ae541886d92eb52d49bd8e67963f07fbfa075021608c0300,-16996.835061594767,142260.15923747118,-200871.2488837192,129658.60597976632,-169832.97126668127,-21163.106261759025,545,498,510,510,2063,1,1,2,ADV_NONCONN_IND,37,37,5,-1,0,14463756,14464391,55,32,8,pre_aa_hdr_payload
9.970572233200073,1769642011.8509085,stroll.csv,42.3469491,-71.079904,24.31,E3:C4:06:8D:2B:0F,0f2b8d06c4e31eff4c001219ff8eb4b4c27c7bd064d7cdac7d24c678650dc418c407d100ff,-49340.76370174567,108234.80530146824,-173137.76318326473,92196.76223248124,-168703.7758072036,-37616.15956385101,479,546,516,522,2063,1,1,2,ADV_NONCONN_IND,37,37,0,-1,0,14607935,14608569,56,32,8,pre_aa_hdr_payload
