pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end,cfo_equal_00_hz,cfo_equal_11_hz,cfo_jump_10_hz,cfo_jump_01_hz
14,1764395488.413648605,37,0,DC:E0:AD:45:8A:C7,8E89BED6,-22285.453369,-809.752030,-22285.453306,353756.744134,274679.053891,0.990874,89.395736,100.000000,-33841.315975,20.431013,345744.680851,376.000000,6551.572266,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-25554.636719,-22854.925781,58936133,58936885,7548.231010,-47648.211532,-76724.811986,59223.183767
15,1764395490.383052826,37,0,DC:E0:AD:45:8A:C7,8E89BED6,-13544.341209,-4472.471003,-13544.341618,368619.930782,299221.180629,0.973792,-65.999676,71.000000,-32283.657796,20.179133,2659.574468,376.000000,12648.050781,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-2833.881104,-32900.093750,62938915,62939667,5365.632438,-44113.736778,-92356.401666,39681.667731
16,1764395492.384978533,37,0,DC:E0:AD:45:8A:C7,8E89BED6,-21044.953916,-3558.655427,-21044.953842,362739.523679,289235.989914,1.001232,-43.801544,90.500000,-30373.256856,21.863329,143617.021277,376.000000,9721.048828,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-70684.945312,-39535.371094,66946524,66947276,13362.175915,-8862.009389,-84929.515959,8196.314348
17,1764395492.420682430,37,0,DC:E0:AD:45:8A:C7,8E89BED6,-20398.251679,-3580.165335,-20398.250911,362714.978790,298762.455476,0.999764,-45.222902,90.500000,-30122.905029,21.801303,143617.021277,376.000000,10203.554688,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-70684.945312,-39380.558594,66946525,66947277,9174.695985,-53142.029155,-67086.488039,46730.164177
18,1764395494.406196117,37,0,DC:E0:AD:45:8A:C7,8E89BED6,-21653.955677,-1887.575347,-21653.955827,344406.897764,263211.992459,0.990550,69.058253,40.000000,-32828.760445,20.085143,146276.595745,376.000000,10632.910156,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-82576.281250,-27046.951172,70947919,70948671,10775.623568,-14978.849945,-74984.612640,25904.470431
19,1764395494.442528248,37,0,DC:E0:AD:45:8A:C7,8E89BED6,-21024.501818,-1946.182858,-21024.500952,344363.630294,275842.564458,0.991449,65.291086,40.000000,-32549.607429,20.086006,146276.595745,376.000000,11130.984375,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-82576.281250,-26948.179688,70947920,70948672,4779.211422,-54769.210806,-48571.934931,46929.542975
20,1764395496.375076532,37,0,DC:E0:AD:45:8A:C7,8E89BED6,-12809.551076,-3349.044539,-12809.551377,365303.346926,289238.593280,0.993363,59.002396,28.000000,-34566.235145,19.080992,228723.404255,376.000000,6891.184570,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,220.355988,-21749.886719,74967878,74968630,22074.685002,-12876.605564,-97602.942422,41585.894138
21,1764395498.416044235,37,0,DC:E0:AD:45:8A:C7,8E89BED6,-24107.894227,-1354.292287,-24107.894522,361211.857884,287110.089608,0.989084,58.295945,43.000000,-35589.650506,20.504743,228723.404255,376.000000,9005.338867,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-27616.437500,-26341.480469,78968058,78968810,10490.158326,-56229.170235,-59451.644753,59938.247188
22,1764395500.390824080,37,0,DC:E0:AD:45:8A:C7,8E89BED6,-24095.986527,-684.441139,-24095.986429,363438.054601,296714.098751,0.993501,-49.821484,61.500000,-35932.938172,20.633169,5319.148936,376.000000,9101.739258,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-60464.714844,-34113.613281,82936563,82937315,3337.497631,-18453.467261,-87940.908888,12879.088323
23,1764395500.426858902,37,0,DC:E0:AD:45:8A:C7,8E89BED6,-23502.518234,-757.017467,-23502.517594,363204.356349,296762.053425,0.991949,-51.059493,61.500000,-35652.228256,20.632854,5319.148936,376.000000,9607.265625,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-60464.714844,-33998.324219,82936564,82937316,3528.652323,-53394.219268,-53747.610791,57948.738508
