pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end
15,1763945740.953629017,37,0,EA:AC:D0:7E:E8:F9,8E89BED6,11680.000900,11680.000900,11680.000900,347915.704351,347915.704351,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,11680.000977,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,398.827423,11244.486328,3181794,3182546
16,1763945740.955550194,37,0,DB:FC:61:9C:CF:82,8E89BED6,-34467.501440,-34467.501440,-34467.501440,236763.248650,236763.248650,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-34467.500000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-82066.031250,-40697.542969,3201313,3201697
17,1763945740.955798626,37,0,DB:FC:61:9C:CF:82,8E89BED6,-35601.973053,-35601.973053,-35601.973053,236346.412515,236346.412515,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-35601.972656,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-82697.656250,-41060.750000,3201314,3201698
18,1763945740.967411280,37,0,C9:ED:EB:5B:F4:CA,8E89BED6,2539.266396,2539.266396,2539.266396,326957.179931,326957.179931,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,2539.266357,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,35874.832031,8983.733398,3317095,3317847
19,1763945740.967637062,37,0,C9:ED:EB:5B:F4:CA,8E89BED6,2005.677702,2005.677702,2005.677702,327027.783667,327027.783667,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,2005.677734,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,34774.785156,8931.465820,3317096,3317848
20,1763945740.968603611,37,0,F4:8E:B3:4F:EE:4E,8E89BED6,-74004.114537,-74004.114537,-74004.114537,231483.885175,231483.885175,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-74004.117188,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-203295.343750,-79795.820312,3327762,3328146
21,1763945740.968733072,37,0,F4:8E:B3:4F:EE:4E,8E89BED6,-75082.534454,-75082.534454,-75082.534454,231616.138804,231616.138804,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-75082.531250,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-206397.593750,-80391.648438,3327763,3328147
22,1763945740.968923807,37,4,F4:8E:B3:4F:EE:4E,8E89BED6,-219891.121820,-219891.121820,-219891.121820,409157.578540,409157.578540,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,128.000000,-219891.125000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-201482.578125,-106807.929688,3329224,3329480
23,1763945740.969028234,37,4,F4:8E:B3:4F:EE:4E,8E89BED6,-225586.547361,-225586.547361,-225586.547361,408896.070049,408896.070049,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,128.000000,-225586.546875,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-205167.531250,-105411.117188,3329225,3329481
24,1763945740.977904081,37,0,CA:CD:F5:BB:09:BC,8E89BED6,29912.150984,29912.150984,29912.150984,174628.675124,174628.675124,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,29912.150391,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,6878.768066,22825.437500,3420006,3420390
