pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end,cfo_equal_00_hz,cfo_equal_11_hz,cfo_jump_10_hz,cfo_jump_01_hz
13,1764714224.570160627,37,0,FC:7F:0A:E5:D0:87,8E89BED6,5889.103529,9667.875426,5889.102990,345063.193008,267676.606739,0.993201,47.188622,2.500000,3779.091744,24.956606,239361.702128,376.000000,6313.115234,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-801.869019,-19656.583984,39970331,39971083,22161.520138,33754.348357,-29180.189517,-23542.272948
14,1764714224.999040604,37,0,FC:7F:0A:E5:D0:87,8E89BED6,6343.482977,8994.098630,6343.485091,330010.949857,247194.862413,0.970073,53.760456,3.000000,4051.262957,25.016908,164893.617021,376.000000,5740.372070,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,9232.811523,-5388.023438,43976326,43977078,22227.402608,31043.487882,-29847.937488,-20156.016386
15,1764714225.030479908,37,0,FC:7F:0A:E5:D0:87,8E89BED6,5923.108209,9098.828942,5923.109511,329782.627806,249714.252662,0.970325,53.828228,3.000000,4000.751822,25.141966,164893.617021,376.000000,5805.728027,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,9232.811523,-5234.709473,43976327,43977079,18397.324311,35494.392925,-20422.454848,-27241.415631
17,1764714225.462732315,37,0,FC:7F:0A:E5:D0:87,8E89BED6,6698.484419,8319.987053,6698.483438,338604.950717,253699.243650,1.100160,3.656184,75.500000,3376.067228,25.094492,239361.702128,376.000000,6105.865723,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,57509.062500,8247.329102,47990988,47991740,23470.398219,31472.416421,-32449.101866,-18355.639970
18,1764714225.494067192,37,0,FC:7F:0A:E5:D0:87,8E89BED6,6418.438605,8424.545420,6418.438389,337784.290044,267922.228093,1.098688,3.431966,75.000000,3326.831884,25.098956,239361.702128,376.000000,6201.154297,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,53859.175781,8244.192383,47990989,47991741,21475.942144,32723.457174,-25124.206704,-21954.321531
19,1764714225.937659502,37,0,FC:7F:0A:E5:D0:87,8E89BED6,7253.454259,9508.137932,7253.454027,337079.002593,242028.234304,1.027157,36.569580,3.000000,5003.926769,24.990094,239361.702128,376.000000,6506.334473,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,40262.718750,10906.778320,52003778,52004530,24333.279685,31500.425416,-30390.127064,-18016.835660
20,1764714225.969012976,37,0,FC:7F:0A:E5:D0:87,8E89BED6,6762.401987,9629.833864,6762.402083,335436.656651,259988.683726,1.025641,36.939136,3.000000,4949.510172,25.031921,239361.702128,376.000000,6545.414551,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,40262.718750,10806.958008,52003779,52004531,21823.846033,32900.577195,-16002.466100,-29247.423778
21,1764714226.400682688,37,0,FC:7F:0A:E5:D0:87,8E89BED6,6589.479759,8731.642778,6589.480561,322140.268884,247967.589259,0.995553,-46.218708,2.500000,3915.363713,25.286799,239361.702128,376.000000,5779.812988,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,4801.399414,-278.568817,56017421,56018173,21463.130528,33357.646708,-24464.419706,-23686.430714
22,1764714226.840170860,37,0,FC:7F:0A:E5:D0:87,8E89BED6,5900.888272,6816.736180,5900.888254,324737.192254,260346.423370,1.099289,-12.491438,2.500000,3268.136476,24.454108,164893.617021,376.000000,3821.803223,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-6180.056152,-11674.724609,60029598,60030350,23579.801935,33075.362874,-30958.159472,-22818.308101
24,1764714227.271990299,37,0,FC:7F:0A:E5:D0:87,8E89BED6,6385.388112,9053.117993,6385.387607,324979.006676,248480.205596,1.053696,-30.198414,2.500000,4198.860056,24.738527,239361.702128,376.000000,6322.858887,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,8519.774414,5680.127930,64035536,64036288,22911.162358,35638.683345,-29848.594720,-23910.341882
25,1764714227.703667402,37,0,FC:7F:0A:E5:D0:87,8E89BED6,6645.818902,8935.474212,6645.819864,323323.344328,221652.303695,0.953179,59.816533,2.000000,3247.920713,24.871402,239361.702128,376.000000,5488.974121,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,17656.605469,92.791565,68049123,68049875,24862.099751,31314.544461,-34602.747471,-18651.790411
26,1764714227.735855103,37,0,FC:7F:0A:E5:D0:87,8E89BED6,6315.379263,9024.147844,6315.380656,323328.541164,247460.733755,0.954540,59.555166,2.000000,3204.564024,24.797847,239361.702128,376.000000,5563.669922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,17656.605469,158.146698,68049124,68049876,21117.914572,31933.586822,-23894.874809,-23134.027741
27,1764714228.168886423,37,0,FC:7F:0A:E5:D0:87,8E89BED6,6385.476674,9501.370861,6385.476381,327619.671763,235238.642897,1.085661,-17.656738,2.500000,3766.084802,25.362651,239361.702128,376.000000,7023.289551,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,15886.371094,-7106.552734,72062900,72063652,23016.318154,33226.120208,-29667.746240,-22844.380295
28,1764714228.601536036,37,0,FC:7F:0A:E5:D0:87,8E89BED6,6198.211483,8578.937274,6198.211944,321045.262743,237166.756067,0.894629,80.861091,2.500000,3372.197202,24.712497,239361.702128,376.000000,5506.704102,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,72395.773438,3562.235840,76075880,76076632,22415.672002,30829.720833,-30124.300685,-19993.081580
29,1764714228.634510994,37,0,FC:7F:0A:E5:D0:87,8E89BED6,5889.973359,8685.783012,5889.973570,321113.386656,260411.087616,0.896124,80.779640,2.500000,3324.468447,24.751593,239361.702128,376.000000,5605.394531,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,72395.773438,3490.515381,76075881,76076633,20660.868228,33297.590043,-22118.971488,-26180.371061
30,1764714229.063488007,37,0,FC:7F:0A:E5:D0:87,8E89BED6,6885.727241,8546.683139,6885.728287,335911.229196,251402.181915,0.938735,-65.957115,2.500000,5045.667722,25.105780,164893.617021,376.000000,7086.963379,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,55477.324219,-3363.159424,80087047,80087799,21887.517489,35461.260297,-34029.856875,-16175.855907
31,1764714229.095001698,37,0,FC:7F:0A:E5:D0:87,8E89BED6,6537.620592,8670.468896,6537.620965,335826.904240,269293.405131,0.939883,-65.895303,2.500000,4997.380881,25.072312,164893.617021,376.000000,7174.941406,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,55477.324219,-3385.858643,80087048,80087800,18770.776864,33873.358109,-20714.848607,-22941.293259
32,1764714229.527809858,37,0,FC:7F:0A:E5:D0:87,8E89BED6,6223.601959,9418.931559,6223.602369,324263.931998,225858.541882,1.015892,-40.292339,3.000000,3996.534976,24.881255,239361.702128,376.000000,6198.680664,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-2057.654541,6387.863770,84094771,84095523,21116.688132,33518.801790,-29942.091955,-20541.661084
33,1764714229.958942652,37,0,FC:7F:0A:E5:D0:87,8E89BED6,5731.953969,8766.195563,5731.954188,332633.539691,240442.534583,1.091364,-1.703130,2.500000,3593.309088,24.673207,239361.702128,376.000000,6429.795898,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-11496.153320,-133.198624,88091227,88091979,22739.589845,31704.498534,-29775.496633,-22987.820169
34,1764714230.388083935,37,0,FC:7F:0A:E5:D0:87,8E89BED6,6998.132647,8541.897269,6998.133134,322572.390874,236049.975574,1.102440,7.410711,2.500000,4124.495619,24.748841,164893.617021,376.000000,5277.142090,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,6574.434082,-8222.281250,92088528,92089280,22960.077531,31195.654239,-30875.530703,-17946.087498
35,1764714230.420014858,37,0,FC:7F:0A:E5:D0:87,8E89BED6,6737.631845,8625.153777,6737.631880,322543.514071,252507.127404,1.101199,7.141400,2.500000,4083.713241,24.737413,164893.617021,376.000000,5370.171875,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,6574.434082,-8134.060547,92088529,92089281,21188.627007,33890.397049,-23458.082938,-23825.967240
36,1764714230.850137711,37,0,FC:7F:0A:E5:D0:87,8E89BED6,6909.567810,8421.525830,6909.569263,307476.686245,229551.124243,0.975808,-53.205485,10.000000,3589.245174,24.678390,239361.702128,376.000000,5821.987793,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,53998.820312,8298.658203,96085535,96086287,24388.899422,33173.665356,-31585.367247,-21474.286116
37,1764714230.881607056,37,0,FC:7F:0A:E5:D0:87,8E89BED6,6618.539067,8541.025132,6618.537851,307526.643881,245175.637450,0.976116,-53.266282,10.000000,3541.554422,24.694666,239361.702128,376.000000,5958.500488,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,53998.820312,8270.081055,96085536,96086288,23757.865694,34520.042482,-26782.205328,-25001.511561
38,1764714231.310444355,37,0,FC:7F:0A:E5:D0:87,8E89BED6,6889.148791,8040.608668,6889.148224,331958.412528,246433.047932,1.059070,29.891504,2.500000,4597.303479,24.800884,164893.617021,376.000000,5560.855469,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,34527.250000,2948.443604,100083584,100084336,22250.684264,35250.177600,-34203.209547,-17513.315091
