pkt_idx,timestamp,rf_channel,pdu_type,AdvA,access_address,tag_type,payload,CFO_Hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end,CFO_00_Hz,CFO_11_Hz,CFO_10_Hz,CFO_01_Hz
79,1769128135.589618683,37,0,CA:2E:34:21:4A:DD,8E89BED6,APPLE,dd4a21342eca1eff4c00121910fd5f0d156d13056dd7e0a389bebddda5880ccd09231100dd,30725.397299,8597.080524,30725.397813,361394.659537,263506.271574,0.990590,-56.063451,2.500000,29478.084649,22.742906,223404.255319,376.000000,17338.218750,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,84274.570312,23302.498047,1178187,1178939,29650.514481,-30787.512822,30492.200451,77919.616483
80,1769128135.643943310,37,0,CA:2E:34:21:4A:DD,8E89BED6,APPLE,dd4a21342eca1eff4c00121910fd5f0d156d13056dd7e0a389bebddda5880ccd09231100dd,30136.822822,8586.615292,30136.822975,361443.662558,274396.704221,0.988811,-58.132227,2.500000,29353.802888,22.694786,223404.255319,376.000000,16956.925781,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,84274.570312,23366.458984,1178188,1178940,43227.402773,-29612.048063,34396.083262,53439.014493
93,1769128135.706590414,37,0,D5:9D:98:91:83:8D,8E89BED6,APPLE,8d8391989dd51eff4c001219104ff4872a5d341e62ca8deb7799e58c4607a0af6ff09b008d,36151.191920,14311.110833,36151.191122,211625.332017,190865.882041,0.928523,-86.234727,116.000000,56831.215303,24.222261,257978.723404,376.000000,19461.994141,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,34353.285156,25163.669922,1350184,1350936,14179.831040,22543.893188,66946.421706,42081.968452
95,1769128135.753751755,37,0,EE:D4:8A:27:EA:99,8E89BED6,APPLE,99ea278ad4ee1eff4c00121960839bf948c739a2645808f21fedb7edfc3df340a9b51f039e,-25621.212676,10586.142907,-25621.213572,325267.062730,247567.282391,1.045809,16.021263,23.000000,-10577.380627,19.780844,327127.659574,376.000000,8508.389648,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-89780.257812,-30340.158203,1377856,1378608,-45313.537510,-23220.637733,-41273.700660,7193.987062
96,1769128135.799204350,37,0,EE:D4:8A:27:EA:99,8E89BED6,APPLE,99ea278ad4ee1eff4c00121960839bf948c739a2645808f21fedb7edfc3df340a9b51f039e,-25774.844367,10831.305616,-25774.844540,323862.647539,271327.856439,1.047499,15.277496,23.000000,-10285.578620,19.865610,327127.659574,376.000000,8709.286133,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-89780.257812,-30271.162109,1377857,1378609,-41360.431411,-32653.420243,-30398.884400,2585.608330
105,1769128136.072783947,37,0,69:B3:D4:D7:57:AC,8E89BED6,GOOGLE,ac57d7d4b3690201061916aafe412341a0a757d145a5056e7d08589495fdf823efa33e,16069.485863,17452.078272,16069.485945,338735.557730,246209.431171,0.955574,-89.450254,0.500000,28234.620304,22.391469,169444.444444,360.000000,19656.201172,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,84165.367188,7662.403809,1570288,1571008,-19508.023401,49851.014344,30112.973507,-910.648300
106,1769128136.197565079,37,0,69:B3:D4:D7:57:AC,8E89BED6,GOOGLE,ac57d7d4b3690201061916aafe412341a0a757d145a5056e7d08589495fdf823efa33e,16548.309476,17473.479267,16548.309278,338801.586203,263666.732563,0.955247,89.309833,0.500000,28023.106754,22.396677,169444.444444,360.000000,19947.988281,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,84165.367188,7640.620605,1570289,1571009,-11026.417936,25818.362328,-7759.377903,51467.526868
109,1769128136.249534130,37,0,48:CC:87:99:A3:11,8E89BED6,GOOGLE,11a39987cc480201061916aafe418c4ff23ec98ae6ba66157ce01277a3051ad8de372e,-24204.055430,54.500710,-24204.054575,359835.462777,268370.960968,1.005140,30.489788,72.500000,-36913.618034,20.749348,433333.333333,360.000000,2249.467529,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-30434.236328,-40977.667969,1628718,1629438,-33404.901654,-6303.325387,-9007.074174,-45508.654571
110,1769128136.295410872,37,0,6B:6C:91:4D:E0:C3,8E89BED6,GOOGLE,c3e04d916c6b0201061916aafe416b98c45349039b1521ba0bb1267d795b503e43f948,-31020.047113,3296.351974,-31020.046851,343814.917058,264994.009746,0.947254,-72.433782,0.500000,-28517.106041,21.257711,438888.888889,360.000000,2120.921143,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-23800.539062,-22567.779297,1634487,1635207,-54903.402841,-4461.850712,-5288.727314,-39290.704479
116,1769128136.343853712,37,2,EC:DD:8B:3E:1A:A3,8E89BED6,APPLE,a31a3e8bddec1eff4c00121900ce074f02e1b92a60160a9eea6d63d682784360ecef030000,30174.012818,2501.766259,30174.011625,377104.023473,287967.789432,1.009438,-30.953349,128.000000,50639.187304,20.011982,289893.617021,376.000000,15924.924805,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,32365.697266,7302.632812,1707895,1708647,6331.939734,79035.488905,61265.336922,12490.903502
