pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,cfo_consensus_hz,cfo_centroid_hz_signfixed
85,1761665703.554161,37,0,d3:aa:11:c3:69:90,8E89BED6,-6223.821777,-419.969666,-12146.34436,551808.8125,365780.21875,0.989496,79.300124,0.5,-5653.589952,13.335376,375000.0,576.0,-5223.592285,-6151.912719,-1884.0935017684465
100,1761665708.481526,37,0,d3:aa:11:c3:69:90,8E89BED6,15986.404297,2207.177246,6630.087281,551343.875,393019.65625,0.977751,-87.966351,0.0,47080.913236,12.498067,1086805.555556,576.0,839.161377,4204.52942,-4588.7060570886515
101,1761665708.591549,37,0,d3:aa:11:c3:69:90,8E89BED6,15986.404297,2207.177246,6630.087281,551343.875,393019.65625,0.977751,-87.966351,0.0,47080.913236,12.498067,1086805.555556,576.0,839.161377,4204.52942,-4590.435785748186
102,1761665709.14519,37,0,d3:aa:11:c3:69:90,8E89BED6,-26644.972656,-5211.510742,-19789.498657,557554.375,390663.28125,0.978464,59.440953,0.0,-21259.343653,12.568954,477430.555556,576.0,-2966.18457,-12714.607544,-2917.6071653310723
103,1761665709.252074,37,0,d3:aa:11:c3:69:90,8E89BED6,-26644.972656,-5211.510742,-19789.498657,557554.375,390663.28125,0.978464,59.440953,0.0,-21259.343653,12.568954,477430.555556,576.0,-2966.18457,-12714.607544,-2917.6071653310723
104,1761665709.788581,37,0,d3:aa:11:c3:69:90,8E89BED6,43340.269531,7996.919922,34201.376343,563113.25,386675.84375,1.005691,40.654311,0.0,14918.226867,12.595348,1524305.555556,576.0,11040.961914,22407.066284,-10398.99761869574
107,1761665710.989884,37,0,d3:aa:11:c3:69:90,8E89BED6,16124.857422,8556.919922,8879.227906,563956.4375,384177.53125,1.045689,2.504011,0.0,2733.196229,12.132212,1157986.111111,576.0,7783.370605,8503.97107,-10977.883922715057
108,1761665711.092887,37,0,d3:aa:11:c3:69:90,8E89BED6,16124.857422,8556.919922,8879.227906,563956.4375,384177.53125,1.045689,2.504011,0.0,2733.196229,12.132212,1157986.111111,576.0,7783.370605,8503.97107,-10979.503286387373
112,1761665712.810391,37,0,d3:aa:11:c3:69:90,8E89BED6,-29562.396484,-5938.977051,-1840.489868,564515.6875,397298.875,1.006923,37.877266,0.0,14174.222584,14.004943,546875.0,576.0,-11185.977539,-8990.682983,-3645.073474331072
113,1761665712.909246,37,0,d3:aa:11:c3:69:90,8E89BED6,-29562.396484,-5938.977051,-1840.489868,564515.6875,397298.875,1.006923,37.877266,0.0,14174.222584,14.004943,546875.0,576.0,-11185.977539,-8990.682983,-3645.073474331072
116,1761665714.052846,37,0,d3:aa:11:c3:69:90,8E89BED6,-25566.380859,-5125.845703,-35357.61975,574151.9375,408734.6875,1.017565,-38.592034,0.0,-20253.833323,12.516592,1019097.222222,576.0,-7497.180664,-16959.98645,-2831.942126331072
117,1761665714.154668,37,0,d3:aa:11:c3:69:90,8E89BED6,-25566.380859,-5125.845703,-35357.61975,574151.9375,408734.6875,1.017565,-38.592034,0.0,-20253.833323,12.516592,1019097.222222,576.0,-7497.180664,-16959.98645,-2831.942126331072
122,1761665715.92807,37,0,d3:aa:11:c3:69:90,8E89BED6,-3528.695068,-3276.925293,-613.362915,571980.4375,403451.46875,1.007454,41.679283,0.0,7315.476767,12.997095,244791.666667,576.0,-3264.390625,-3698.863647,-983.0217163310716
123,1761665716.022192,37,0,d3:aa:11:c3:69:90,8E89BED6,-3528.695068,-3276.925293,-613.362915,571980.4375,403451.46875,1.007454,41.679283,0.0,7315.476767,12.997095,244791.666667,576.0,-3264.390625,-3698.863647,-983.0217163310717
131,1761665719.037961,37,0,d3:aa:11:c3:69:90,8E89BED6,-24228.449219,-8025.568359,-1496.47229,561850.5625,412147.0625,1.004522,-40.757978,4.0,3975.66003,12.305821,588541.666667,576.0,-11893.681641,-10387.830688,-5731.664782331072
