src_file,cluster,dev_type,segments,duration_cov,duration_span,persistence_s,unique_macs,turnover,singleton_mac_frac,mac_rate_per_min,core_mac_density_scaled,adv_mac_pct,gt_frac,dur_ok,unique_ok,churn_ok,rate_ok,dens_ok,decision_ok,churn_reason,k_chosen,homogeneous,homo_mac_share,homo_key_share,win_entropy_norm,uniform_ok,homo_block
controlled/SDR_Adv/airport.csv,0,TAG_APPLE,19,3600.0,2567.6009999999956,2567.6009999999956,19,1.0,1.0,0.31666666666666665,0.5359954112395724,0.0,0.0,True,True,False,False,False,False,,2,False,0.05263157894736842,0.05263157894736842,0.6292492238531492,False,False
controlled/SDR_Adv/airport.csv,1,TAG_APPLE,15,3600.0,2449.525999999998,2449.525999999998,14,0.9285714285714286,0.9285714285714286,0.23333333333333334,0.6748096701489005,0.0,0.0,True,False,False,False,False,False,,2,False,0.13333333333333333,0.13333333333333333,0.56650950655002,False,False
controlled/SDR_Adv/airport.csv,3,TAG_GOOGLE,57,3600.0,2464.3150000000023,2464.3150000000023,57,1.0,1.0,0.95,0.9522309079820387,0.0,0.0,True,True,False,False,False,False,,2,False,0.017543859649122806,0.017543859649122806,0.9621461334058149,True,False
controlled/SDR_Adv/airport.csv,2,TAG_GOOGLE,67,3600.0,2706.547000000006,2706.547000000006,65,0.9692307692307692,0.9692307692307692,1.0833333333333333,0.9048198411805118,0.0,0.0,True,True,False,False,False,False,,2,False,0.029850746268656716,0.029850746268656716,0.817138775678887,False,False
controlled/SDR_Adv/nycab.csv,2,TAG_GOOGLE,2,3600.0,999.4490000000003,999.4490000000003,2,1.0,1.0,0.03333333333333333,0.1302169858969712,0.0,0.0,False,False,False,False,False,False,,2,False,0.5,0.5,0.9999999999971146,True,False
controlled/SDR_Adv/nycab.csv,3,TAG_GOOGLE,6,3600.0,1874.6829999999975,1874.6829999999975,5,0.8,0.8,0.08333333333333333,0.2990758134465475,0.0,0.0,True,False,False,False,False,False,,2,False,0.3333333333333333,0.3333333333333333,0.6500224216454689,False,False
controlled/SDR_Adv/prud1_jan21_ivy.csv,1,TAG_APPLE,37,5400.0,4192.970000000008,4192.970000000008,37,1.0,1.0,0.4111111111111111,0.904734219850808,0.0,0.0,True,True,False,False,False,False,,2,False,0.02702702702702703,0.02702702702702703,0.9112748162090382,True,False
controlled/SDR_Adv/prud1_jan21_ivy.csv,0,TAG_APPLE,37,5400.0,3799.271,3799.271,37,1.0,1.0,0.4111111111111111,0.831449947295706,0.0,0.0,True,True,False,False,False,False,,2,False,0.02702702702702703,0.02702702702702703,0.9487371991591439,True,False
controlled/SDR_Adv/prud1_jan21_ivy.csv,3,TAG_GOOGLE,7,5400.0,2843.4140000000043,2843.4140000000043,7,1.0,1.0,0.07777777777777778,0.32916807547574667,0.0,0.0,True,False,False,False,False,False,,2,False,0.14285714285714285,0.14285714285714285,0.9141008920158344,True,False
controlled/SDR_Adv/prud1_jan21_ivy.csv,2,TAG_GOOGLE,15,5400.0,4227.059999999999,4227.059999999999,13,0.8869047619047619,0.8461538461538461,0.14444444444444443,0.8466666397558407,0.0,0.0,True,False,False,False,False,False,,2,False,0.13333333333333333,0.13333333333333333,0.9018972358684221,True,False
controlled/SDR_Adv/prud1_jan21_ivy.csv,4,TAG_TILE,7,3600.0,3330.273999999998,3330.273999999998,7,1.0,1.0,0.11666666666666667,0.43788788753237495,0.0,0.0,True,False,False,False,False,False,,2,False,0.14285714285714285,0.14285714285714285,0.9852281360313663,True,False
controlled/SDR_Adv/prud1_jan21_ivy.csv,5,TAG_TILE,2,3600.0,3125.294000000009,3125.294000000009,2,1.0,1.0,0.03333333333333333,0.3386499942245665,0.0,0.0,True,False,False,False,False,False,,2,False,0.5,0.5,0.9999999999971146,True,False
