src_file,cluster,dev_type,segments,duration_cov,unique_macs,turnover,singleton_mac_frac,mac_rate_per_min,core_mac_density_scaled,adv_mac_pct,gt_frac,tx_s,rot_s,tx_tok,rot_tok,pass_dens_ge_0.5,pass_dens_ge_0.7,pass_dens_ge_0.9,pass_dens_ge_1.1,pass_dens_ge_1.3,pass_dens_ge_1.5,pass_dens_ge_1.8,pass_dens_ge_2.0
controlled/HtoW/scenarios_Home_to_work_gym__adv0_apple0_google0_samsung0_tile0__20260129_124814/background_only.csv,2,TAG_APPLE,39,3600.0,38,,,,0.9247854523668038,0.0,0.0,,,,,True,True,True,False,False,False,False,False
controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-1min_rot-15min.csv,2,TAG_APPLE,4,3600.0,4,,,,2.2168919885811795,1.0,1.0,60.0,900.0,1min,15min,True,True,True,True,True,True,True,True
controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-30s_rot-15min.csv,2,TAG_APPLE,4,3600.0,4,,,,4.417051401424748,1.0,1.0,30.0,900.0,30s,15min,True,True,True,True,True,True,True,True
controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-30s_rot-1min.csv,2,TAG_APPLE,47,3600.0,47,,,,3.3464354586841987,1.0,1.0,30.0,60.0,30s,1min,True,True,True,True,True,True,True,True
controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-2s_rot-15min.csv,2,TAG_APPLE,4,3600.0,4,,,,6.666666622222222,1.0,1.0,2.0,900.0,2s,15min,True,True,True,True,True,True,True,True
controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-30s_rot-10s.csv,1,TAG_APPLE,74,3600.0,74,,,,2.695825840971331,1.0,1.0,30.0,10.0,30s,10s,True,True,True,True,True,True,True,True
controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-15s_rot-10s.csv,2,TAG_APPLE,40,3600.0,40,,,,3.4655297419446804,1.0,1.0,15.0,10.0,15s,10s,True,True,True,True,True,True,True,True
controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-2s_rot-10s.csv,1,TAG_APPLE,90,3600.0,90,,,,3.5319636352714876,1.0,1.0,2.0,10.0,2s,10s,True,True,True,True,True,True,True,True
controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-1min_rot-1min.csv,1,TAG_APPLE,47,3600.0,47,,,,2.3003425011177847,1.0,1.0,60.0,60.0,1min,1min,True,True,True,True,True,True,True,True
controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-2s_rot-2s.csv,2,TAG_APPLE,25,3600.0,18,,,,2.3868817464326924,1.0,1.0,2.0,2.0,2s,2s,True,True,True,True,True,True,True,True
controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-10s_rot-30s.csv,2,TAG_APPLE,89,3600.0,89,,,,3.6276553711635837,1.0,1.0,10.0,30.0,10s,30s,True,True,True,True,True,True,True,True
controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-10s_rot-2s.csv,1,TAG_APPLE,64,3600.0,64,,,,2.7459354416426667,1.0,1.0,10.0,2.0,10s,2s,True,True,True,True,True,True,True,True
controlled/HtoW/scenarios_Home_to_work_gym__adv1_apple0_google0_samsung0_tile0__20260129_124650/scenario_tx-10s_rot-10s.csv,1,TAG_APPLE,70,3600.0,70,,,,2.979105468055958,1.0,1.0,10.0,10.0,10s,10s,True,True,True,True,True,True,True,True
