pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,cfo_quick_hz_fixed,cfo_centroid_hz_fixed,cfo_two_stage_hz_fixed,cfo_coarse_hz_fixed,cfo_consensus_hz
17,1761665677.260826,37,0,d3:aa:11:c3:69:90,8E89BED6,53290.871094,-11204.300781,26911.636719,560418.062500,382066.687500,0.964519,-76.220628,0.000000,-26801.758930,10.791799,1805555.555556,576.000000,-6776.424805,53290.871094,11204.300781,26911.636719,6776.424805,19057.968750
18,1761665677.793001,37,0,d3:aa:11:c3:69:90,8E89BED6,17884.722656,577.720154,8953.789062,551978.375000,381374.125000,1.026624,12.780840,0.000000,4475.175756,15.651833,1736.111111,576.000000,-2281.355713,17884.722656,577.720154,8953.789062,2281.355713,5617.572388
19,1761665677.889875,37,0,d3:aa:11:c3:69:90,8E89BED6,17884.722656,577.720154,8953.789062,551978.375000,381374.125000,1.026624,12.780840,0.000000,4475.175756,15.651833,1736.111111,576.000000,-2281.355713,17884.722656,577.720154,8953.789062,2281.355713,5617.572388
20,1761665678.429295,37,0,d3:aa:11:c3:69:90,8E89BED6,-23389.183594,-7078.580078,-19845.261719,550291.750000,401065.281250,1.013113,17.398067,1.000000,-3275.629985,12.892572,1697916.666667,576.000000,-5844.449219,-23389.183594,-7078.580078,-19845.261719,-5844.449219,-13461.920898
21,1761665678.532874,37,0,d3:aa:11:c3:69:90,8E89BED6,-23389.183594,-7078.580078,-19845.261719,550291.750000,401065.281250,1.013113,17.398067,1.000000,-3275.629985,12.892572,1697916.666667,576.000000,-5844.449219,-23389.183594,-7078.580078,-19845.261719,-5844.449219,-13461.920898
22,1761665679.068351,37,0,d3:aa:11:c3:69:90,8E89BED6,10182.769531,-2369.772949,7779.199707,558242.437500,389625.781250,0.991217,70.656495,2.500000,-14923.607779,13.703840,8680.555556,576.000000,6178.117188,10182.769531,2369.772949,7779.199707,6178.117188,6978.658447
23,1761665679.603551,37,0,d3:aa:11:c3:69:90,8E89BED6,6041.897461,-4857.413574,-6901.780762,562104.250000,393848.093750,0.949296,89.730050,0.000000,-18910.085200,13.483594,560763.888889,576.000000,-5398.943359,-6041.897461,-4857.413574,-6901.780762,-5398.943359,-5720.420410
24,1761665679.709412,37,0,d3:aa:11:c3:69:90,8E89BED6,6041.897461,-4857.413574,-6901.780762,562104.250000,393848.093750,0.949296,89.730050,0.000000,-18910.085200,13.483594,560763.888889,576.000000,-5398.943359,-6041.897461,-4857.413574,-6901.780762,-5398.943359,-5720.420410
25,1761665680.255207,37,0,d3:aa:11:c3:69:90,8E89BED6,1089.549683,-1373.659668,-13829.078125,566982.750000,403122.156250,0.998797,70.834244,0.000000,-11516.102634,13.475140,1736.111111,576.000000,-13025.449219,-1089.549683,-1373.659668,-13829.078125,-13025.449219,-7199.554444
26,1761665680.352865,37,0,d3:aa:11:c3:69:90,8E89BED6,1089.549683,-1373.659668,-13829.078125,566982.750000,403122.156250,0.998797,70.834244,0.000000,-11516.102634,13.475140,1736.111111,576.000000,-13025.449219,-1089.549683,-1373.659668,-13829.078125,-13025.449219,-7199.554444
