file,cfo_hz,cfo_std_hz,iq_gain_alpha,iq_phase_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,mag_mean,i_std,q_std,cfo_std_hz_sym
pkt_000000.fc32,365.7809759433142,555126.5625,0.968322217464447,71.47680191958808,0.5,460585.9099669851,10.88081537197424,800847.4576271187,0.8846238851547241,0.6956366896629333,0.7183938026428223,551502.4102768272
pkt_000001.fc32,-18946.1324868547,565248.125,0.958342969417572,64.70558876798603,0.5,439166.34863563546,10.516403247709501,780487.8048780487,0.8822463154792786,0.6919089555740356,0.7219847440719604,558270.5206163835
pkt_000002.fc32,-18946.1324868547,565248.125,0.958342969417572,64.70558876798603,0.5,439166.34863563546,10.516403247709501,780487.8048780487,0.8822463154792786,0.6919089555740356,0.7219847440719604,558270.5206163835
pkt_000003.fc32,1900.5404536448987,555049.5625,0.9709974527359009,73.4751939988498,0.5,461255.7202108161,11.70511273364031,793750.0000000001,0.8848922848701477,0.6966265439987183,0.7174339294433594,552488.1963015369
pkt_000004.fc32,1900.5404536448987,555049.5625,0.9709974527359009,73.4751939988498,0.5,461255.7202108161,11.70511273364031,793750.0000000001,0.8848922848701477,0.6966265439987183,0.7174339294433594,552488.1963015369
pkt_000005.fc32,3441.0152121964106,553274.0625,0.9732855558395386,71.80446826651912,0.5,461810.824290835,12.31244514798288,792338.7096774194,0.883679211139679,0.6974700689315796,0.7166140079498291,550697.2068646734
pkt_000006.fc32,3441.0152121964106,553274.0625,0.9732855558395386,71.80446826651912,0.5,461810.824290835,12.31244514798288,792338.7096774194,0.883679211139679,0.6974700689315796,0.7166140079498291,550697.2068646734
pkt_000007.fc32,34355.51001570564,561315.9375,0.9505870938301086,-89.19853195809573,1.5,513384.91550817917,10.028553782888112,928571.4285714286,0.8926525712013245,0.688973069190979,0.7247868776321411,576773.009786508
pkt_000008.fc32,36675.21301257122,561039.375,0.9424079656600952,-84.41272775233449,0.5,506914.87979355117,11.57064502051664,860169.4915254237,0.8932734131813049,0.6858397722244263,0.7277525067329407,576116.4388797928
pkt_000009.fc32,32185.222150121008,560224.875,0.9191604852676392,86.28168787331201,0.0,516444.70184831275,9.074695851800122,984756.0975609755,0.8951437473297119,0.6767216920852661,0.7362388968467712,574023.289463147
pkt_000010.fc32,32185.222150121008,560224.875,0.9191604852676392,86.28168787331201,0.0,516444.70184831275,9.074695851800122,984756.0975609755,0.8951437473297119,0.6767216920852661,0.7362388968467712,574023.289463147
pkt_000011.fc32,23642.775702989915,559591.75,0.9445911049842834,-87.94009403937318,0.0,488721.6304739081,11.860759924262423,227941.17647058822,0.8925400972366333,0.6866798996925354,0.7269598841667175,566583.9233101599
pkt_000012.fc32,36275.25800479773,560241.625,0.9425008296966553,-84.41594673986842,0.0,508427.5150941235,11.794853814470322,859913.7931034481,0.8925821781158447,0.6858755946159363,0.7277188301086426,576847.5726849474
pkt_000013.fc32,26804.09555802185,563764.125,0.9960552453994751,-47.10063248606665,0.0,492984.96023346786,9.578440850999277,968750.0000000001,0.8930951952934265,0.7057079672813416,0.7085028290748596,563632.560624302
pkt_000014.fc32,26804.09555802185,563764.125,0.9960552453994751,-47.10063248606665,0.0,492984.96023346786,9.578440850999277,968750.0000000001,0.8930951952934265,0.7057079672813416,0.7085028290748596,563632.560624302
pkt_000015.fc32,24167.905785271192,563499.5625,0.9993090629577637,-45.411008594054714,0.5,492997.00627890043,9.905031122325333,968220.3389830508,0.8932965993881226,0.7068624496459961,0.7073512077331543,563941.7025752359
pkt_000016.fc32,12042.524712247969,564271.1875,1.0033336877822876,-42.85868371676969,0.0,490699.7252136032,10.844562972757789,968750.0,0.8894693851470947,0.7082825303077698,0.705929160118103,566312.5750726336
pkt_000017.fc32,24167.905785271192,563499.5625,0.9993090629577637,-45.411008594054714,0.5,492997.00627890043,9.905031122325333,968220.3389830508,0.8932965993881226,0.7068624496459961,0.7073512077331543,563941.7025752359
pkt_000018.fc32,-14097.876858096168,554627.875,0.9763945937156677,-79.44800285463377,0.0,493234.92608428845,9.82439132517355,927083.3333333335,0.8849857449531555,0.6986114382743835,0.7155011892318726,549073.8985719337
pkt_000019.fc32,-14097.876858096168,554627.875,0.9763945937156677,-79.44800285463377,0.0,493234.92608428845,9.82439132517355,927083.3333333335,0.8849857449531555,0.6986114382743835,0.7155011892318726,549073.8985719337
pkt_000020.fc32,-14714.704601578327,554276.8125,0.983846127986908,-61.378616579636535,2.0,493821.39651510597,9.909277970023547,712765.9574468086,0.888628363609314,0.7013257741928101,0.7128409147262573,548270.1750341002
pkt_000021.fc32,-14970.63392421282,557886.4375,0.9757262468338013,-88.90997006827344,2.0,491663.2013900994,9.770506806659872,927419.3548387097,0.8841868042945862,0.6983665227890015,0.7157402038574219,551171.1461020815
pkt_000022.fc32,-14714.704601578327,554276.8125,0.983846127986908,-61.378616579636535,2.0,493821.39651510597,9.909277970023547,712765.9574468086,0.888628363609314,0.7013257741928101,0.7128409147262573,548270.1750341002
pkt_000023.fc32,-14714.704601578327,554276.8125,0.983846127986908,-61.378616579636535,2.0,493821.39651510597,9.909277970023547,712765.9574468086,0.888628363609314,0.7013257741928101,0.7128409147262573,548270.1750341002
pkt_000024.fc32,-11794.419276443985,553632.125,0.9729992747306824,-76.0366845232114,0.5,493812.07195062557,10.616267249416133,711864.4067796611,0.8857828974723816,0.6973646879196167,0.7167165279388428,547614.6666012559
pkt_000025.fc32,-10555.111096463444,551756.6875,0.9846967458724976,-54.767615898048604,0.5,491850.8472438191,10.474892194484289,987804.8780487804,0.8860599994659424,0.701633632183075,0.7125377655029297,542360.3538547467
pkt_000026.fc32,-11794.419276443985,553632.125,0.9729992747306824,-76.0366845232114,0.5,493812.07195062557,10.616267249416133,711864.4067796611,0.8857828974723816,0.6973646879196167,0.7167165279388428,547614.6666012559
pkt_000027.fc32,-10555.111096463444,551756.6875,0.9846967458724976,-54.767615898048604,0.5,491850.8472438191,10.474892194484289,987804.8780487804,0.8860599994659424,0.701633632183075,0.7125377655029297,542360.3538547467
pkt_000028.fc32,3157.3453608391255,551478.125,0.9528353214263916,80.2141075471061,0.0,487824.07603311766,9.976168826787292,928308.8235294118,0.8845321536064148,0.6898276209831238,0.7239736318588257,551492.7721209984
pkt_000029.fc32,11799.53598933784,567171.0,1.0270910263061523,-25.162912448913833,0.0,467799.28247494873,11.611259125620402,979166.6666666667,0.8906784057617188,0.7164929509162903,0.6975943446159363,578919.2070057075
pkt_000030.fc32,11799.53598933784,567171.0,1.0270910263061523,-25.162912448913833,0.0,467799.28247494873,11.611259125620402,979166.6666666667,0.8906784057617188,0.7164929509162903,0.6975943446159363,578919.2070057075
pkt_000031.fc32,46039.5019715841,562642.125,1.0155566930770874,-34.92908752163828,0.5,421508.20580592536,13.142669818504864,5102.040816326531,0.8921195864677429,0.712543249130249,0.7016281485557556,569731.1606432156
pkt_000032.fc32,46039.5019715841,562642.125,1.0155566930770874,-34.92908752163828,0.5,421508.20580592536,13.142669818504864,5102.040816326531,0.8921195864677429,0.712543249130249,0.7016281485557556,569731.1606432156
pkt_000033.fc32,39371.299749793354,562493.0,1.0140169858932495,-33.494974970907094,2.5,397438.1380171543,13.625171585295426,179878.0487804878,0.8898075222969055,0.7120108604431152,0.7021685838699341,570395.6242129718
pkt_000034.fc32,46039.5019715841,562642.125,1.0155566930770874,-34.92908752163828,0.5,421508.20580592536,13.142669818504864,5102.040816326531,0.8921195864677429,0.712543249130249,0.7016281485557556,569731.1606432156
pkt_000035.fc32,39371.299749793354,562493.0,1.0140169858932495,-33.494974970907094,2.5,397438.1380171543,13.625171585295426,179878.0487804878,0.8898075222969055,0.7120108604431152,0.7021685838699341,570395.6242129718
pkt_000036.fc32,11843.66541467847,564983.625,1.0286942720413208,-24.622527610639295,0.5,464627.28901775926,11.01903301820533,978813.5593220339,0.8908993601799011,0.7170364856719971,0.6970356106758118,575492.0078076721
pkt_000037.fc32,39371.299749793354,562493.0,1.0140169858932495,-33.494974970907094,2.5,397438.1380171543,13.625171585295426,179878.0487804878,0.8898075222969055,0.7120108604431152,0.7021685838699341,570395.6242129718
pkt_000038.fc32,11843.66541467847,564983.625,1.0286942720413208,-24.622527610639295,0.5,464627.28901775926,11.01903301820533,978813.5593220339,0.8908993601799011,0.7170364856719971,0.6970356106758118,575492.0078076721
pkt_000039.fc32,39371.299749793354,562493.0,1.0140169858932495,-33.494974970907094,2.5,397438.1380171543,13.625171585295426,179878.0487804878,0.8898075222969055,0.7120108604431152,0.7021685838699341,570395.6242129718
pkt_000040.fc32,7005.173043303843,564998.9375,1.0308064222335815,-11.942143631851454,0.0,484518.2250853458,11.336457454160564,977941.1764705882,0.8898723721504211,0.7177507877349854,0.696300208568573,575426.8553920893
pkt_000041.fc32,46039.5019715841,562642.125,1.0155566930770874,-34.92908752163828,0.5,421508.20580592536,13.142669818504864,5102.040816326531,0.8921195864677429,0.712543249130249,0.7016281485557556,569731.1606432156
pkt_000042.fc32,46039.5019715841,562642.125,1.0155566930770874,-34.92908752163828,0.5,421508.20580592536,13.142669818504864,5102.040816326531,0.8921195864677429,0.712543249130249,0.7016281485557556,569731.1606432156
pkt_000043.fc32,39371.299749793354,562493.0,1.0140169858932495,-33.494974970907094,2.5,397438.1380171543,13.625171585295426,179878.0487804878,0.8898075222969055,0.7120108604431152,0.7021685838699341,570395.6242129718
pkt_000044.fc32,39371.299749793354,562493.0,1.0140169858932495,-33.494974970907094,2.5,397438.1380171543,13.625171585295426,179878.0487804878,0.8898075222969055,0.7120108604431152,0.7021685838699341,570395.6242129718
pkt_000045.fc32,46039.5019715841,562642.125,1.0155566930770874,-34.92908752163828,0.5,421508.20580592536,13.142669818504864,5102.040816326531,0.8921195864677429,0.712543249130249,0.7016281485557556,569731.1606432156
pkt_000046.fc32,39371.299749793354,562493.0,1.0140169858932495,-33.494974970907094,2.5,397438.1380171543,13.625171585295426,179878.0487804878,0.8898075222969055,0.7120108604431152,0.7021685838699341,570395.6242129718
pkt_000047.fc32,46039.5019715841,562642.125,1.0155566930770874,-34.92908752163828,0.5,421508.20580592536,13.142669818504864,5102.040816326531,0.8921195864677429,0.712543249130249,0.7016281485557556,569731.1606432156
