pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end
15,1763944133.518694878,37,0,D3:AA:11:C3:69:90,8E89BED6,4990.597335,4990.597335,4990.597335,356820.390508,356820.390508,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,4990.597168,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,18772.935547,29520.736328,39349522,39350274
16,1763944133.946943760,37,0,D3:AA:11:C3:69:90,8E89BED6,5659.312340,5659.312340,5659.312340,347774.366337,347774.366337,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,5659.312500,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,852.405151,4605.800293,43367775,43368527
17,1763944133.947185040,37,0,D3:AA:11:C3:69:90,8E89BED6,5132.788615,5132.788615,5132.788615,347730.319958,347730.319958,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,5132.788574,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,852.405151,4617.677246,43367776,43368528
18,1763944134.389920712,37,0,D3:AA:11:C3:69:90,8E89BED6,6039.470092,6039.470092,6039.470092,349896.487801,349896.487801,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,6039.470215,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,1330.422729,29808.251953,47371117,47371869
19,1763944134.390166283,37,0,D3:AA:11:C3:69:90,8E89BED6,5516.683125,5516.683125,5516.683125,349988.151584,349988.151584,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,5516.683105,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,1330.422729,29698.998047,47371118,47371870
20,1763944134.843477964,37,0,D3:AA:11:C3:69:90,8E89BED6,5813.184333,5813.184333,5813.184333,350049.936471,350049.936471,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,5813.184570,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,4667.934082,8759.490234,51380762,51381514
21,1763944134.843701363,37,0,D3:AA:11:C3:69:90,8E89BED6,5292.545248,5292.545248,5292.545248,350132.202916,350132.202916,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,5292.545410,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,4667.934082,8661.649414,51380763,51381515
22,1763944135.276517868,37,0,D3:AA:11:C3:69:90,8E89BED6,5820.974248,5820.974248,5820.974248,345235.053277,345235.053277,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,5820.974121,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-6442.333984,7182.731934,55387274,55388026
23,1763944135.697786570,37,0,D3:AA:11:C3:69:90,8E89BED6,6170.734175,6170.734175,6170.734175,351107.015617,351107.015617,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,6170.734375,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-3919.161621,9952.729492,59406648,59407400
24,1763944135.698329687,37,0,D3:AA:11:C3:69:90,8E89BED6,5655.851243,5655.851243,5655.851243,350891.439041,350891.439041,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,5655.851074,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-4559.206543,9844.155273,59406649,59407401
25,1763944136.143109083,37,0,D3:AA:11:C3:69:90,8E89BED6,5755.088819,5755.088819,5755.088819,355376.182877,355376.182877,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,5755.088867,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,17998.769531,24464.402344,63423363,63424115
