pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end,cfo_equal_00_hz,cfo_equal_11_hz,cfo_jump_10_hz,cfo_jump_01_hz
12,1764278003.964331150,37,0,C9:06:43:F9:43:3F,8E89BED6,-15737.370501,4670.587344,-15737.369754,349292.893733,251541.088267,1.038220,24.790383,2.500000,7663.597101,21.148027,367021.276596,376.000000,-8680.826172,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-8412.246094,-936.459656,28337531,28338283,-1780.400651,-39252.774942,-28999.442163,-5997.259847
13,1764278006.044819117,37,0,C9:06:43:F9:43:3F,8E89BED6,-16324.847619,3351.077695,-16324.847286,357341.312233,272514.307416,0.919146,70.993673,3.000000,7398.838269,21.392207,369680.851064,376.000000,-10315.178711,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-44054.773438,-3164.134033,32345835,32346587,-17185.273963,-62591.367344,-24672.480266,-4590.193659
14,1764278006.079576015,37,0,C9:06:43:F9:43:3F,8E89BED6,-15901.900786,3541.638120,-15901.899998,356687.260840,286169.371754,0.917582,71.338535,3.000000,7260.223071,21.368674,369680.851064,376.000000,-10228.721680,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-40176.480469,-3289.074951,32345836,32346588,10250.416872,-19449.966887,-28636.325613,-13496.170981
15,1764278008.184601545,37,0,C9:06:43:F9:43:3F,8E89BED6,-16004.286691,5666.040908,-16004.287631,339596.606159,245250.511155,1.020033,11.658282,2.500000,7566.523063,20.900492,367021.276596,376.000000,-9331.998047,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-82922.375000,-15859.000000,36345683,36346435,-21368.240536,-62673.790027,-29802.090706,25043.360861
16,1764278008.223115444,37,0,C9:06:43:F9:43:3F,8E89BED6,-15717.841578,5860.696636,-15717.842335,339339.104813,277817.726409,1.018290,11.664878,2.500000,7424.783312,20.957097,367021.276596,376.000000,-9346.273438,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-82922.375000,-15870.482422,36345684,36346436,9881.543700,-31946.438175,-38829.590424,-9453.435941
17,1764278010.179147720,37,0,C9:06:43:F9:43:3F,8E89BED6,-16832.428122,3860.874068,-16832.427700,342709.709045,252913.860054,1.056601,-8.939016,3.000000,7194.490210,21.052451,369680.851064,376.000000,-9746.549805,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-63902.949219,-14004.804688,40350378,40351130,-20708.117139,-66505.376104,-14769.953835,12654.487420
18,1764278010.215292931,37,0,C9:06:43:F9:43:3F,8E89BED6,-16531.865304,4025.688990,-16531.865535,342475.590266,263617.730419,1.056834,-8.064600,3.000000,7053.726206,21.037240,369680.851064,376.000000,-9845.739258,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-63902.949219,-14077.954102,40350379,40351131,1325.256399,-33201.260805,-27919.181554,-11423.714685
19,1764278012.243078470,37,0,C9:06:43:F9:43:3F,8E89BED6,-16394.693319,3762.990050,-16394.694636,344623.096420,254389.698161,1.045573,28.066137,2.500000,7128.606155,21.925314,367021.276596,376.000000,-8637.153320,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-36275.957031,1342.944702,44357717,44358469,-26330.446712,-64390.558722,-25922.312749,21051.764516
20,1764278012.281350851,37,0,C9:06:43:F9:43:3F,8E89BED6,-16127.410488,3958.808023,-16127.410765,344637.797820,258756.607164,1.044373,28.682929,2.500000,6983.053624,21.909810,367021.276596,376.000000,-8691.642578,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-35723.683594,1216.188477,44357718,44358470,5396.080639,-28799.505427,-33554.368799,-17835.290122
21,1764278014.321873903,37,0,C9:06:43:F9:43:3F,8E89BED6,-16510.025118,4147.008031,-16510.024035,344359.399961,248361.106217,0.965947,-60.923452,2.500000,7171.598177,21.281968,369680.851064,376.000000,-9023.844727,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-13277.045898,-10545.543945,48359282,48360034,-4533.239636,-46050.374470,-35939.825517,-7996.663613
