src_file,cluster,dev_type,segments,duration_cov,unique_macs,turnover,singleton_mac_frac,mac_rate_per_min,core_mac_density_scaled,adv_mac_pct,gt_frac,tx_s,rot_s,tx_tok,rot_tok,pass_dens_ge_0.5,pass_dens_ge_0.7,pass_dens_ge_0.9,pass_dens_ge_1.1,pass_dens_ge_1.3,pass_dens_ge_1.5,pass_dens_ge_1.8,pass_dens_ge_2.0
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_041008/scenario_tx-10s_rot-5min.csv,1,TAG_APPLE,2,1800.0,2,,,,0.0,1.0,1.0,10.0,300.0,10s,5min,False,False,False,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_040946/scenario_tx-10s_rot-10s.csv,2,TAG_APPLE,19,1800.0,19,,,,4.935676238745932,1.0,1.0,10.0,10.0,10s,10s,True,True,True,True,True,True,True,True
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_041008/scenario_tx-15s_rot-15min.csv,2,TAG_APPLE,1,1800.0,1,,,,0.0,1.0,1.0,15.0,900.0,15s,15min,False,False,False,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_041008/scenario_tx-2s_rot-30s.csv,0,TAG_APPLE,6,1800.0,6,,,,2.409663823963058,1.0,1.0,2.0,30.0,2s,30s,True,True,True,True,True,True,True,True
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_041008/scenario_tx-15s_rot-1min.csv,1,TAG_APPLE,3,1800.0,3,,,,1.308459925776231,1.0,1.0,15.0,60.0,15s,1min,True,True,True,True,True,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_041008/scenario_tx-15s_rot-2s.csv,1,TAG_APPLE,10,1800.0,10,,,,1.7216184177874352,1.0,1.0,15.0,2.0,15s,2s,True,True,True,True,True,True,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_041008/scenario_tx-30s_rot-2s.csv,2,TAG_APPLE,6,1800.0,6,,,,2.012598305386247,1.0,1.0,30.0,2.0,30s,2s,True,True,True,True,True,True,True,True
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_041008/scenario_tx-1min_rot-15min.csv,2,TAG_APPLE,1,1800.0,1,,,,0.0,1.0,1.0,60.0,900.0,1min,15min,False,False,False,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_041008/scenario_tx-15s_rot-30s.csv,2,TAG_APPLE,10,3600.0,10,,,,1.3226848304560095,1.0,1.0,15.0,30.0,15s,30s,True,True,True,True,True,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_041008/scenario_tx-15s_rot-10s.csv,1,TAG_APPLE,10,1800.0,10,,,,1.7216184177874352,1.0,1.0,15.0,10.0,15s,10s,True,True,True,True,True,True,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_041008/scenario_tx-10s_rot-10s.csv,0,TAG_APPLE,10,1800.0,10,,,,2.4296423502402558,1.0,1.0,10.0,10.0,10s,10s,True,True,True,True,True,True,True,True
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_041008/scenario_tx-2s_rot-1min.csv,2,TAG_APPLE,6,1800.0,6,,,,2.5269445754115694,1.0,1.0,2.0,60.0,2s,1min,True,True,True,True,True,True,True,True
