block_s,step_s,dens_min,tp,fp,fn,tn,precision,recall,f1,ttd_median_s,ttd_p90_s
300.0,240.0,0.5,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,4619.999999999999,4619.999999999999
300.0,240.0,0.7,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,4619.999999999999,4619.999999999999
300.0,240.0,0.9,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,4619.999999999999,4619.999999999999
300.0,240.0,1.1,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,4619.999999999999,4619.999999999999
300.0,240.0,1.3,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,4619.999999999999,4619.999999999999
300.0,240.0,1.5,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,4619.999999999999,4619.999999999999
300.0,240.0,1.8,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,4619.999999999999,4619.999999999999
300.0,240.0,2.0,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,4619.999999999999,4619.999999999999
450.0,360.0,0.5,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,4769.999999999999,4769.999999999999
450.0,360.0,0.7,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,4769.999999999999,4769.999999999999
450.0,360.0,0.9,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,4769.999999999999,4769.999999999999
450.0,360.0,1.1,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,4769.999999999999,4769.999999999999
450.0,360.0,1.3,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,4769.999999999999,4769.999999999999
450.0,360.0,1.5,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,4769.999999999999,4769.999999999999
450.0,360.0,1.8,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,4769.999999999999,4769.999999999999
450.0,360.0,2.0,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,4769.999999999999,4769.999999999999
600.0,480.0,0.5,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,4919.999999999999,4919.999999999999
600.0,480.0,0.7,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,4919.999999999999,4919.999999999999
600.0,480.0,0.9,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,4919.999999999999,4919.999999999999
600.0,480.0,1.1,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,4919.999999999999,4919.999999999999
600.0,480.0,1.3,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,4919.999999999999,4919.999999999999
600.0,480.0,1.5,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,4919.999999999999,4919.999999999999
600.0,480.0,1.8,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,4919.999999999999,4919.999999999999
600.0,480.0,2.0,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,4919.999999999999,4919.999999999999
750.0,600.0,0.5,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,4949.999999999999,4949.999999999999
750.0,600.0,0.7,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,4949.999999999999,4949.999999999999
750.0,600.0,0.9,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,4949.999999999999,4949.999999999999
750.0,600.0,1.1,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,4949.999999999999,4949.999999999999
750.0,600.0,1.3,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,4949.999999999999,4949.999999999999
750.0,600.0,1.5,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,4949.999999999999,4949.999999999999
750.0,600.0,1.8,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,4949.999999999999,4949.999999999999
750.0,600.0,2.0,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,4949.999999999999,4949.999999999999
900.0,720.0,0.5,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,5219.999999999999,5219.999999999999
900.0,720.0,0.7,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,5219.999999999999,5219.999999999999
900.0,720.0,0.9,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,5219.999999999999,5219.999999999999
900.0,720.0,1.1,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,5219.999999999999,5219.999999999999
900.0,720.0,1.3,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,5219.999999999999,5219.999999999999
900.0,720.0,1.5,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,5219.999999999999,5219.999999999999
900.0,720.0,1.8,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,5219.999999999999,5219.999999999999
900.0,720.0,2.0,22,1,0,0,0.9565217391304348,1.0,0.9777777777777777,5219.999999999999,5219.999999999999
