pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,cfo_consensus_hz
103,1761665709.252074,37,0,d3:aa:11:c3:69:90,8E89BED6,-26644.972656,-5211.510742,-19789.498657,557554.375000,390663.281250,0.978464,59.440953,0.000000,-21259.343653,12.568954,477430.555556,576.000000,-2966.184570,-12714.607544
104,1761665709.788581,37,0,d3:aa:11:c3:69:90,8E89BED6,43340.269531,7996.919922,34201.376343,563113.250000,386675.843750,1.005691,40.654311,0.000000,14918.226867,12.595348,1524305.555556,576.000000,11040.961914,22407.066284
107,1761665710.989884,37,0,d3:aa:11:c3:69:90,8E89BED6,16124.857422,8556.919922,8879.227906,563956.437500,384177.531250,1.045689,2.504011,0.000000,2733.196229,12.132212,1157986.111111,576.000000,7783.370605,8503.971070
108,1761665711.092887,37,0,d3:aa:11:c3:69:90,8E89BED6,16124.857422,8556.919922,8879.227906,563956.437500,384177.531250,1.045689,2.504011,0.000000,2733.196229,12.132212,1157986.111111,576.000000,7783.370605,8503.971070
112,1761665712.810391,37,0,d3:aa:11:c3:69:90,8E89BED6,-29562.396484,-5938.977051,-1840.489868,564515.687500,397298.875000,1.006923,37.877266,0.000000,14174.222584,14.004943,546875.000000,576.000000,-11185.977539,-8990.682983
113,1761665712.909246,37,0,d3:aa:11:c3:69:90,8E89BED6,-29562.396484,-5938.977051,-1840.489868,564515.687500,397298.875000,1.006923,37.877266,0.000000,14174.222584,14.004943,546875.000000,576.000000,-11185.977539,-8990.682983
116,1761665714.052846,37,0,d3:aa:11:c3:69:90,8E89BED6,-25566.380859,-5125.845703,-35357.619750,574151.937500,408734.687500,1.017565,-38.592034,0.000000,-20253.833323,12.516592,1019097.222222,576.000000,-7497.180664,-16959.986450
117,1761665714.154668,37,0,d3:aa:11:c3:69:90,8E89BED6,-25566.380859,-5125.845703,-35357.619750,574151.937500,408734.687500,1.017565,-38.592034,0.000000,-20253.833323,12.516592,1019097.222222,576.000000,-7497.180664,-16959.986450
122,1761665715.928070,37,0,d3:aa:11:c3:69:90,8E89BED6,-3528.695068,-3276.925293,-613.362915,571980.437500,403451.468750,1.007454,41.679283,0.000000,7315.476767,12.997095,244791.666667,576.000000,-3264.390625,-3698.863647
123,1761665716.022192,37,0,d3:aa:11:c3:69:90,8E89BED6,-3528.695068,-3276.925293,-613.362915,571980.437500,403451.468750,1.007454,41.679283,0.000000,7315.476767,12.997095,244791.666667,576.000000,-3264.390625,-3698.863647
131,1761665719.037961,37,0,d3:aa:11:c3:69:90,8E89BED6,-24228.449219,-8025.568359,-1496.472290,561850.562500,412147.062500,1.004522,-40.757978,4.000000,3975.660030,12.305821,588541.666667,576.000000,-11893.681641,-10387.830688
