file,adv_addr,pdu_type,access_address,pcap_ts,bw_3db_hz,cfo_centroid_hz,cfo_hz,cfo_preaa_hz,cfo_std_hz,cfo_std_hz_sym,cfo_two_stage_coarse_hz,cfo_two_stage_hz,cfo_two_stage_score,gated_len_us,i_std,iq_gain_alpha,iq_phase_deg,mag_mean,psd_centroid_hz,psd_pnr_db,q_std,rise_time_us
pkt_000000.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613508.343572,1102040.8163265307,18179.258339692566,-32083.853130782863,-37771.19987067093,570553.5625,392243.15251011506,5208.029869451908,nan,0.4999999999998418,392.0,0.6742352247238159,0.9129586815834045,81.59944969123418,0.8820784687995911,-16043.901177231028,11.87870052052656,0.7385166883468628,1.5
pkt_000001.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613508.343801,1102040.8163265307,18179.258339692566,-32083.853130782863,-37771.19987067093,570553.5625,392243.15251011506,5208.029869451908,nan,0.4999999999998418,392.0,0.6742352247238159,0.9129586815834045,81.59944969123418,0.8820784687995911,-16043.901177231028,11.87870052052656,0.7385166883468628,1.5
pkt_000002.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613508.953578,683673.4693877551,9016.134900375275,-7940.253806901765,21786.546101585474,560644.4375,398376.93402449833,3683.246898039879,nan,0.5999999999998101,392.0,0.7265992760658264,1.0575462579727173,10.342247870538566,0.885932445526123,13484.921557277188,12.408362893565958,0.6870614290237427,0.5
pkt_000003.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613508.954585,683673.4693877551,9016.134900375275,-7940.253806901765,21786.546101585474,560644.4375,398376.93402449833,3683.246898039879,nan,0.5999999999998101,392.0,0.7265992760658264,1.0575462579727173,10.342247870538566,0.885932445526123,13484.921557277188,12.408362893565958,0.6870614290237427,0.5
pkt_000004.fc32,df:62:ef:89:f6:2f,4,8E89BED6,1761613508.955110,1749999.9999999998,8725.02061638839,-19169.230655400628,2781.689996124531,564196.375,404455.0482958237,1598.772128533581,nan,0.5999999999998101,328.0,0.7257776856422424,1.0550178289413452,8.045871162872357,0.8896734714508057,22921.373943805906,10.385592755342486,0.6879293322563171,0.5
pkt_000005.fc32,df:62:ef:89:f6:2f,4,8E89BED6,1761613508.955496,1749999.9999999998,8725.02061638839,-19169.230655400628,2781.689996124531,564196.375,404455.0482958237,1598.772128533581,nan,0.5999999999998101,328.0,0.7257776856422424,1.0550178289413452,8.045871162872357,0.8896734714508057,22921.373943805906,10.385592755342486,0.6879293322563171,0.5
pkt_000006.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613509.534150,2551.0204081632655,1592.666064616538,9794.009243427172,-41314.66643817162,545969.625,370006.7789853336,-290.1175703591032,nan,0.4499999999998576,392.0,0.7117396593093872,1.013234257698059,41.48946090794215,0.8785739541053772,-48302.01821766613,16.550150711939615,0.7024433016777039,0.0
pkt_000007.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613509.534252,2551.0204081632655,1592.666064616538,9794.009243427172,-41314.66643817162,545969.625,370006.7789853336,-290.1175703591032,nan,0.4499999999998576,392.0,0.7117396593093872,1.013234257698059,41.48946090794215,0.8785739541053772,-48302.01821766613,16.550150711939615,0.7024433016777039,0.0
pkt_000008.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613510.078291,1775510.2040816327,-2076.630990664291,35523.785414114776,16705.391694300084,560417.0625,389884.5376617437,-5130.906274868412,nan,0.39999999999987346,392.0,0.7297077775001526,1.0672000646591187,-9.896162230072266,0.889508843421936,9643.0792933078,10.012636822755312,0.6837591528892517,1.0
pkt_000009.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613510.541728,1732142.8571428573,-3498.40802783219,27467.930655510547,-47804.37067805923,553298.9375,391985.3179541831,11956.276505494043,nan,0.4499999999998576,392.0,0.695111870765686,0.9669080972671509,-63.204022003330955,0.8816937804222107,30567.915252779116,10.613730450203192,0.7189016342163086,0.0
