src_file,cluster,dev_type,segments,duration_cov,unique_macs,turnover,singleton_mac_frac,mac_rate_per_min,core_mac_density_scaled,adv_mac_pct,gt_frac,tx_s,rot_s,tx_tok,rot_tok,pass_dens_ge_0.5,pass_dens_ge_0.7,pass_dens_ge_0.9,pass_dens_ge_1.1,pass_dens_ge_1.3,pass_dens_ge_1.5,pass_dens_ge_1.8,pass_dens_ge_2.0
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_042653/scenario_tx-30s_rot-5min.csv,2,TAG_APPLE,3,1800.0,3,,,,0.5410454959930019,1.0,1.0,30.0,300.0,30s,5min,True,False,False,False,False,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_042653/scenario_tx-10s_rot-30s.csv,4,TAG_APPLE,7,1800.0,7,,,,3.2371980399678955,1.0,1.0,10.0,30.0,10s,30s,True,True,True,True,True,True,True,True
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_042653/scenario_tx-15s_rot-2s.csv,2,TAG_APPLE,10,1800.0,10,,,,2.225177598258725,1.0,1.0,15.0,2.0,15s,2s,True,True,True,True,True,True,True,True
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_042653/scenario_tx-30s_rot-10s.csv,2,TAG_APPLE,9,1800.0,9,,,,2.1861211240288037,1.0,1.0,30.0,10.0,30s,10s,True,True,True,True,True,True,True,True
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_042653/scenario_tx-15s_rot-10s.csv,2,TAG_APPLE,10,1800.0,10,,,,2.225177598258725,1.0,1.0,15.0,10.0,15s,10s,True,True,True,True,True,True,True,True
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_042653/scenario_tx-30s_rot-30s.csv,1,TAG_APPLE,9,1800.0,9,,,,2.147110751585155,1.0,1.0,30.0,30.0,30s,30s,True,True,True,True,True,True,True,True
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_042653/scenario_tx-30s_rot-2s.csv,1,TAG_APPLE,9,1800.0,9,,,,1.6072415978822177,1.0,1.0,30.0,2.0,30s,2s,True,True,True,True,True,True,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_042653/scenario_tx-2s_rot-1min.csv,1,TAG_APPLE,6,1800.0,6,,,,3.4250672651278355,1.0,1.0,2.0,60.0,2s,1min,True,True,True,True,True,True,True,True
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_042653/scenario_tx-2s_rot-30s.csv,2,TAG_APPLE,11,1800.0,11,,,,5.3814853193539545,1.0,1.0,2.0,30.0,2s,30s,True,True,True,True,True,True,True,True
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_042653/scenario_tx-2s_rot-10s.csv,2,TAG_APPLE,20,1800.0,20,,,,2.552004610607307,1.0,1.0,2.0,10.0,2s,10s,True,True,True,True,True,True,True,True
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_042636/scenario_tx-10s_rot-10s.csv,1,TAG_APPLE,18,1800.0,18,,,,4.484290781139393,1.0,1.0,10.0,10.0,10s,10s,True,True,True,True,True,True,True,True
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fc__20260130_042653/scenario_tx-2s_rot-2s.csv,2,TAG_APPLE,62,1800.0,62,,,,2.2520185777890154,1.0,1.0,2.0,2.0,2s,2s,True,True,True,True,True,True,True,True
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_042636/scenario_tx-10s_rot-5min.csv,2,TAG_APPLE,2,1800.0,2,,,,0.0,1.0,1.0,10.0,300.0,10s,5min,False,False,False,False,False,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_042636/scenario_tx-15s_rot-15min.csv,2,TAG_APPLE,1,1800.0,1,,,,0.0,1.0,1.0,15.0,900.0,15s,15min,False,False,False,False,False,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_042636/scenario_tx-10s_rot-15min.csv,2,TAG_APPLE,1,1800.0,1,,,,0.0,1.0,1.0,10.0,900.0,10s,15min,False,False,False,False,False,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_042636/scenario_tx-10s_rot-30s.csv,2,TAG_APPLE,12,1800.0,12,,,,4.25018109571937,1.0,1.0,10.0,30.0,10s,30s,True,True,True,True,True,True,True,True
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_042636/scenario_tx-10s_rot-2s.csv,1,TAG_APPLE,20,1800.0,20,,,,4.422457156305405,1.0,1.0,10.0,2.0,10s,2s,True,True,True,True,True,True,True,True
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_042636/scenario_tx-10s_rot-1min.csv,0,TAG_APPLE,5,1800.0,5,,,,4.8275962122149725,1.0,1.0,10.0,60.0,10s,1min,True,True,True,True,True,True,True,True
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_042636/scenario_tx-15s_rot-2s.csv,1,TAG_APPLE,13,1800.0,13,,,,5.5080383447235315,1.0,1.0,15.0,2.0,15s,2s,True,True,True,True,True,True,True,True
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_042636/scenario_tx-1min_rot-15min.csv,2,TAG_APPLE,1,1800.0,1,,,,0.0,1.0,1.0,60.0,900.0,1min,15min,False,False,False,False,False,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_042636/scenario_tx-15s_rot-1min.csv,2,TAG_APPLE,6,1800.0,6,,,,4.066295514050576,1.0,1.0,15.0,60.0,15s,1min,True,True,True,True,True,True,True,True
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_042636/scenario_tx-1min_rot-1min.csv,2,TAG_APPLE,5,1800.0,5,,,,3.109880614345646,1.0,1.0,60.0,60.0,1min,1min,True,True,True,True,True,True,True,True
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_042636/scenario_tx-15s_rot-5min.csv,2,TAG_APPLE,3,1800.0,3,,,,0.6114919152155981,1.0,1.0,15.0,300.0,15s,5min,True,False,False,False,False,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_042636/scenario_tx-2s_rot-1min.csv,2,TAG_APPLE,7,1800.0,7,,,,5.541656983412324,1.0,1.0,2.0,60.0,2s,1min,True,True,True,True,True,True,True,True
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_042636/scenario_tx-2s_rot-15min.csv,1,TAG_APPLE,3,3600.0,2,,,,1.3151261451937442,1.0,1.0,2.0,900.0,2s,15min,True,True,True,True,True,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_042636/scenario_tx-15s_rot-10s.csv,1,TAG_APPLE,12,1800.0,12,,,,4.228056833993598,1.0,1.0,15.0,10.0,15s,10s,True,True,True,True,True,True,True,True
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_042636/scenario_tx-1min_rot-5min.csv,2,TAG_APPLE,2,1800.0,2,,,,0.0,1.0,1.0,60.0,300.0,1min,5min,False,False,False,False,False,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_042636/scenario_tx-1min_rot-2s.csv,0,TAG_APPLE,6,1800.0,6,,,,3.160708561169961,1.0,1.0,60.0,2.0,1min,2s,True,True,True,True,True,True,True,True
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_042636/scenario_tx-1min_rot-10s.csv,0,TAG_APPLE,6,1800.0,6,,,,3.160708561169959,1.0,1.0,60.0,10.0,1min,10s,True,True,True,True,True,True,True,True
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_042636/scenario_tx-2s_rot-5min.csv,1,TAG_APPLE,4,3600.0,3,,,,1.639335298891972,1.0,1.0,2.0,300.0,2s,5min,True,True,True,True,True,True,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_042636/scenario_tx-15s_rot-30s.csv,1,TAG_APPLE,12,1800.0,12,,,,5.328173906857777,1.0,1.0,15.0,30.0,15s,30s,True,True,True,True,True,True,True,True
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_042636/scenario_tx-30s_rot-15min.csv,2,TAG_APPLE,1,1800.0,1,,,,0.0,1.0,1.0,30.0,900.0,30s,15min,False,False,False,False,False,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_042636/scenario_tx-30s_rot-5min.csv,2,TAG_APPLE,1,1800.0,1,,,,0.0,1.0,1.0,30.0,300.0,30s,5min,False,False,False,False,False,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_042636/scenario_tx-1min_rot-30s.csv,0,TAG_APPLE,6,1800.0,6,,,,3.1607085611699595,1.0,1.0,60.0,30.0,1min,30s,True,True,True,True,True,True,True,True
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_042636/scenario_tx-30s_rot-1min.csv,0,TAG_APPLE,7,1800.0,7,,,,3.5475420734033647,1.0,1.0,30.0,60.0,30s,1min,True,True,True,True,True,True,True,True
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_042621/scenario_tx-10s_rot-15min.csv,2,TAG_APPLE,1,1800.0,1,,,,0.0,1.0,1.0,10.0,900.0,10s,15min,False,False,False,False,False,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_042636/scenario_tx-2s_rot-30s.csv,2,TAG_APPLE,13,1800.0,13,,,,6.666666622222222,1.0,1.0,2.0,30.0,2s,30s,True,True,True,True,True,True,True,True
