pkt_idx,timestamp,rf_channel,pdu_type,AdvA,access_address,tag_type,payload,CFO_Hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end,CFO_00_Hz,CFO_11_Hz,CFO_10_Hz,CFO_01_Hz
182419,1769216956.460861206,37,0,EE:41:10:23:AF:58,8E89BED6,APPLE,58af231041ee1eff4c00121920b8195b5391537fc65f2b8c44ee2d60150abb395853e90254,7729.649368,3702.483343,7729.648524,325774.562870,244099.239414,1.072808,-5.437074,3.000000,19698.999417,23.714634,329787.234043,376.000000,3111.922852,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,9559.899414,14900.464844,2960267855,2960268607,7504.342056,11542.868078,-10881.402417,34849.700013
182420,1769216956.492997885,37,0,EE:41:10:23:AF:58,8E89BED6,APPLE,58af231041ee1eff4c00121920b8195b5391537fc65f2b8c44ee2d60150abb395853e90254,7254.950289,3637.132626,7254.951324,325854.608925,249980.603338,1.074350,-5.022544,3.000000,19674.991400,23.695345,329787.234043,376.000000,3007.141357,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,7549.948242,14860.568359,2960267856,2960268608,16834.751071,8140.281366,10759.841669,6992.466023
182437,1769216956.541952372,37,0,E5:80:FD:45:9B:E9,8E89BED6,TILE,e99b45fd80e50201060d16edfe0200991528a0bb83959c0303edfe,-12062.994519,2430.579117,-12062.993912,280312.714086,220376.100694,1.048006,21.132557,0.500000,-13630.781198,21.285325,283783.783784,296.000000,-1305.930786,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-16458.921875,-13671.443359,2960445504,2960446096,23237.430686,-27650.844059,-21595.044321,-42067.645707
182439,1769216956.767478466,37,0,69:B3:D4:D7:57:AC,8E89BED6,GOOGLE,ac57d7d4b3690201061916aafe415c4c68023de03cce6d2759f08c88e5537cf95f37bf,11592.278569,10189.378899,11592.280078,327815.749495,253301.261772,0.988591,-62.645403,1.000000,28059.482577,22.324924,302777.777778,360.000000,14133.987305,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,395.431549,10350.922852,2960506777,2960507497,14094.269644,-23462.532933,28467.796945,6505.624730
182460,1769216956.834737301,37,0,F6:B3:C7:70:AA:6F,8E89BED6,APPLE,6faa70c7b3f61eff4c00121920071d4b097cd79865779e67e2c43459a9a738d20ff84d0177,5770.469319,1911.529718,5770.469002,336166.455349,235528.458859,0.918150,-72.432626,3.000000,4949.091792,24.500806,231382.978723,376.000000,601.309265,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-416.832947,2185.697266,2960862083,2960862835,14042.883273,-12928.753581,-13299.815964,7431.036678
182466,1769216957.081113100,37,0,D1:CF:9E:9A:9A:B6,8E89BED6,APPLE,b69a9a9ecfd11eff4c0012196052b39d011feb04e1f3b848b5f48f3406a166418956cd018b,-24473.523057,6127.675266,-24473.522964,337641.074473,270423.413716,0.966946,-67.759876,99.500000,-15260.432889,18.307261,558510.638298,376.000000,5136.191895,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-26750.281250,-22663.945312,2961047795,2961048547,-21783.987644,-95894.667778,-25474.845523,45370.951870
182483,1769216957.131287098,37,0,D1:8D:D3:8A:0C:3E,8E89BED6,APPLE,3e0c8ad38dd11eff4c0012192072d13601e231cb7f30bb0be66adb8a86edae847eee120008,11925.455918,11437.691196,11925.455120,328892.038031,235519.058552,1.018153,-39.526250,2.500000,34109.060175,22.714477,77127.659574,376.000000,3310.133789,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,18632.031250,10047.916016,2961260337,2961261089,30998.206808,-23801.332114,21518.540407,26662.692143
182484,1769216957.162859917,37,0,D1:8D:D3:8A:0C:3E,8E89BED6,APPLE,3e0c8ad38dd11eff4c0012192072d13601e231cb7f30bb0be66adb8a86edae847eee120008,12194.866685,11184.715287,12194.868115,328725.227667,258196.497248,1.019878,-39.068679,2.500000,34068.629111,22.681818,77127.659574,376.000000,2868.125244,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,22797.044922,10081.578125,2961260338,2961261090,38025.512580,694.374760,17740.993313,-7607.717567
182486,1769216957.200094461,37,0,46:22:54:33:9A:F2,8E89BED6,SAMSUNG,f29a3354224602010403025afd17165afd1321f9028bfe1e2f4130e4aba70000008ba5d867,3100.699009,-6793.795125,3100.698932,354377.033985,262907.095301,1.032840,-19.789934,2.500000,22483.825917,23.751094,125000.000000,376.000000,10257.271484,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-6981.909668,-5471.072754,2961317706,2961318458,1340.031904,5980.585479,1290.057442,23572.245668
182490,1769216957.246865749,37,0,58:0B:68:2F:E6:67,8E89BED6,SAMSUNG,67e62f680b5802010403025afd17165afd1321f9026916370c7f287488a700000048b23d2d,8982.497462,828.521175,8982.499108,338779.225765,251674.446562,1.161591,5.340989,2.500000,13692.621779,22.461643,324468.085106,376.000000,13704.164062,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,75544.531250,19229.460938,2961415607,2961416359,355.325326,20091.731876,16154.990345,-12452.126776
