pkt_idx,timestamp,rf_channel,pdu_type,AdvA,access_address,tag_type,payload,CFO_Hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end,CFO_00_Hz,CFO_11_Hz,CFO_10_Hz,CFO_01_Hz
4,1769214319.337724924,37,0,EB:EE:5F:EC:7E:75,8E89BED6,APPLE,757eec5feeeb1eff4c00121960435293f60f12d3264f96a037a021ea02ff3a1288e6470026,-32904.732802,8308.434298,-32904.731894,357948.543670,266069.679652,0.957981,-68.626511,101.500000,-8848.941267,18.598957,335106.382979,376.000000,-1493.310181,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-88097.281250,-27496.873047,82461,83213,-3363.225019,-117730.774483,-22923.570599,-5412.392810
5,1769214319.376131535,37,0,E5:80:FD:45:9B:E9,8E89BED6,TILE,e99b45fd80e50201060d16edfe020096ae75425b3002340303edfe,-16862.125524,1153.808756,-16862.125126,284715.850706,224570.060833,0.941018,-68.628067,0.500000,-10365.375058,21.260851,243243.243243,296.000000,1770.932739,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-86134.492188,-15657.417969,131267,131859,6337.744051,-39607.287834,-2172.039245,-54465.230224
6,1769214319.400931120,37,0,E5:80:FD:45:9B:E9,8E89BED6,TILE,e99b45fd80e50201060d16edfe020096ae75425b3002340303edfe,-16565.593828,704.782199,-16565.592675,283303.452285,225740.874858,0.939204,-69.167315,0.500000,-10710.452162,21.252049,243243.243243,296.000000,1543.492310,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-86134.492188,-15668.541992,131268,131860,-16176.323875,-27366.391552,6436.512545,-39696.358116
7,1769214319.428078890,37,0,C4:CC:AB:84:E5:53,8E89BED6,APPLE,53e584abccc41eff4c00121910fe17d18736d0a2b1ababccc0af5d9ed4d91323e77a2f0049,-3059.669365,3215.026778,-3059.669276,356038.233289,267145.098972,0.970481,-53.996811,2.500000,7805.036622,20.692203,401595.744681,376.000000,-3218.281738,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-26961.556641,-7733.701660,135175,135927,-406.821817,2952.776045,-34724.547889,29410.856335
8,1769214319.468595266,37,0,C4:CC:AB:84:E5:53,8E89BED6,APPLE,53e584abccc41eff4c00121910fe17d18736d0a2b1ababccc0af5d9ed4d91323e77a2f0049,-3463.376222,3191.562831,-3463.375371,355681.385784,273218.819501,0.971892,-53.500208,2.500000,7668.013841,20.697204,401595.744681,376.000000,-3359.871826,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-26961.556641,-7770.866211,135176,135928,25962.139206,-15650.879049,-37764.442754,12957.216074
9,1769214319.510276794,37,0,F0:F6:16:D9:B9:56,8E89BED6,APPLE,56b9d916f6f01eff4c001219109c8c0caa1cb9a65e2bfa8a116b02224f70e0e31dc28f02c5,10187.732094,-1712.073618,10187.732979,310581.613626,249428.210722,1.032984,-18.295992,40.500000,5338.047697,22.167384,332446.808511,376.000000,9419.790039,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,7011.205566,6103.240234,156339,157091,2995.924667,-10040.175382,36553.423621,27483.233119
22,1769214319.770351648,37,0,C8:48:BB:51:E1:A0,8E89BED6,APPLE,a0e151bb48c81eff4c00121910ead3335f3e0162b4b803d9c9b2474a29f4aea89c455d0288,32956.657112,11622.879764,32956.657105,354082.184041,263164.887851,0.962866,64.042843,3.500000,42595.588519,22.860506,127659.574468,376.000000,14904.707031,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,26015.677734,27246.855469,499734,500486,42506.329579,29672.168307,30988.462941,40048.020032
29,1769214319.814107180,37,0,5E:01:1E:29:5F:7D,8E89BED6,GOOGLE,7d5f291e015e0201061916aafe41995b27562a548df6d8cb869a2bb7c10da20dd5a0dd,-5849.499725,9241.534995,-5849.499277,287132.540255,198547.923047,0.961959,64.127214,1.000000,8181.487508,21.019264,416666.666667,360.000000,6977.717285,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,11365.001953,-8406.584961,526815,527535,-18938.192640,-21409.812079,20305.196621,-5457.980023
30,1769214319.852711439,37,0,5E:01:1E:29:5F:7D,8E89BED6,GOOGLE,7d5f291e015e0201061916aafe41995b27562a548df6d8cb869a2bb7c10da20dd5a0dd,-5975.685776,9117.310704,-5975.684787,287136.503240,219708.654951,0.963246,64.015503,1.000000,8042.002824,20.991392,416666.666667,360.000000,6939.175293,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,11365.001953,-8460.762695,526816,527536,-10064.318008,-937.891008,-4060.667670,-6785.763755
40,1769214319.904303074,37,0,DC:D9:17:9B:A7:45,8E89BED6,TILE,45a79b17d9dc0201060303edfe0d16edfe0200b3638bc638caebb4,-6256.606287,-4588.480088,-6256.607171,282311.499168,231513.428783,1.081172,22.805430,2.000000,4485.826785,22.109510,364864.864865,296.000000,739.983826,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-17759.158203,2503.932617,665122,665714,-27914.522994,-831.179801,-1802.672746,39771.297094
41,1769214319.928297281,37,0,DC:D9:17:9B:A7:45,8E89BED6,TILE,45a79b17d9dc0201060303edfe0d16edfe0200b3638bc638caebb4,-6025.640063,-4721.432779,-6025.639839,281069.858779,237289.410231,1.079325,22.848709,2.000000,4352.028462,22.082442,364864.864865,296.000000,585.578857,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-17759.158203,2321.716797,665123,665715,-41932.943860,-3087.567456,33766.823213,26476.497442
56,1769214319.976059198,37,0,DF:DE:2D:FE:44:9C,8E89BED6,APPLE,9c44fe2ddedf1eff4c00121920c86a4b8595db98a5443ce3016852ef224b8fec77bcb702de,4973.694005,3063.611039,4973.694789,350063.150614,254619.768041,0.982956,-53.509168,2.500000,23616.394145,24.138334,167553.191489,376.000000,-763.860657,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-6424.433105,9356.008789,926488,927240,14693.734192,-12145.436520,-2230.023472,-6237.585728
63,1769214320.216382742,37,0,FD:B3:D6:09:87:AF,8E89BED6,APPLE,af8709d6b3fd1eff4c00121920dc3da990e9d2fe96f8c619d861a74e502fb0198bf07e02c7,6659.284448,8892.505389,6659.284533,310294.777847,237150.613067,0.986178,59.585646,3.500000,24819.860534,22.754268,223404.255319,376.000000,3347.389404,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,2988.647705,9463.258789,1016782,1017534,60210.944050,-7090.951982,-15761.845291,-3314.345885
64,1769214320.255962610,37,0,FD:B3:D6:09:87:AF,8E89BED6,APPLE,af8709d6b3fd1eff4c00121920dc3da990e9d2fe96f8c619d861a74e502fb0198bf07e02c7,6723.891112,8911.528101,6723.890411,310275.716326,253393.277727,0.986303,60.282820,3.500000,24754.967698,22.714658,223404.255319,376.000000,3130.280029,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,3809.603027,9479.067383,1016783,1017535,50567.750716,-1129.891764,5189.822490,-19540.200352
69,1769214320.300359964,37,0,4B:7E:DD:03:C0:83,8E89BED6,GOOGLE,83c003dd7e4b0201061916aafe41e50f2ddfc78a71de9c1f38afa80e49c5c02ad0e3db,-15937.175225,4059.655636,-15937.176349,299377.394978,213439.356276,0.980102,73.718731,1.000000,6500.511687,22.649966,372222.222222,360.000000,6675.168457,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-28998.341797,-10210.601562,1118474,1119194,-17690.230491,9098.704662,-6723.278029,-40371.725121
70,1769214320.331825256,37,0,4B:7E:DD:03:C0:83,8E89BED6,GOOGLE,83c003dd7e4b0201061916aafe41e50f2ddfc78a71de9c1f38afa80e49c5c02ad0e3db,-15575.852053,4137.335762,-15575.851510,299429.870894,231201.680964,0.981283,74.733563,1.000000,6344.673261,22.642369,372222.222222,360.000000,6151.072754,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-28998.341797,-10253.343750,1118475,1119195,-13834.540491,22634.537821,-34310.540553,-34976.300039
79,1769214320.367291212,37,0,66:C5:34:E1:54:9F,8E89BED6,SAMSUNG,9f54e134c56602010403025afd17165afd131ff9026916370c7f287488a70000000cf6cf8d,9492.608176,6786.053149,9492.608414,349621.125964,258666.341913,0.981522,-49.107581,2.500000,30925.224469,23.884855,244680.851064,376.000000,8282.080078,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,43297.468750,15770.339844,1184400,1185152,-3307.867693,47702.372167,-25260.716871,-5889.269417
80,1769214320.404858589,37,0,66:C5:34:E1:54:9F,8E89BED6,SAMSUNG,9f54e134c56602010403025afd17165afd131ff9026916370c7f287488a70000000cf6cf8d,9890.231763,6884.772826,9890.231543,348976.860823,274398.211339,0.982971,-48.756019,2.500000,30738.227774,23.774714,244680.851064,376.000000,8175.810059,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,52268.683594,15752.916992,1184401,1185153,-4798.734307,29426.602233,-13111.547195,12075.850223
81,1769214320.445625067,37,0,D1:CF:9E:9A:9A:B6,8E89BED6,APPLE,b69a9a9ecfd11eff4c0012196052b39d011feb04e1f3b848b5f48f3406a166418956cd012e,-23540.641521,8870.005711,-23540.641365,352844.286141,296246.181827,1.009748,-38.601223,100.500000,-15557.279623,19.447454,268617.021277,376.000000,11907.987305,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-51611.175781,-38427.890625,1216736,1217488,-12267.777659,-101816.002684,-36361.773141,44196.461460
93,1769214320.506584406,37,0,58:5B:46:54:3D:94,8E89BED6,GOOGLE,943d54465b580201061916aafe40297310c75708598e4042a4b74d155ad47ed48feef1,10638.588189,13967.656761,10638.589488,328713.932062,250249.126380,1.028178,-9.641836,1.000000,6259.380082,22.611427,419444.444444,360.000000,14812.208008,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,15034.397461,-5624.099121,1465761,1466481,-1295.440866,7675.758034,-4799.128099,38537.522403
100,1769214320.732471704,37,0,DC:EB:42:AA:4A:42,8E89BED6,APPLE,424aaa42ebdc1eff4c0012192058f4a1db33445b6d87271faa25e6ff3650d25231e55502b9,28369.655920,12512.677275,28369.655640,324685.876559,243985.693877,0.949178,73.468239,54.500000,39685.052592,24.835570,303191.489362,376.000000,15835.286133,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,82637.312500,26725.714844,1516376,1517128,23999.690165,29907.397759,26424.398916,34813.935439
101,1769214320.775235176,37,0,DC:EB:42:AA:4A:42,8E89BED6,APPLE,424aaa42ebdc1eff4c0012192058f4a1db33445b6d87271faa25e6ff3650d25231e55502b9,28624.020821,12443.968492,28624.020417,324124.445249,253676.941856,0.948481,74.324821,54.500000,39618.139556,24.837223,303191.489362,376.000000,15545.876953,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,85572.781250,26648.158203,1516377,1517129,16820.107040,21338.353451,41875.887686,37567.541107
113,1769214320.842484474,37,0,6F:8F:6C:39:53:A5,8E89BED6,GOOGLE,a553396c8f6f0201061916aafe41eb52fd1b3b3d47195172303c2eade5909063620b8d,8679.553304,9773.195460,8679.552774,223997.955249,192307.612306,0.928632,-82.860149,85.000000,11534.919610,21.671577,330555.555556,360.000000,16177.192383,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-10221.500977,4370.521973,1850798,1851518,3766.288945,1233.605339,6618.905906,16531.920085
122,1769214320.888143539,37,0,DA:08:C5:B7:04:F7,8E89BED6,APPLE,f704b7c508da1eff4c0012191057768ed391a246b1558fd0cddcb979bebc45a1b9a53c004a,-3176.411107,4128.659363,-3176.412869,361000.579309,261472.055649,0.943888,-62.295409,2.000000,19241.605060,22.016007,300531.914894,376.000000,2968.756836,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-15228.269531,-1023.363892,1979900,1980652,11075.410286,-31875.871272,-21533.692542,38857.779785
123,1769214320.926280260,37,0,DA:08:C5:B7:04:F7,8E89BED6,APPLE,f704b7c508da1eff4c0012191057768ed391a246b1558fd0cddcb979bebc45a1b9a53c004a,-3444.223937,3802.194898,-3444.224376,360882.557822,272893.475721,0.943531,-62.706883,2.000000,19107.791035,22.043335,300531.914894,376.000000,3021.682373,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-15228.269531,-1125.785889,1979901,1980653,6913.440480,-42872.970020,12588.826820,14650.982504
137,1769214321.174692392,37,0,CC:E9:53:9B:1A:F0,8E89BED6,APPLE,f01a9b53e9cc1eff4c001219207904aa3b4bda287cf4efbda9525957f3d16d7ca1ac4b0321,4486.864222,1712.181455,4486.864189,217669.137366,175946.799695,0.979061,78.127999,96.000000,32149.379089,24.436706,313829.787234,376.000000,-1382.660034,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,8953.779297,16581.609375,2201189,2201941,-2111.707079,-30047.910191,34059.588506,24798.254320
138,1769214321.208636522,37,0,CC:E9:53:9B:1A:F0,8E89BED6,APPLE,f01a9b53e9cc1eff4c001219207904aa3b4bda287cf4efbda9525957f3d16d7ca1ac4b0321,4061.067177,1390.366525,4061.067682,217810.078868,183817.882968,0.980581,78.959127,96.000000,32062.550529,24.375535,313829.787234,376.000000,-1722.884644,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,8953.779297,16524.302734,2201190,2201942,1536.695530,-12220.805619,25464.256012,10430.632884
139,1769214321.247093439,37,0,48:CC:87:99:A3:11,8E89BED6,GOOGLE,11a39987cc480201061916aafe41838aa2373ea2d66d2e885f1b641af604de14d04d6a,-39537.544928,-4235.277675,-39537.545831,351118.236439,272679.548687,1.033470,4.599160,1.000000,-37017.621341,21.292860,375000.000000,360.000000,-13664.051758,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-30762.240234,-20851.859375,2204709,2205429,-38357.230482,-65445.940178,-1549.534572,-40759.766462
140,1769214321.281054974,37,0,48:CC:87:99:A3:11,8E89BED6,GOOGLE,11a39987cc480201061916aafe41838aa2373ea2d66d2e885f1b641af604de14d04d6a,-40069.660219,-3985.042551,-40069.659893,350107.971635,272702.784859,1.031368,4.239037,1.000000,-37190.249379,21.320475,375000.000000,360.000000,-13911.744141,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-33283.695312,-21017.945312,2204710,2205430,-29391.941142,-57633.220427,-25758.939192,-30704.395673
146,1769214321.322993755,37,0,50:92:84:67:D9:B6,8E89BED6,GOOGLE,b6d9678492500201061916aafe416ceeb2282295bdcb574e7864e8a886321c9645386f,-17024.155375,8959.170498,-17024.155652,355315.091507,260990.184470,0.996692,-49.234255,1.000000,-10412.374211,21.547700,413888.888889,360.000000,6296.377930,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-7850.907715,-5437.382324,2300119,2300839,-22660.451320,6185.929466,-33937.457751,-21153.211261
147,1769214321.359714270,37,0,50:92:84:67:D9:B6,8E89BED6,GOOGLE,b6d9678492500201061916aafe416ceeb2282295bdcb574e7864e8a886321c9645386f,-16483.352310,9329.203417,-16483.352334,354157.514008,251239.426805,0.998425,-47.118428,1.000000,-10626.527721,21.601671,413888.888889,360.000000,6677.677246,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-7850.907715,-5525.250488,2300120,2300840,-9650.858846,-4879.156508,-44894.815119,-14286.253527
155,1769214321.408955097,37,0,69:B3:D4:D7:57:AC,8E89BED6,GOOGLE,ac57d7d4b3690201061916aafe41853258a40fb4780c33c8fef2ba93922b872584bf6b,9591.183854,11990.055851,9591.182555,360166.560974,269985.389931,1.009997,27.384533,0.500000,29896.745435,22.626399,169444.444444,360.000000,9846.093750,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,124971.781250,17753.208984,2393850,2394570,50799.819725,26391.550259,-6462.671355,-24428.722489
156,1769214321.460383892,37,0,69:B3:D4:D7:57:AC,8E89BED6,GOOGLE,ac57d7d4b3690201061916aafe41853258a40fb4780c33c8fef2ba93922b872584bf6b,9222.748124,11639.594338,9222.747730,358977.935758,276062.279980,1.008614,30.443740,0.500000,29720.854848,22.643378,169444.444444,360.000000,9881.617188,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,124623.515625,17645.945312,2393851,2394571,36302.015681,13985.871779,3026.813306,-4304.894206
