file,cfo_hz,cfo_std_hz,iq_gain_alpha,iq_phase_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,mag_mean,i_std,q_std,cfo_std_hz_sym
pkt_000325.fc32,62282.51238921221,557992.0,1.0933705568313599,-6.278868710172677,0.0,458879.7541089688,10.58179891849603,2551.0204081632655,0.8879504799842834,0.7379122376441956,0.674896776676178,556492.1290839892
pkt_000326.fc32,69772.16580996354,563919.0625,1.0843207836151123,-6.136490679577178,0.0,468292.7975110311,12.91867641609641,2083.3333333333335,0.8873456120491028,0.7351113557815552,0.6779463887214661,562500.6844423448
pkt_000327.fc32,69523.73665165201,564959.125,1.0734881162643433,-5.755205535742197,0.0,468380.4158574613,13.033010619475196,2016.1290322580644,0.8876373767852783,0.7317085266113281,0.6816177368164062,563950.3162026892
pkt_000328.fc32,5698.430974830197,498981.40625,0.9965450167655945,-59.38466617963854,0.0,335517.93287685956,16.910976024277055,2083.3333333333335,0.8889325261116028,0.7058820724487305,0.7083293795585632,488338.6422163279
pkt_000329.fc32,-2131.860640273738,500962.4375,1.0051393508911133,-0.26942365299496096,0.5,336135.33609352243,17.347760599956384,2016.1290322580644,0.8884651064872742,0.7089168429374695,0.7052921652793884,493930.9354902666
pkt_000330.fc32,24959.44407589797,560392.3125,0.9666941165924072,80.95413105445434,0.0,446562.6852065516,14.445217681426115,0.0,0.8867967128753662,0.6950322389602661,0.7189784646034241,549282.3711236006
pkt_000331.fc32,26816.102935718995,558760.9375,0.9693725109100342,-84.39464298669802,1.5,447256.34106204496,14.520603719311989,163306.4516129032,0.8849276900291443,0.6960257887840271,0.7180168032646179,546854.1629826704
pkt_000332.fc32,-21756.562045447812,569555.9375,1.0180277824401855,-36.47560627898714,0.5,527435.1062134448,10.250737392097642,947916.6666666667,0.8867449164390564,0.7133951783180237,0.7007619738578796,561985.7261244212
pkt_000333.fc32,-26068.728458538044,567919.5,1.017890214920044,-36.799599086088094,0.0,528669.0697527701,10.453535854714424,981854.8387096773,0.8869341611862183,0.7133477926254272,0.7008101344108582,561647.7076514964
pkt_000334.fc32,26302.754929755993,543802.25,1.0613698959350586,17.738840321747183,0.0,419358.50051984214,15.20737966773465,4166.666666666667,0.8910741806030273,0.7278358340263367,0.6857513785362244,522190.16016227735
pkt_000335.fc32,24726.84530394403,541677.0,1.0698142051696777,16.117167846844406,1.0,414959.85567603586,15.41742158394149,4032.258064516129,0.8907395601272583,0.7305418252944946,0.6828679442405701,521297.90978370135
pkt_000336.fc32,-688.1758728716852,538522.25,1.0084422826766968,-32.81190867892573,0.0,428698.46277547063,13.30621003746966,4166.666666666666,0.8872430324554443,0.7100728154182434,0.7041283845901489,534011.81363224
pkt_000337.fc32,7068.161972751151,538659.625,1.0074604749679565,-33.85255014134383,1.0,428649.51035159547,13.383030280778975,4032.258064516129,0.8874444365501404,0.7097297310829163,0.7044740319252014,532888.1716227821
pkt_000338.fc32,7068.161972751151,538659.625,1.0074604749679565,-33.85255014134383,1.0,428649.51035159547,13.383030280778975,4032.258064516129,0.8874444365501404,0.7097297310829163,0.7044740319252014,532888.1716227821
pkt_000339.fc32,-17266.484619836247,552873.625,0.966177225112915,-82.8830813602104,0.0,451410.9557925604,12.968060401619017,727083.3333333334,0.8869748711585999,0.694840133190155,0.719164252281189,554291.3282969249
pkt_000340.fc32,-39786.14599291354,558052.875,1.0421005487442017,24.154885708624594,0.0,535843.1305929908,9.727396560027955,877551.0204081633,0.8910303115844727,0.7215313911437988,0.692381739616394,565846.1110978171
pkt_000341.fc32,-34740.66865187089,552579.3125,1.0191066265106201,31.27448553472026,2.0,516799.59162064496,9.391365839485935,960416.6666666667,0.8864597082138062,0.7137661576271057,0.7003841400146484,557548.7972940855
pkt_000342.fc32,22270.080806140064,572406.375,1.0074564218521118,-37.24609533261235,0.0,475119.75945585786,8.924257022214068,987500.0,0.8900437951087952,0.7097283601760864,0.704475462436676,573422.2328161859
pkt_000343.fc32,19251.09806170231,556163.5625,0.9852027297019958,57.66123350597722,0.0,467992.8447140944,10.411115368089321,793750.0,0.8886200785636902,0.701816737651825,0.7123576402664185,562376.1093809828
pkt_000344.fc32,22255.471790415315,554061.9375,0.9724269509315491,61.84655869293953,1.0,467119.602293726,11.032051830585207,792338.7096774194,0.889126181602478,0.6971538662910461,0.7169215679168701,559981.7106764441
pkt_000345.fc32,-6317.780315060624,572865.0,1.0565614700317383,-20.767706142334205,0.0,483060.8517539723,10.418322901063455,947580.6451612903,0.8877202272415161,0.7262796759605408,0.6873993277549744,564628.4022052899
pkt_000346.fc32,32588.506875114872,537859.5,1.0036858320236206,41.91116064011095,1.0,456934.5154432142,10.377791759118098,958333.3333333334,0.8870733976364136,0.7084063291549683,0.7058048844337463,535754.2328350057
pkt_000347.fc32,40370.20305794041,537807.875,0.9962632060050964,48.03038150958948,0.5,455837.3366182241,10.70306352026945,959677.4193548387,0.8876122236251831,0.705781877040863,0.7084290981292725,537987.5529116183
pkt_000348.fc32,19311.427841980563,566244.875,1.0100990533828735,35.00373225267445,0.0,474069.06217572134,9.8935846843885,877083.3333333334,0.8840634822845459,0.7106504440307617,0.7035452723503113,555116.9084401025
pkt_000349.fc32,11394.330273639911,564280.125,1.0600231885910034,16.537681943774732,0.0,441616.82765226316,11.067710110185713,314583.3333333334,0.8803654909133911,0.7274011969566345,0.6862125396728516,559998.4066944153
pkt_000350.fc32,19494.558731711335,562992.4375,1.0765811204910278,6.320591054353044,0.0,462169.2683979725,8.826812908480532,852040.8163265307,0.879035234451294,0.7326857447624207,0.6805671453475952,556944.1358250625
pkt_000351.fc32,41823.37323572986,555451.1875,0.9649237394332886,62.21254595911596,0.5,491353.2086756946,9.58602210120606,993750.0,0.8873004913330078,0.6943734288215637,0.7196148633956909,561307.8677947929
pkt_000352.fc32,41600.21577734738,551711.625,0.9604689478874207,63.57643472212298,0.0,494025.2840316676,9.262810915036162,993951.6129032257,0.8884738683700562,0.6927078366279602,0.7212184071540833,558003.5740563222
pkt_000353.fc32,-0.0036721802278346107,559298.25,0.9318434000015259,75.76388098791003,1.5,464946.87939574214,9.604615947974576,943750.0000000001,0.8835157752037048,0.6817354559898376,0.7315987944602966,561030.6759509764
