idx	AdvA	status	method	crc_calc_orig_hex	crc_rx_hex	fix_pos	fix_bit	hp_msb_hex_fixed_or_padded	crc_field_msb_hex_shifted	pad_bits
13394	DC:D6:44:C7:D7:A6	CRC_BAD	UNFIXED	3d860b	4aea26					
13395	73:F8:F0:FA:28:49	ORIG_OK	ORIG_OK	57c0e9	57c0e9					
13396	CE:AA:AB:D2:FC:09	ORIG_OK	ORIG_OK	c4581c	c4581c					
13397	52:5C:3A:99:8C:AB	CRC_BAD	UNFIXED	819b0a	da872a					
13398	F0:E3:99:3D:ED:D2	CRC_BAD	UNFIXED	fc03e4	efa1bf					
13399	7C:24:AF:57:9B:5D	CRC_BAD	UNFIXED	be1ae3	919f80					
13400	E9:5A:FB:9E:46:7C	CRC_BAD	UNFIXED	f297c0	125712					
13401	D5:30:D6:9E:D7:F2	CRC_BAD	UNFIXED	0452b5	c9fb38					
13402	74:4A:24:AF:44:BE	CRC_BAD	UNFIXED	019954	abbaac					
13403	52:92:A9:3D:A7:4C	ORIG_OK	ORIG_OK	2f3093	2f3093					
13404	F6:72:62:ED:92:3D	ORIG_OK	ORIG_OK	29e421	29e421					
13405	75:B8:72:33:E8:54	CRC_BAD	UNFIXED	6f6eb2	7a1919					
13406	D0:6D:78:47:39:4F	CRC_BAD	UNFIXED	2032fd	52c3f4					
13407	CB:F7:96:33:13:13	CRC_BAD	UNFIXED	21028d	e58a28					
13408	44:27:8B:B2:04:72	CRC_BAD	UNFIXED	bc4b59	203c43					
13409	C6:70:C1:4D:DA:68	CRC_BAD	UNFIXED	7cc554	6eae23					
13410	FF:E8:62:AC:0E:92	CRC_BAD	UNFIXED	eb9828	c9574c					
13411	EA:32:7B:C5:8D:BF	CRC_BAD	UNFIXED	9ab055	544326					
13412	F6:FE:7E:BD:D0:B3	CRC_BAD	UNFIXED	9ca3e4	42b023					
13413	57:A4:BC:C5:85:C9	CRC_BAD	UNFIXED	2dfec3	79564b					
13414	52:41:32:8B:83:1E	CRC_BAD	UNFIXED	c3fb81	70e408					
13415	F4:0A:68:DD:7E:C0	CRC_BAD	UNFIXED	c85fb5	7fa416					
13416	DC:D6:44:C7:D7:A6	ORIG_OK	ORIG_OK	4aea26	4aea26					
13417		CRC_BAD	UNFIXED	4940e8	560069					
13418	4A:01:B9:78:EA:1D	CRC_BAD	UNFIXED	01b2ca	01b2cb					
13419	52:5C:3A:99:8C:AB	ORIG_OK	ORIG_OK	da872a	da872a					
13420	F0:E3:99:3D:ED:D2	CRC_BAD	UNFIXED	c181d2	efa1bf					
13421	E9:5A:FB:9E:46:7C	CRC_BAD	UNFIXED	f69a9f	125712					
13422	74:4A:24:AF:44:A3	CRC_BAD	UNFIXED	cc6b47	abbaac					
13423	75:B8:72:33:E8:54	CRC_BAD	UNFIXED	683c98	7f9859					
13424	C2:97:A0:09:6A:11	ORIG_OK	ORIG_OK	50f847	50f847					
13425	D0:6D:78:47:39:4F	CRC_BAD	UNFIXED	1571e9	52c3f4					
13426	7A:74:59:67:94:F4	CRC_BAD	UNFIXED	ba1b3d	5a662a					
13427	CB:F7:96:33:13:13	CRC_BAD	UNFIXED	6f6638	e59a28					
13428	C6:70:C1:4D:DA:68	CRC_BAD	UNFIXED	b1ee64	6eae23					
13429	D9:B1:51:3A:9C:30	CRC_BAD	UNFIXED	0c7857	0c7854					
13430	FF:E8:62:AC:0E:D2	CRC_BAD	UNFIXED	11f52a	c9574c					
13431	F6:FE:7E:BD:D0:B3	ORIG_OK	ORIG_OK	42b023	42b023					
13432	57:A4:BC:C5:0D:C9	CRC_BAD	UNFIXED	ac708b	79564b					
13433	52:41:32:8B:83:1E	CRC_BAD	UNFIXED	18efe5	70e408					
13434	F4:0A:68:DD:7E:C0	CRC_BAD	UNFIXED	e026e6	7fa416					
13435	DC:D6:44:C7:D7:A6	CRC_BAD	UNFIXED	441ad4	4aea26					
13436	73:F8:F0:FA:28:49	ORIG_OK	ORIG_OK	57c0e9	57c0e9					
13437	CE:AA:AB:D2:DB:E5	CRC_BAD	UNFIXED	be6a4e	c4581c					
13438	52:5C:3A:99:8C:AB	ORIG_OK	ORIG_OK	da872a	da872a					
