pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end,cfo_equal_00_hz,cfo_equal_11_hz,cfo_jump_10_hz,cfo_jump_01_hz
12,1764221086.353196383,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,4197.892173,1846.586412,4197.891849,348446.013837,272865.950174,0.978232,56.300004,2.000000,18368.324270,22.426690,305851.063830,376.000000,7243.647461,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-10930.125977,-2295.375977,24480222,24480974,-21211.709956,20656.453955,1409.949526,-14846.144037
13,1764221088.306200981,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,3917.759067,559.152692,3917.761525,345216.002605,268284.497485,1.010978,-34.975205,2.000000,18186.939592,22.045286,305851.063830,376.000000,6845.347168,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-3023.914795,11965.127930,28487213,28487965,-28171.025848,15530.767396,-2378.349246,-22641.155614
14,1764221090.344681025,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,3739.816297,8.190855,3739.816251,353969.600107,248476.996035,1.014217,-35.153938,2.500000,17806.671633,21.948828,305851.063830,376.000000,6206.535156,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-557.198303,5222.229004,32490616,32491368,-26606.364446,9425.968827,5485.220074,-21054.030146
15,1764221090.387726068,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,4256.277873,-89.170349,4256.278439,352269.158487,267231.016526,1.015879,-34.216626,2.500000,17644.213507,21.977819,305851.063830,376.000000,6282.191406,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,145.936600,5207.272461,32490617,32491369,-20365.833804,28970.738499,3956.433515,282.348181
16,1764221092.432203293,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,3807.631751,1273.323026,3807.632591,365927.478734,268608.150099,1.029934,11.085294,2.500000,18192.561719,21.569455,305851.063830,376.000000,7044.710449,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-35640.167969,-2750.661621,36496169,36496921,-27155.447793,14294.495055,-421.240670,-10223.486437
17,1764221092.470845222,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,4344.433490,1213.097690,4344.432082,366017.643279,273457.183225,1.029743,12.528688,2.500000,18027.228745,21.592004,305851.063830,376.000000,7072.839355,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-35640.167969,-2621.197754,36496170,36496922,-17521.383385,34929.233774,8467.778874,8153.555847
18,1764221094.805070400,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,3937.581809,397.143768,3937.580838,342010.704719,247317.136197,1.026609,12.234979,2.500000,18104.554153,22.580879,305851.063830,376.000000,6125.415527,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-9008.442383,-348.260345,40515958,40516710,-28427.207640,9390.525492,1498.295276,-19862.128868
19,1764221094.843643904,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,4440.128578,315.715267,4440.129713,341454.701368,276596.601066,1.026239,13.875814,2.500000,17942.302871,22.588969,305851.063830,376.000000,6177.831543,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-5949.857422,-379.104401,40515959,40516711,-17552.507179,29006.360713,1268.692515,6576.348243
20,1764221096.883682966,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,4056.259753,806.334951,4056.259874,345118.582166,254197.715881,1.042100,10.578751,2.500000,18239.645706,22.374502,305851.063830,376.000000,6182.039551,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-17913.855469,882.790771,44531716,44532468,-28464.806244,11697.162074,2125.532078,-17902.574692
21,1764221096.939106703,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,4548.973704,745.563621,4548.972154,343692.296707,263941.228877,1.041364,11.695513,2.500000,18075.055987,22.370931,305851.063830,376.000000,6200.984375,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-16820.806641,902.236023,44531717,44532469,-17738.489547,29593.285866,8262.296874,4242.994567
22,1764221098.897865057,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,4233.566043,1591.267580,4233.567500,359839.182886,278232.319332,1.024466,31.177673,2.500000,18098.030581,21.919292,305851.063830,376.000000,8347.415039,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,28018.072266,698.075867,48548015,48548767,-27914.623703,9636.203755,8924.001949,-19779.658094
23,1764221098.932709932,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,4749.252236,1506.078570,4749.252034,359527.875815,284880.183675,1.023497,31.979657,2.500000,17935.006963,21.938055,305851.063830,376.000000,8421.057617,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,28018.072266,640.128357,48548016,48548768,-18778.983528,30715.863087,4098.330951,2391.862345
24,1764221100.876387596,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,3685.920291,1217.125797,3685.920213,370726.388237,266681.924570,1.054364,15.564549,2.000000,17998.533872,22.132806,305851.063830,376.000000,7739.326172,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-294.506622,4347.541016,52536046,52536798,-25648.092592,614.278058,18457.254226,-5217.546020
25,1764221100.923462868,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,4146.602650,1115.494364,4146.602283,370794.455872,289099.453830,1.055234,15.921500,2.000000,17834.613642,22.127427,305851.063830,376.000000,7842.273438,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,1791.125244,4314.529785,52536047,52536799,-18673.966737,23659.313943,-245.008883,-6390.980988
26,1764221102.939011574,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,3905.389654,503.341601,3905.387828,353490.969488,252651.625849,1.048028,-9.266750,2.500000,18045.257148,22.345890,305851.063830,376.000000,6422.184082,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,0.000000,9914.599609,56554236,56554988,-31350.164276,4128.991930,10087.389135,-15165.505268
27,1764221102.983032465,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,4421.421624,418.282661,4421.421626,353406.268772,272614.918521,1.049825,-8.878234,2.500000,17881.590319,22.384596,305851.063830,376.000000,6485.143555,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,173.142075,9914.136719,56554237,56554989,-20800.982052,26358.038819,525.786317,-2944.451992
28,1764221104.782733202,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,3706.949367,573.439803,3706.949429,352130.135900,268154.134778,1.021193,-17.729103,2.000000,17899.048554,21.921485,305851.063830,376.000000,6704.880859,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-18546.550781,-2241.932617,60398576,60399328,-29249.616607,4174.930921,18411.223283,-16015.035352
29,1764221104.818073750,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,4241.797395,477.435110,4241.798514,352012.116602,271763.806122,1.022851,-16.352474,2.000000,17735.359420,21.933043,305851.063830,376.000000,6807.276367,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-18500.523438,-2179.903564,60398577,60399329,-21854.341318,24734.887325,543.318075,-8693.836601
32,1764221106.747336149,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,3575.968995,74.054308,3575.969513,345594.614469,254946.395649,1.007400,36.498677,2.000000,18228.861981,22.120258,305851.063830,376.000000,5099.163574,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,5272.061035,6310.706055,64400476,64401228,-31241.228493,189.857575,20414.866306,4709.872848
33,1764221106.778849840,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,4065.938269,-32.398787,4065.938376,345436.672788,266774.409143,1.008205,36.139737,2.000000,18064.150224,22.201355,305851.063830,376.000000,5252.505859,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,5272.061035,6198.984863,64400477,64401229,-23399.043977,20138.599683,-3937.913033,-5849.280245
34,1764221108.765478611,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,3931.447266,915.422337,3931.447438,361659.846390,255393.973248,0.960676,-89.176093,2.500000,18168.966986,22.047909,305851.063830,376.000000,7285.010254,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-12814.335938,-798.162903,68401389,68402141,-22761.720936,14346.157544,-1852.631095,-21284.369128
35,1764221110.779847860,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,4215.577645,1410.665304,4215.577614,354279.646464,248463.906490,1.002554,43.920736,2.000000,18148.713889,22.343989,305851.063830,376.000000,8139.437988,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-1942.518799,330.123322,72134566,72135318,-25613.507548,14846.729832,3404.212058,-17827.468988
36,1764221112.751958132,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,4072.943968,1257.614406,4072.942994,363429.243046,282265.853782,0.950886,-80.147816,2.000000,18060.976511,22.130856,305851.063830,376.000000,7166.920898,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-1141.123291,20901.560547,76135444,76136196,-24602.635693,19804.627049,7.165112,-17922.087067
37,1764221116.473868608,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,4038.531012,1096.136244,4038.533032,349787.541167,257102.156880,1.048308,-10.552857,2.500000,17896.167329,22.279415,305851.063830,376.000000,6517.774902,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-4182.612305,-7917.288574,83967855,83968607,-26275.626118,10020.755973,6879.870344,-21191.921243
38,1764221116.523815393,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,4535.281481,1002.780013,4535.282350,349716.742255,273327.623543,1.049858,-9.814918,2.500000,17733.504548,22.228708,305851.063830,376.000000,6548.890137,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-3847.826416,-7883.501465,83967856,83968608,-18810.957145,30486.953062,514.631370,-4477.748523
39,1764221118.514539480,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,3457.994103,1173.108177,3457.994433,350606.909244,248475.999464,0.974433,64.605214,2.000000,18205.513612,22.423877,305851.063830,376.000000,5994.355957,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,7727.617188,16150.823242,87971678,87972430,-27963.424175,151.303127,20725.247817,5429.001989
40,1764221118.549627304,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,3986.324557,1069.398896,3986.324500,350681.879921,274563.716889,0.973058,64.973234,2.000000,18041.559299,22.322416,305851.063830,376.000000,6101.190918,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,8115.786133,16013.912109,87971679,87972431,-21972.186910,19863.884783,-2171.108506,-15157.326453
41,1764221120.507471323,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,3758.196959,1425.378711,3758.196681,344634.116353,247476.541493,1.034147,-18.042973,2.500000,18057.249677,21.939146,305851.063830,376.000000,6710.728027,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-684.247375,-1822.115723,91977708,91978460,-25712.771546,12991.538179,-2660.126501,-19150.910845
42,1764221120.546070337,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,4283.608287,1341.925045,4283.609255,344723.970175,273827.963000,1.035791,-17.070121,2.500000,17893.705596,21.959627,305851.063830,376.000000,6759.232910,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-684.247375,-1811.785522,91977709,91978461,-16994.092345,31785.242667,5575.065491,3361.997259
43,1764221122.486563921,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,4040.893430,931.134732,4040.894390,350408.176416,249307.737694,1.039192,-5.577404,2.500000,18178.907113,22.223165,305851.063830,376.000000,6607.204102,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-13235.935547,1456.952393,95984794,95985546,-28253.902767,15544.910483,-2022.240139,-22021.405332
44,1764221122.521336079,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,4542.732303,860.027542,4542.732197,348878.163307,260858.929170,1.040442,-4.547871,2.500000,18014.844628,22.179749,305851.063830,376.000000,6652.130859,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-13152.410156,1492.427002,95984795,95985547,-20243.701752,34125.640752,3604.482144,-2251.750500
45,1764221126.431098461,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,3808.203090,1402.149029,3808.203046,336612.433664,247355.894304,1.042741,-14.903267,2.000000,18392.454182,21.928779,305851.063830,376.000000,7284.856934,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,48805.238281,16452.816406,103875501,103876253,-30257.144332,3110.872660,27200.765112,-802.034514
46,1764221126.485484838,37,0,D2:F5:CB:9C:9A:4B,8E89BED6,4335.014011,1308.445481,4335.014456,336575.393257,271531.844638,1.044455,-14.533996,2.000000,18228.563320,21.946241,305851.063830,376.000000,7392.573242,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,48805.238281,16346.208984,103875502,103876254,-23799.351009,23306.372061,940.597839,-8733.127732
