chunk_index,start_byte,timestamp_ms,formatted_time,lat,lon,accuracy_m
88,23068672,1769614530497,10:35:30.497,42.3392474,-71.0904381,20.697
89,23330816,1769614531082,10:35:31.082,42.3392474,-71.0904381,20.697
90,23592960,1769614531747,10:35:31.747,42.3392474,-71.0904381,20.697
91,23855104,1769614532150,10:35:32.150,42.3392474,-71.0904381,20.697
92,24117248,1769614532451,10:35:32.451,42.3392474,-71.0904381,20.697
93,24379392,1769614532799,10:35:32.799,42.3392474,-71.0904381,20.697
94,24641536,1769614533547,10:35:33.547,42.3392474,-71.0904381,20.697
95,24903680,1769614534176,10:35:34.176,42.3392474,-71.0904381,20.697
96,25165824,1769614534688,10:35:34.688,42.3392474,-71.0904381,20.697
97,25427968,1769614535095,10:35:35.095,42.3392474,-71.0904381,20.697
98,25690112,1769614535661,10:35:35.661,42.3392474,-71.0904381,20.697
99,25952256,1769614536525,10:35:36.525,42.3392474,-71.0904381,20.697
100,26214400,1769614537207,10:35:37.207,42.3392474,-71.0904381,20.697
101,26476544,1769614537665,10:35:37.665,42.3392474,-71.0904381,20.697
102,26738688,1769614538106,10:35:38.106,42.3392474,-71.0904381,20.697
103,27000832,1769614538795,10:35:38.795,42.3392474,-71.0904381,20.697
104,27262976,1769614539511,10:35:39.511,42.3392474,-71.0904381,20.697
105,27525120,1769614539944,10:35:39.944,42.3392474,-71.0904381,20.697
106,27787264,1769614540229,10:35:40.229,42.3392474,-71.0904381,20.697
107,28049408,1769614540567,10:35:40.567,42.3392474,-71.0904381,20.697
108,28311552,1769614540969,10:35:40.969,42.3392474,-71.0904381,20.697
109,28573696,1769614541444,10:35:41.444,42.3392474,-71.0904381,20.697
110,28835840,1769614541906,10:35:41.906,42.3392474,-71.0904381,20.697
111,29097984,1769614542293,10:35:42.293,42.3392474,-71.0904381,20.697
112,29360128,1769614542748,10:35:42.748,42.3392474,-71.0904381,20.697
113,29622272,1769614543101,10:35:43.101,42.3392474,-71.0904381,20.697
114,29884416,1769614543491,10:35:43.491,42.3392474,-71.0904381,20.697
115,30146560,1769614543814,10:35:43.814,42.3392474,-71.0904381,20.697
116,30408704,1769614544165,10:35:44.165,42.3392474,-71.0904381,20.697
117,30670848,1769614544736,10:35:44.736,42.3392474,-71.0904381,20.697
118,30932992,1769614545221,10:35:45.221,42.3392474,-71.0904381,20.697
119,31195136,1769614545646,10:35:45.646,42.3392474,-71.0904381,20.697
120,31457280,1769614546082,10:35:46.082,42.3392474,-71.0904381,20.697
121,31719424,1769614546362,10:35:46.362,42.3392474,-71.0904381,20.697
122,31981568,1769614546712,10:35:46.712,42.3392474,-71.0904381,20.697
123,32243712,1769614547092,10:35:47.092,42.3392474,-71.0904381,20.697
124,32505856,1769614547471,10:35:47.471,42.3392474,-71.0904381,20.697
125,32768000,1769614547897,10:35:47.897,42.3392474,-71.0904381,20.697
126,33030144,1769614548206,10:35:48.206,42.3392474,-71.0904381,20.697
127,33292288,1769614548557,10:35:48.557,42.3392474,-71.0904381,20.697
128,33554432,1769614548970,10:35:48.970,42.3392474,-71.0904381,20.697
129,33816576,1769614549802,10:35:49.802,42.3392474,-71.0904381,20.697
130,34078720,1769614550240,10:35:50.240,42.3392474,-71.0904381,20.697
131,34340864,1769614551060,10:35:51.060,42.3392474,-71.0904381,20.697
132,34603008,1769614552231,10:35:52.231,42.3392474,-71.0904381,20.697
133,34865152,1769614552707,10:35:52.707,42.3392474,-71.0904381,20.697
134,35127296,1769614553201,10:35:53.201,42.3392474,-71.0904381,20.697
135,35389440,1769614553643,10:35:53.643,42.3392474,-71.0904381,20.697
136,35651584,1769614553913,10:35:53.913,42.3392474,-71.0904381,20.697
137,35913728,1769614554248,10:35:54.248,42.3392474,-71.0904381,20.697
138,36175872,1769614554665,10:35:54.665,42.3392474,-71.0904381,20.697
139,36438016,1769614554949,10:35:54.949,42.3392474,-71.0904381,20.697
140,36700160,1769614555300,10:35:55.300,42.3392474,-71.0904381,20.697
141,36962304,1769614555695,10:35:55.695,42.3392474,-71.0904381,20.697
142,37224448,1769614556096,10:35:56.096,42.3392474,-71.0904381,20.697
143,37486592,1769614556505,10:35:56.505,42.3392474,-71.0904381,20.697
144,37748736,1769614556795,10:35:56.795,42.3392474,-71.0904381,20.697
145,38010880,1769614557146,10:35:57.146,42.3392474,-71.0904381,20.697
146,38273024,1769614557548,10:35:57.548,42.3392474,-71.0904381,20.697
147,38535168,1769614557845,10:35:57.845,42.3392474,-71.0904381,20.697
148,38797312,1769614558213,10:35:58.213,42.3392474,-71.0904381,20.697
149,39059456,1769614558873,10:35:58.873,42.3392474,-71.0904381,20.697
150,39321600,1769614559358,10:35:59.358,42.3392474,-71.0904381,20.697
151,39583744,1769614559617,10:35:59.617,42.3392474,-71.0904381,20.697
152,39845888,1769614560031,10:36:00.031,42.3392474,-71.0904381,20.697
153,40108032,1769614560431,10:36:00.431,42.3392474,-71.0904381,20.697
154,40370176,1769614560986,10:36:00.986,42.3392474,-71.0904381,20.697
155,40632320,1769614561460,10:36:01.460,42.3392474,-71.0904381,20.697
156,40894464,1769614561842,10:36:01.842,42.3392474,-71.0904381,20.697
157,41156608,1769614562188,10:36:02.188,42.3392474,-71.0904381,20.697
158,41418752,1769614562540,10:36:02.540,42.3392474,-71.0904381,20.697
159,41680896,1769614562930,10:36:02.930,42.3392474,-71.0904381,20.697
160,41943040,1769614563263,10:36:03.263,42.3392474,-71.0904381,20.697
161,42205184,1769614564201,10:36:04.201,42.3392474,-71.0904381,20.697
162,42467328,1769614564895,10:36:04.895,42.3392474,-71.0904381,20.697
163,42729472,1769614565767,10:36:05.767,42.3392474,-71.0904381,20.697
164,42991616,1769614566487,10:36:06.487,42.3392474,-71.0904381,20.697
165,43253760,1769614567116,10:36:07.116,42.3392474,-71.0904381,20.697
