src_file,cluster,dev_type,segments,duration_cov,duration_span,persistence_s,unique_macs,core_mac_density_scaled,adv_mac_pct,gt_frac,dur_ok,unique_ok,dens_ok,uniform_ok,decision_ok,k_chosen,win_entropy_norm
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-1min.csv,1,TAG_APPLE,12,1800.0,,1594.5810000000056,12,1.0480778482764628,0.0,0.0,True,False,True,False,True,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-1min.csv,0,TAG_APPLE,29,1800.0,,1799.7590000000057,29,0.7589265513399768,0.0,0.0,True,True,False,False,False,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-1min.csv,2,TAG_APPLE,9,1800.0,,1798.4640000000072,9,0.7045587956674257,0.0,0.0,True,False,False,False,False,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-1min.csv,0,TAG_APPLE,27,1800.0,,1797.964000000008,27,0.8522396873463779,0.0,0.0,True,True,False,False,False,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-1min.csv,1,TAG_APPLE,15,1800.0,,1634.8720000000033,15,0.6964542316040359,0.0,0.0,True,True,False,False,False,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-1min.csv,2,TAG_APPLE,5,1800.0,,1785.7760000000126,5,0.4259945661598125,0.0,0.0,True,False,False,False,False,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-1min.csv,1,TAG_APPLE,4,1800.0,,71.27400000000489,4,0.5669649743302915,0.0,0.0,False,False,False,False,False,5,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-1min.csv,2,TAG_APPLE,3,1800.0,,57.262000000003354,3,0.41332280572383945,0.0,0.0,False,False,False,False,False,5,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-1min.csv,0,TAG_APPLE,4,1800.0,,58.120999999999185,4,0.3776889079195998,0.0,0.0,False,False,False,False,False,5,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-1min.csv,3,TAG_APPLE,1,1800.0,,54.447000000000116,1,0.0,0.0,0.0,False,False,False,False,False,5,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-1min.csv,4,TAG_APPLE,2,1800.0,,73.08900000000722,2,0.0,0.0,0.0,False,False,False,False,False,5,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-2s.csv,1,TAG_APPLE,29,1800.0,,1799.7590000000057,29,0.7881251198696345,0.0,0.0,True,True,False,False,False,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-2s.csv,2,TAG_APPLE,9,1800.0,,1798.4640000000072,9,0.7848146469106186,0.0,0.0,True,False,False,False,False,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-2s.csv,0,TAG_APPLE,24,1800.0,,1717.2839999999997,24,0.6861627472665779,0.0,0.0,True,True,False,False,False,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-2s.csv,2,TAG_APPLE,16,1800.0,,1797.964000000008,16,0.9871317475903931,0.0,0.0,True,True,True,False,True,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-2s.csv,0,TAG_APPLE,17,1800.0,,1791.696000000011,17,0.7909006594828014,0.0,0.0,True,True,False,False,False,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-2s.csv,1,TAG_APPLE,35,1800.0,,1730.2440000000063,35,0.5824888451969356,0.0,0.0,True,True,False,False,False,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-2s.csv,1,TAG_APPLE,4,1800.0,,71.27400000000489,4,0.5669649743302915,0.0,0.0,False,False,False,False,False,5,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-2s.csv,2,TAG_APPLE,3,1800.0,,57.262000000003354,3,0.4133228057238394,0.0,0.0,False,False,False,False,False,5,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-2s.csv,0,TAG_APPLE,4,1800.0,,58.120999999999185,4,0.3776889079195998,0.0,0.0,False,False,False,False,False,5,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-2s.csv,3,TAG_APPLE,1,1800.0,,54.447000000000116,1,0.0,0.0,0.0,False,False,False,False,False,5,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-2s.csv,4,TAG_APPLE,2,1800.0,,73.08900000000722,2,0.0,0.0,0.0,False,False,False,False,False,5,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-30s.csv,0,TAG_APPLE,27,1800.0,,1799.7590000000057,27,0.7244489894125979,0.0,0.0,True,True,False,False,False,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-30s.csv,2,TAG_APPLE,10,1800.0,,1798.4640000000072,10,0.6934345772175031,0.0,0.0,True,False,False,False,False,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-30s.csv,1,TAG_APPLE,16,1800.0,,1461.9959999999992,16,0.6313790890901283,0.0,0.0,False,True,False,False,False,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-30s.csv,0,TAG_APPLE,15,1800.0,,1791.696000000011,15,0.899997962456489,0.0,0.0,True,True,False,False,False,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-30s.csv,2,TAG_APPLE,18,1800.0,,1797.964000000008,18,0.8832669698808077,0.0,0.0,True,True,False,False,False,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-30s.csv,1,TAG_APPLE,29,1800.0,,1746.6359999999981,29,0.752849637443951,0.0,0.0,True,True,False,False,False,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-30s.csv,1,TAG_APPLE,4,1800.0,,71.27400000000489,4,0.5669649743302915,0.0,0.0,False,False,False,False,False,5,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-30s.csv,2,TAG_APPLE,3,1800.0,,57.262000000003354,3,0.41332280572383945,0.0,0.0,False,False,False,False,False,5,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-30s.csv,0,TAG_APPLE,4,1800.0,,58.120999999999185,4,0.3776889079195998,0.0,0.0,False,False,False,False,False,5,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-30s.csv,3,TAG_APPLE,1,1800.0,,54.447000000000116,1,0.0,0.0,0.0,False,False,False,False,False,5,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-30s.csv,4,TAG_APPLE,2,1800.0,,73.08900000000722,2,0.0,0.0,0.0,False,False,False,False,False,5,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-5min.csv,0,TAG_APPLE,14,1800.0,,1796.869000000006,14,1.9204392645851516,0.0,0.0,True,False,True,False,True,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-5min.csv,1,TAG_APPLE,19,1800.0,,1798.0720000000003,19,0.7579369888327295,0.0,0.0,True,True,False,False,False,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-5min.csv,2,TAG_APPLE,9,1800.0,,1798.4640000000072,9,0.7071404990821843,0.0,0.0,True,False,False,False,False,3,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-5min.csv,10,TAG_APPLE,4,1800.0,,1456.6680000000051,4,1.6063512092353618,0.0,0.0,False,False,True,False,False,11,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-5min.csv,1,TAG_APPLE,12,1800.0,,1797.964000000008,12,0.9622422998994042,0.0,0.0,True,False,True,False,True,11,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-5min.csv,8,TAG_APPLE,4,1800.0,,1159.3909999999887,4,0.7935079733767395,0.0,0.0,False,False,False,False,False,11,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-5min.csv,4,TAG_APPLE,3,1800.0,,1683.945999999996,3,0.32011260064990105,0.0,0.0,True,False,False,False,False,11,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-5min.csv,0,TAG_APPLE,3,1800.0,,1785.7760000000126,3,0.2948163516972336,0.0,0.0,True,False,False,False,False,11,
controlled/Car_Adv/scenarios_car__adv0_apple1_google0_samsung0_tile0__20260126_073756/scenario_tx-10s_rot-5min.csv,2,TAG_APPLE,2,1800.0,,1319.4489999999937,2,0.0,0.0,0.0,False,False,False,False,False,11,
