src_file,cluster,dev_type,segments,duration_cov,unique_macs,turnover,singleton_mac_frac,mac_rate_per_min,core_mac_density_scaled,adv_mac_pct,gt_frac,tx_s,rot_s,tx_tok,rot_tok,pass_dens_ge_0.25,pass_dens_ge_0.5,pass_dens_ge_0.75,pass_dens_ge_1.0,pass_dens_ge_1.25,pass_dens_ge_1.5,pass_dens_ge_1.8,pass_dens_ge_2.0,pass_dens_ge_2.5,pass_dens_ge_3.0
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-10s.csv,2,TAG_APPLE,3,3600.0,2,0.5,0.5,0.03333333333333333,0.1258884000172547,1.0,1.0,60.0,10.0,1min,10s,False,False,False,False,False,False,False,False,False,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-15min.csv,0,TAG_APPLE,2,3600.0,1,0.0,0.0,0.016666666666666666,0.07029663782948924,1.0,1.0,60.0,900.0,1min,15min,False,False,False,False,False,False,False,False,False,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-1min.csv,0,TAG_APPLE,14,3600.0,13,0.9230769230769231,0.9230769230769231,0.21666666666666667,0.5395660131399661,0.7352941176470589,1.0,60.0,60.0,1min,1min,True,True,False,False,False,False,False,False,False,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-2s.csv,4,TAG_APPLE,2,1800.0,2,,1.0,0.06666666666666667,0.5393211382989188,1.0,1.0,60.0,2.0,1min,2s,True,True,False,False,False,False,False,False,False,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-30s.csv,6,TAG_APPLE,2,3600.0,2,1.0,1.0,0.03333333333333333,0.7017591021669417,1.0,1.0,60.0,30.0,1min,30s,True,True,False,False,False,False,False,False,False,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-5min.csv,4,TAG_APPLE,2,1800.0,2,,1.0,0.06666666666666667,0.23553197689229052,1.0,1.0,60.0,300.0,1min,5min,False,False,False,False,False,False,False,False,False,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-2s_rot-10s.csv,0,TAG_APPLE,8,1800.0,8,,1.0,0.26666666666666666,0.32676584421147664,0.9375,1.0,2.0,10.0,2s,10s,True,False,False,False,False,False,False,False,False,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-2s_rot-15min.csv,1,TAG_APPLE,3,3600.0,2,0.5,0.5,0.03333333333333333,0.23425419853078014,0.8526315789473684,1.0,2.0,900.0,2s,15min,False,False,False,False,False,False,False,False,False,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-2s_rot-1min.csv,1,TAG_APPLE,1,1800.0,1,,1.0,0.03333333333333333,6.666666622222222,1.0,1.0,2.0,60.0,2s,1min,True,True,True,True,True,True,True,True,True,True
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-2s_rot-2s.csv,0,TAG_APPLE,13,1800.0,13,,1.0,0.43333333333333335,0.6909842099740351,1.0,1.0,2.0,2.0,2s,2s,True,True,False,False,False,False,False,False,False,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-2s_rot-30s.csv,0,TAG_APPLE,8,3600.0,7,0.8571428571428572,0.8571428571428571,0.11666666666666667,0.7673002353494236,0.8571428571428571,1.0,2.0,30.0,2s,30s,True,True,True,False,False,False,False,False,False,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-2s_rot-5min.csv,1,TAG_APPLE,4,3600.0,3,0.6666666666666667,0.6666666666666666,0.05,0.5983512615980359,0.9681528662420382,1.0,2.0,300.0,2s,5min,True,True,False,False,False,False,False,False,False,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-30s_rot-10s.csv,3,TAG_APPLE,1,1800.0,1,,1.0,0.03333333333333333,6.666666622222222,1.0,1.0,30.0,10.0,30s,10s,True,True,True,True,True,True,True,True,True,True
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-30s_rot-15min.csv,2,TAG_APPLE,2,1800.0,2,,1.0,0.06666666666666667,0.3921909847920757,1.0,1.0,30.0,900.0,30s,15min,True,False,False,False,False,False,False,False,False,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-30s_rot-1min.csv,0,TAG_APPLE,17,3600.0,14,0.7857142857142857,0.7857142857142857,0.23333333333333334,0.5411172666146757,0.84375,1.0,30.0,60.0,30s,1min,True,True,False,False,False,False,False,False,False,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-30s_rot-2s.csv,5,TAG_APPLE,1,1800.0,1,,1.0,0.03333333333333333,6.666666622222222,1.0,1.0,30.0,2.0,30s,2s,True,True,True,True,True,True,True,True,True,True
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-30s_rot-30s.csv,0,TAG_APPLE,17,3600.0,14,0.7857142857142857,0.7857142857142857,0.23333333333333334,0.5294117374993571,0.84375,1.0,30.0,30.0,30s,30s,True,True,False,False,False,False,False,False,False,False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-30s_rot-5min.csv,0,TAG_APPLE,2,3600.0,2,1.0,1.0,0.03333333333333333,0.22611890856354105,1.0,1.0,30.0,300.0,30s,5min,False,False,False,False,False,False,False,False,False,False
controlled/SDR_Adv/tobos1.csv,3,TAG_GOOGLE,3,1800.0,3,,1.0,0.1,0.378625770824121,0.0,0.0,,,,,True,False,False,False,False,False,False,False,False,False
controlled/SDR_Adv/tobos2.csv,1,TAG_APPLE,1,1800.0,1,,1.0,0.03333333333333333,6.666666622222222,0.0,0.0,,,,,True,True,True,True,True,True,True,True,True,True
controlled/SDR_Adv/tony.csv,4,TAG_GOOGLE,1,1800.0,1,,1.0,0.03333333333333333,6.666666622222222,0.0,0.0,,,,,True,True,True,True,True,True,True,True,True,True
