src_file,periodic,block_s,step_s,n_blocks,periodic_confirm_min_blocks,periodic_link_max_cfo_dist,periodic_density_mode,periodic_density_pctl,periodic_density_min,blocks,confirmed_any
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-2s_rot-2s.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-2s_rot-2s.csv', 'n_segments': 30, 'gt_adv_mac_count': 15, 'n_clusters': 3, 'n_ranked': 3, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-2s_rot-2s.csv', 'n_segments': 31, 'gt_adv_mac_count': 15, 'n_clusters': 4, 'n_ranked': 4, 'confirmed_any': False, 'density_min': 0.5}]",False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-2s_rot-30s.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-2s_rot-30s.csv', 'n_segments': 20, 'gt_adv_mac_count': 15, 'n_clusters': 2, 'n_ranked': 2, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-2s_rot-30s.csv', 'n_segments': 21, 'gt_adv_mac_count': 15, 'n_clusters': 5, 'n_ranked': 4, 'confirmed_any': False, 'density_min': 0.5}]",False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-2s_rot-5min.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-2s_rot-5min.csv', 'n_segments': 9, 'gt_adv_mac_count': 6, 'n_clusters': 2, 'n_ranked': 2, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-2s_rot-5min.csv', 'n_segments': 17, 'gt_adv_mac_count': 3, 'n_clusters': 5, 'n_ranked': 3, 'confirmed_any': False, 'density_min': 0.5}]",False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-30s_rot-10s.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-30s_rot-10s.csv', 'n_segments': 19, 'gt_adv_mac_count': 15, 'n_clusters': 4, 'n_ranked': 2, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-30s_rot-10s.csv', 'n_segments': 20, 'gt_adv_mac_count': 15, 'n_clusters': 6, 'n_ranked': 4, 'confirmed_any': False, 'density_min': 0.5}]",False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-30s_rot-15min.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-30s_rot-15min.csv', 'n_segments': 9, 'gt_adv_mac_count': 2, 'n_clusters': 4, 'n_ranked': 2, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-30s_rot-15min.csv', 'n_segments': 16, 'gt_adv_mac_count': 1, 'n_clusters': 4, 'n_ranked': 1, 'confirmed_any': False, 'density_min': 0.5}]",False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-30s_rot-1min.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-30s_rot-1min.csv', 'n_segments': 19, 'gt_adv_mac_count': 15, 'n_clusters': 2, 'n_ranked': 1, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-30s_rot-1min.csv', 'n_segments': 19, 'gt_adv_mac_count': 12, 'n_clusters': 2, 'n_ranked': 2, 'confirmed_any': False, 'density_min': 0.5}]",False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-30s_rot-2s.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-30s_rot-2s.csv', 'n_segments': 19, 'gt_adv_mac_count': 15, 'n_clusters': 2, 'n_ranked': 1, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-30s_rot-2s.csv', 'n_segments': 20, 'gt_adv_mac_count': 15, 'n_clusters': 7, 'n_ranked': 3, 'confirmed_any': False, 'density_min': 0.5}]",False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-30s_rot-30s.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-30s_rot-30s.csv', 'n_segments': 19, 'gt_adv_mac_count': 15, 'n_clusters': 2, 'n_ranked': 1, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-30s_rot-30s.csv', 'n_segments': 20, 'gt_adv_mac_count': 15, 'n_clusters': 3, 'n_ranked': 3, 'confirmed_any': False, 'density_min': 0.5}]",False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-30s_rot-5min.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-30s_rot-5min.csv', 'n_segments': 11, 'gt_adv_mac_count': 6, 'n_clusters': 2, 'n_ranked': 1, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-30s_rot-5min.csv', 'n_segments': 16, 'gt_adv_mac_count': 3, 'n_clusters': 6, 'n_ranked': 3, 'confirmed_any': False, 'density_min': 0.5}]",False
controlled/SDR_Adv/tobos1.csv,True,1800.0,1800.0,1,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/tobos1.csv', 'n_segments': 12, 'gt_adv_mac_count': 0, 'n_clusters': 5, 'n_ranked': 5, 'confirmed_any': False, 'density_min': 0.5}]",False
controlled/SDR_Adv/tobos2.csv,True,1800.0,1800.0,5,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/tobos2.csv', 'n_segments': 11, 'gt_adv_mac_count': 0, 'n_clusters': 4, 'n_ranked': 3, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/tobos2.csv', 'n_segments': 12, 'gt_adv_mac_count': 0, 'n_clusters': 4, 'n_ranked': 3, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/tobos2.csv', 'n_segments': 9, 'gt_adv_mac_count': 0, 'n_clusters': 4, 'n_ranked': 2, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/tobos2.csv', 'n_segments': 8, 'gt_adv_mac_count': 0, 'n_clusters': 4, 'n_ranked': 2, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/tobos2.csv', 'n_segments': 3, 'gt_adv_mac_count': 0, 'n_clusters': 0, 'n_ranked': 0, 'confirmed_any': False, 'density_min': 0.5, 'block_start': 7200.0, 'block_end': 9000.0}]",False
controlled/SDR_Adv/tony.csv,True,1800.0,1800.0,3,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/tony.csv', 'n_segments': 51, 'gt_adv_mac_count': 0, 'n_clusters': 5, 'n_ranked': 4, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/tony.csv', 'n_segments': 33, 'gt_adv_mac_count': 0, 'n_clusters': 6, 'n_ranked': 5, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/tony.csv', 'n_segments': 10, 'gt_adv_mac_count': 0, 'n_clusters': 5, 'n_ranked': 2, 'confirmed_any': False, 'density_min': 0.5}]",True
