src_file,periodic,block_s,step_s,n_blocks,periodic_confirm_min_blocks,periodic_link_max_cfo_dist,periodic_density_mode,periodic_density_pctl,periodic_density_min,blocks,confirmed_any
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-10s_rot-5min.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-10s_rot-5min.csv', 'n_segments': 11, 'gt_adv_mac_count': 6, 'n_clusters': 2, 'n_ranked': 1, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-10s_rot-5min.csv', 'n_segments': 16, 'gt_adv_mac_count': 3, 'n_clusters': 4, 'n_ranked': 2, 'confirmed_any': False, 'density_min': 0.5}]",True
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-15s_rot-10s.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-15s_rot-10s.csv', 'n_segments': 21, 'gt_adv_mac_count': 15, 'n_clusters': 3, 'n_ranked': 2, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-15s_rot-10s.csv', 'n_segments': 21, 'gt_adv_mac_count': 15, 'n_clusters': 2, 'n_ranked': 2, 'confirmed_any': False, 'density_min': 0.5}]",True
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-15s_rot-15min.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-15s_rot-15min.csv', 'n_segments': 9, 'gt_adv_mac_count': 2, 'n_clusters': 6, 'n_ranked': 1, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-15s_rot-15min.csv', 'n_segments': 16, 'gt_adv_mac_count': 1, 'n_clusters': 4, 'n_ranked': 1, 'confirmed_any': False, 'density_min': 0.5}]",True
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-15s_rot-1min.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-15s_rot-1min.csv', 'n_segments': 18, 'gt_adv_mac_count': 15, 'n_clusters': 2, 'n_ranked': 1, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-15s_rot-1min.csv', 'n_segments': 18, 'gt_adv_mac_count': 12, 'n_clusters': 3, 'n_ranked': 2, 'confirmed_any': False, 'density_min': 0.5}]",False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-15s_rot-2s.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-15s_rot-2s.csv', 'n_segments': 20, 'gt_adv_mac_count': 15, 'n_clusters': 3, 'n_ranked': 2, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-15s_rot-2s.csv', 'n_segments': 21, 'gt_adv_mac_count': 15, 'n_clusters': 7, 'n_ranked': 5, 'confirmed_any': False, 'density_min': 0.5}]",False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-15s_rot-30s.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-15s_rot-30s.csv', 'n_segments': 19, 'gt_adv_mac_count': 15, 'n_clusters': 2, 'n_ranked': 1, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-15s_rot-30s.csv', 'n_segments': 20, 'gt_adv_mac_count': 15, 'n_clusters': 5, 'n_ranked': 4, 'confirmed_any': False, 'density_min': 0.5}]",False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-15s_rot-5min.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-15s_rot-5min.csv', 'n_segments': 11, 'gt_adv_mac_count': 6, 'n_clusters': 2, 'n_ranked': 1, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-15s_rot-5min.csv', 'n_segments': 15, 'gt_adv_mac_count': 3, 'n_clusters': 4, 'n_ranked': 1, 'confirmed_any': False, 'density_min': 0.5}]",False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-10s.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-10s.csv', 'n_segments': 18, 'gt_adv_mac_count': 15, 'n_clusters': 3, 'n_ranked': 1, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-10s.csv', 'n_segments': 18, 'gt_adv_mac_count': 11, 'n_clusters': 5, 'n_ranked': 4, 'confirmed_any': False, 'density_min': 0.5}]",False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-15min.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-15min.csv', 'n_segments': 8, 'gt_adv_mac_count': 2, 'n_clusters': 4, 'n_ranked': 1, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-15min.csv', 'n_segments': 16, 'gt_adv_mac_count': 1, 'n_clusters': 3, 'n_ranked': 2, 'confirmed_any': False, 'density_min': 0.5}]",False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-1min.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-1min.csv', 'n_segments': 19, 'gt_adv_mac_count': 15, 'n_clusters': 3, 'n_ranked': 2, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-1min.csv', 'n_segments': 16, 'gt_adv_mac_count': 11, 'n_clusters': 5, 'n_ranked': 4, 'confirmed_any': False, 'density_min': 0.5}]",True
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-2s.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-2s.csv', 'n_segments': 19, 'gt_adv_mac_count': 15, 'n_clusters': 3, 'n_ranked': 2, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-2s.csv', 'n_segments': 16, 'gt_adv_mac_count': 11, 'n_clusters': 6, 'n_ranked': 3, 'confirmed_any': False, 'density_min': 0.5}]",False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-30s.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-30s.csv', 'n_segments': 18, 'gt_adv_mac_count': 15, 'n_clusters': 3, 'n_ranked': 2, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-30s.csv', 'n_segments': 18, 'gt_adv_mac_count': 11, 'n_clusters': 7, 'n_ranked': 4, 'confirmed_any': False, 'density_min': 0.5}]",False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-5min.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-5min.csv', 'n_segments': 11, 'gt_adv_mac_count': 6, 'n_clusters': 4, 'n_ranked': 1, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-1min_rot-5min.csv', 'n_segments': 18, 'gt_adv_mac_count': 3, 'n_clusters': 6, 'n_ranked': 4, 'confirmed_any': False, 'density_min': 0.5}]",False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-2s_rot-10s.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-2s_rot-10s.csv', 'n_segments': 24, 'gt_adv_mac_count': 15, 'n_clusters': 2, 'n_ranked': 2, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-2s_rot-10s.csv', 'n_segments': 24, 'gt_adv_mac_count': 15, 'n_clusters': 2, 'n_ranked': 2, 'confirmed_any': False, 'density_min': 0.5}]",False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-2s_rot-15min.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-2s_rot-15min.csv', 'n_segments': 6, 'gt_adv_mac_count': 2, 'n_clusters': 2, 'n_ranked': 1, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-2s_rot-15min.csv', 'n_segments': 15, 'gt_adv_mac_count': 1, 'n_clusters': 3, 'n_ranked': 1, 'confirmed_any': False, 'density_min': 0.5}]",False
controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-2s_rot-1min.csv,True,1800.0,1800.0,2,2,0.5,fixed,0.97,0.5,"[{'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-2s_rot-1min.csv', 'n_segments': 18, 'gt_adv_mac_count': 15, 'n_clusters': 2, 'n_ranked': 1, 'confirmed_any': False, 'density_min': 0.5}, {'src_file': 'controlled/SDR_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085817/scenario_tx-2s_rot-1min.csv', 'n_segments': 19, 'gt_adv_mac_count': 12, 'n_clusters': 4, 'n_ranked': 3, 'confirmed_any': False, 'density_min': 0.5}]",True
