chunk_idx,t_s,t_e,mac,n_rows,seg_CFO_Hz,seg_CFO_00_Hz,seg_CFO_11_Hz,seg_CFO_10_Hz,seg_CFO_01_Hz,cluster,is_flagged_cluster
0,0.0,900.0,F6:79:C9:8C:42:6A,1,-6112.0,143780.0,-138213.0,120308.0,-132412.0,0,1
0,0.0,900.0,F5:00:0B:6F:0F:F5,1,1538.0,83394.0,-124835.0,95890.0,-96578.0,0,1
0,0.0,900.0,D2:F5:2B:0D:58:D2,1,18228.0,111439.0,-83881.0,112563.0,-106172.0,0,1
0,0.0,900.0,CC:1C:7F:E8:BC:6D,1,-22079.0,135383.0,-149240.0,111855.0,-111249.0,0,1
0,0.0,900.0,DB:A7:0A:61:5D:2E,1,-15050.0,127366.0,-142488.0,100586.0,-103927.0,0,1
0,0.0,900.0,F3:AB:4D:49:13:9B,1,21994.0,128725.0,-50412.0,93230.0,-67591.0,-1,0
0,0.0,900.0,F9:CA:66:DA:98:5F,1,-24839.0,99691.0,-100055.0,115852.0,-115724.0,-1,0
0,0.0,900.0,D0:EA:87:EE:9B:58,1,-30045.0,132438.0,-141415.0,116472.0,-119565.0,0,1
0,0.0,900.0,D1:60:A0:28:56:76,1,-18973.0,82382.0,-105546.0,71172.0,-113935.0,-1,0
0,0.0,900.0,CF:FC:41:37:65:F2,1,-32601.0,112317.0,-109855.0,117425.0,-112526.0,-1,0
0,0.0,900.0,E9:F5:C9:AA:CA:B4,1,-10366.0,120201.0,-127402.0,95833.0,-108569.0,0,1
0,0.0,900.0,CB:16:D4:FC:5D:59,1,-37444.0,96990.0,-106557.0,81646.0,-105526.0,-1,0
0,0.0,900.0,C3:A8:B8:53:83:41,1,270.0,111566.0,-107822.0,99307.0,-124763.0,0,1
0,0.0,900.0,D3:F5:A7:35:42:72,1,30857.0,163213.0,-124952.0,133216.0,-114870.0,-1,0
0,0.0,900.0,DD:F7:7F:E7:81:E1,12,-4919.5,127305.33333333333,-104062.66666666667,96777.66666666667,-105854.41666666667,0,1
0,0.0,900.0,EA:91:8B:3C:AA:7E,1,15546.0,157440.0,-145556.0,116537.0,-108553.0,0,1
0,0.0,900.0,C7:62:4A:42:9A:45,1,-49301.0,103024.0,-109082.0,66507.0,-89234.0,-1,0
0,0.0,900.0,CD:AD:69:B0:E1:04,17,-22723.41176470588,117572.4705882353,-127027.0,104104.11764705883,-97077.4705882353,0,1
0,0.0,900.0,C7:45:85:00:D5:88,11,-16313.09090909091,136550.45454545456,-117566.81818181818,110955.18181818182,-109818.63636363637,0,1
0,0.0,900.0,E2:7D:AE:92:80:50,2,-41702.5,122384.0,-131929.0,92263.5,-101615.5,0,1
