idx,mac,cluster,t
116,E9:E0:F5:D9:0D:AC,3,1760148126.007508
117,E8:DC:4C:47:ED:06,3,1760148126.009803
118,F7:8F:C1:10:E6:75,3,1760148126.014782
119,F7:8F:C1:10:E6:75,3,1760148126.014926
120,D7:80:75:4B:C7:23,3,1760148126.021741
121,D7:80:75:4B:C7:23,3,1760148126.021780
122,D7:80:75:4B:C7:23,3,1760148126.021920
123,D7:80:75:4B:C7:23,3,1760148126.021953
124,6F:BD:31:06:60:8F,0,1760148126.024350
125,6F:BD:31:06:60:8F,0,1760148126.024393
126,F0:9B:FA:B6:46:83,3,1760148126.025230
127,F0:9B:FA:B6:46:83,3,1760148126.025370
128,49:25:F4:02:F1:57,0,1760148126.047470
129,49:25:F4:02:F1:57,0,1760148126.047542
130,58:1D:3E:9A:9C:CF,0,1760148126.057085
131,58:1D:3E:9A:9C:CF,0,1760148126.057341
132,67:1B:76:98:F8:0A,0,1760148126.060006
133,67:1B:76:98:F8:0A,0,1760148126.060085
134,67:1B:76:98:F8:0A,0,1760148126.060246
135,67:1B:76:98:F8:0A,0,1760148126.060279
136,6F:BD:31:06:60:8F,1,1760148126.065350
137,49:25:F4:02:F1:57,3,1760148126.102211
138,49:25:F4:02:F1:57,3,1760148126.102290
139,49:25:F4:02:F1:57,3,1760148126.102441
140,49:25:F4:02:F1:57,3,1760148126.102478
141,6F:BD:31:06:60:8F,0,1760148126.105479
142,E3:1B:F1:68:13:83,3,1760148126.108083
143,58:1D:3E:9A:9C:CF,3,1760148126.111268
144,58:1D:3E:9A:9C:CF,3,1760148126.111421
145,67:1B:76:98:F8:0A,3,1760148126.115405
146,67:1B:76:98:F8:0A,3,1760148126.115442
147,FB:03:54:DD:28:BC,0,1760148126.118408
148,FB:03:54:DD:28:BC,0,1760148126.118453
149,FB:03:54:DD:28:BC,3,1760148126.118621
150,FB:03:54:DD:28:BC,3,1760148126.118659
151,E8:E7:6B:AB:25:1B,0,1760148126.128129
152,E8:E7:6B:AB:25:1B,3,1760148126.128305
153,49:25:F4:02:F1:57,5,1760148126.156970
154,61:32:E8:60:D5:55,5,1760148126.165985
155,49:25:F4:02:F1:57,0,1760148126.211418
156,49:25:F4:02:F1:57,2,1760148126.211621
157,6F:BD:31:06:60:8F,2,1760148126.216089
158,61:32:E8:60:D5:55,0,1760148126.221401
159,58:1D:3E:9A:9C:CF,0,1760148126.222582
160,58:1D:3E:9A:9C:CF,0,1760148126.222742
161,EE:A8:E4:DF:CD:E9,2,1760148126.222940
162,67:1B:76:98:F8:0A,0,1760148126.225764
163,67:1B:76:98:F8:0A,0,1760148126.225927
164,CA:18:06:4A:A6:34,4,1760148126.255618
165,CA:18:06:4A:A6:34,4,1760148126.255695
166,6F:BD:31:06:60:8F,4,1760148126.256644
167,49:25:F4:02:F1:57,4,1760148126.266549
168,49:25:F4:02:F1:57,4,1760148126.266593
169,58:1D:3E:9A:9C:CF,4,1760148126.276996
170,58:1D:3E:9A:9C:CF,4,1760148126.277087
171,58:1D:3E:9A:9C:CF,3,1760148126.277247
172,58:1D:3E:9A:9C:CF,3,1760148126.277280
173,67:1B:76:98:F8:0A,4,1760148126.281401
174,67:1B:76:98:F8:0A,4,1760148126.281443
175,67:1B:76:98:F8:0A,3,1760148126.281595
176,6F:BD:31:06:60:8F,4,1760148126.286485
177,49:25:F4:02:F1:57,0,1760148126.322421
178,49:25:F4:02:F1:57,0,1760148126.322509
179,49:25:F4:02:F1:57,0,1760148126.322665
180,49:25:F4:02:F1:57,0,1760148126.322707
181,6F:BD:31:06:60:8F,0,1760148126.327771
182,6F:BD:31:06:60:8F,0,1760148126.327827
183,58:1D:3E:9A:9C:CF,0,1760148126.332518
184,67:1B:76:98:F8:0A,0,1760148126.336029
185,67:1B:76:98:F8:0A,0,1760148126.336190
186,49:25:F4:02:F1:57,3,1760148126.377099
187,49:25:F4:02:F1:57,3,1760148126.377170
188,49:25:F4:02:F1:57,3,1760148126.377325
189,49:25:F4:02:F1:57,3,1760148126.377363
190,58:1D:3E:9A:9C:CF,3,1760148126.387400
191,61:32:E8:60:D5:55,3,1760148126.387935
192,61:32:E8:60:D5:55,3,1760148126.388098
193,E9:E0:F5:D9:0D:AC,0,1760148126.416466
194,E9:E0:F5:D9:0D:AC,0,1760148126.416533
195,E8:DC:4C:47:ED:06,0,1760148126.418460
196,E8:DC:4C:47:ED:06,0,1760148126.418610
197,E8:DC:4C:47:ED:06,0,1760148126.418643
198,D7:80:75:4B:C7:23,0,1760148126.431490
199,D7:80:75:4B:C7:23,0,1760148126.431637
200,49:25:F4:02:F1:57,0,1760148126.432801
201,49:25:F4:02:F1:57,0,1760148126.432842
202,F0:9B:FA:B6:46:83,0,1760148126.434490
203,F0:9B:FA:B6:46:83,0,1760148126.434529
204,F0:9B:FA:B6:46:83,0,1760148126.434674
205,E8:55:CC:56:2A:8F,0,1760148126.435206
206,E8:55:CC:56:2A:8F,0,1760148126.435349
207,E8:55:CC:56:2A:8F,0,1760148126.435381
208,49:25:F4:02:F1:57,4,1760148126.487718
209,49:25:F4:02:F1:57,4,1760148126.487795
210,67:1B:76:98:F8:0A,4,1760148126.511667
211,FB:03:54:DD:28:BC,4,1760148126.528609
212,FB:03:54:DD:28:BC,0,1760148126.528807
213,E8:E7:6B:AB:25:1B,4,1760148126.538195
214,E8:E7:6B:AB:25:1B,4,1760148126.538264
215,E8:E7:6B:AB:25:1B,0,1760148126.538496
216,E8:E7:6B:AB:25:1B,0,1760148126.538538
217,49:25:F4:02:F1:57,4,1760148126.544352
218,49:25:F4:02:F1:57,4,1760148126.544402
219,49:25:F4:02:F1:57,4,1760148126.544557
220,49:25:F4:02:F1:57,4,1760148126.544597
221,67:1B:76:98:F8:0A,0,1760148126.568770
222,67:1B:76:98:F8:0A,0,1760148126.568847
223,48:AA:0E:B6:D0:47,0,1760148126.580755
224,4F:B6:DD:D5:1E:A1,0,1760148126.582165
225,78:9E:9A:5C:E5:31,0,1760148126.582689
226,6F:BD:31:06:60:8F,0,1760148126.591665
227,49:25:F4:02:F1:57,4,1760148126.611148
228,49:25:F4:02:F1:57,4,1760148126.611221
229,49:25:F4:02:F1:57,3,1760148126.611379
230,49:25:F4:02:F1:57,3,1760148126.611421
231,58:1D:3E:9A:9C:CF,4,1760148126.620739
232,58:1D:3E:9A:9C:CF,4,1760148126.620897
233,67:1B:76:98:F8:0A,4,1760148126.624403
234,67:1B:76:98:F8:0A,4,1760148126.624560
235,67:1B:76:98:F8:0A,4,1760148126.624598
236,6F:BD:31:06:60:8F,3,1760148126.632031
237,EE:A8:E4:DF:CD:E9,0,1760148126.634203
238,49:25:F4:02:F1:57,2,1760148126.665748
239,49:25:F4:02:F1:57,2,1760148126.665830
240,CA:18:06:4A:A6:34,2,1760148126.667343
241,67:1B:76:98:F8:0A,2,1760148126.679623
242,67:1B:76:98:F8:0A,2,1760148126.679788
243,6F:BD:31:06:60:8F,4,1760148126.713909
244,49:25:F4:02:F1:57,1,1760148126.720260
245,49:25:F4:02:F1:57,1,1760148126.720304
