timestamp,AdvA,payload,CFO_Hz,CFO_00_Hz,CFO_11_Hz,CFO_10_Hz,CFO_01_Hz,CFO_from_transitions_Hz,nprod_00,nprod_11,nprod_10,nprod_01,nprod_total,crc_ok,is_tag_ecosystem,pdu_type,pdu_type_name,length,channel,phase,polarity,slip,window_start,window_end,aa_pos,aa_corr,pre_corr,cfo_window,eco
0.0,7f:cf:e8:47:b1:70,70b147e8cf7f0201021816aafe40b337f97a60db21556e0b13e8ffb8dd5a778ffecc,-23806.0,72525.0,-78944.0,55778.0,-112615.0,,0,0,0,0,0,1,1,0,ADV_IND,34,37,15,-1,0,-1,-1,3791,32,8,unknown,GOOGLE
2.180000000007567,d6:7e:b9:4a:46:5f,5f464ab97ed61eff4c00121900923bedf51c910d1d694fd87bc515af1e58bae609dafb0300,541.0,76423.0,-122447.0,105394.0,-123708.0,,0,0,0,0,0,1,1,2,ADV_NONCONN_IND,37,37,15,-1,0,-1,-1,4598,31,8,unknown,APPLE
2.180000000007567,ec:1c:ee:b2:6c:08,086cb2ee1cec1eff4c001219004ea70bc17e938a2efea751cbc79c3d5f06b79a4bc3b50000,-49551.0,54008.0,-99789.0,69477.0,-138320.0,,0,0,0,0,0,1,1,2,ADV_NONCONN_IND,37,37,8,-1,0,-1,-1,7067,32,8,unknown,APPLE
4.398000000001048,e4:1a:b5:f0:64:7e,7e64f0b51ae41eff4c001219006d91970299715f683b1cac641f668012dbd2af278b060000,-27655.0,52406.0,-98694.0,66941.0,-125098.0,,0,0,0,0,0,1,1,2,ADV_NONCONN_IND,37,37,6,-1,0,-1,-1,4329,31,8,unknown,APPLE
5.938999999998487,7f:cf:e8:47:b1:70,70b147e8cf7f0201021816aafe40b337f97a60db21556e0b13e8ffb8dd5a778ffecc,0.0,76468.0,-92828.0,66596.0,-115960.0,,0,0,0,0,0,1,1,0,ADV_IND,34,37,7,-1,0,-1,-1,3437,32,8,unknown,GOOGLE
6.522000000011758,ec:1c:ee:b2:6c:08,086cb2ee1cec1eff4c001219004ea70bc17e938a2efea751cbc79c3d5f06b79a4bc3b50000,-38450.0,80386.0,-103381.0,84469.0,-140110.0,,0,0,0,0,0,1,1,2,ADV_NONCONN_IND,37,37,7,-1,0,-1,-1,6160,32,8,unknown,APPLE
8.301000000006752,7f:cf:e8:47:b1:70,70b147e8cf7f0201021816aafe40b337f97a60db21556e0b13e8ffb8dd5a778ffecc,-24609.0,72359.0,-88658.0,62911.0,-119476.0,,0,0,0,0,0,1,1,0,ADV_IND,34,37,10,-1,0,-1,-1,6427,32,8,unknown,GOOGLE
8.301000000006752,ec:1c:ee:b2:6c:08,086cb2ee1cec1eff4c001219004ea70bc17e938a2efea751cbc79c3d5f06b79a4bc3b50000,-56186.0,75729.0,-108152.0,76817.0,-144199.0,,0,0,0,0,0,1,1,2,ADV_NONCONN_IND,37,37,12,-1,0,-1,-1,6079,32,8,unknown,APPLE
8.301000000006752,e4:1a:b5:f0:64:7e,7e64f0b51ae41eff4c001219006d91970299715f683b1cac641f668012dbd2af278b060000,-35419.0,43117.0,-77240.0,67997.0,-142444.0,,0,0,0,0,0,1,1,2,ADV_NONCONN_IND,37,37,2,-1,0,-1,-1,6902,32,8,unknown,APPLE
10.306000000011409,7f:cf:e8:47:b1:70,70b147e8cf7f0201021816aafe40b337f97a60db21556e0b13e8ffb8dd5a778ffecc,-29225.0,78648.0,-101961.0,67353.0,-133645.0,,0,0,0,0,0,1,1,0,ADV_IND,34,37,6,-1,0,-1,-1,5771,32,8,unknown,GOOGLE
