mac,count,cfo_hz_median,cfo_hz_iqr,iq_gain_alpha_median,iq_gain_alpha_iqr,psd_pnr_db_median,bw_3db_hz_median
73:46:B4:54:AA:39,355,-1204.96,36914.6,1.00514,0.051358,11.0972,727083
ED:D5:E4:05:38:86,34,-8638.99,39345.8,1.00877,0.0499802,10.1067,889031
