timestamp,mobile_timestamp,source_file,mobile_lat,mobile_lon,mobile_accuracy_m,AdvA,payload,CFO_Hz,CFO_00_Hz,CFO_11_Hz,CFO_10_Hz,CFO_01_Hz,CFO_from_transitions_Hz,nprod_00,nprod_11,nprod_10,nprod_01,nprod_total,crc_ok,is_tag_ecosystem,pdu_type,pdu_type_name,length,channel,phase,polarity,slip,window_start,window_end,aa_pos,aa_corr,pre_corr,cfo_window,eco,_adv_tag,_group_key
0.0,1769564695.5647752,Work_to_home_gym.csv,42.3448023,-71.0825832,16.659,f3:49:0e:70:b1:4f,4fb1700e49f31eff4c001219608434fdca3a55c04502431e8e2bffe72a32dbfecb67a300e3,-27943.239530012823,163518.49584394367,-191341.35645205545,135602.21397343202,-176431.85092908176,-17124.889148394723,509,552,498,504,2063,1,1,0,ADV_IND,37,37,4,-1,0,1021642,1022276,55,32,8,pre_aa_hdr_payload,APPLE,,
1.0692918300628662,1769564696.634067,Work_to_home_gym.csv,42.3448023,-71.0825832,16.659,d1:b1:34:b4:38:1b,1b38b434b1d11eff4c00121960a64d21aba34123ece43b76925f63ee87f65455028f9a0290,-51265.03076506256,173218.71732210205,-206619.8680878213,139460.5193229894,-187135.67674950132,-31353.01175645257,443,594,510,516,2063,1,1,0,ADV_IND,37,37,4,-1,0,1139665,1140300,55,32,8,pre_aa_hdr_payload,APPLE,,
1.0707404613494873,1769564696.6355157,Work_to_home_gym.csv,42.3448023,-71.0825832,16.659,c6:53:0a:64:9c:50,509c640a53c61eff4c001219aa51360473599ae9c5b3bb5a246be6ab906f63e61d7f950169,-11824.04998287292,146759.52620133388,-168964.45688532834,111475.31429325372,-172873.97719577808,-22514.213136345832,527,468,534,534,2063,1,1,0,ADV_IND,37,37,2,-1,0,1141612,1142246,56,32,8,pre_aa_hdr_payload,APPLE,,
1.074246883392334,1769564696.639022,Work_to_home_gym.csv,42.3448023,-71.0825832,16.659,d5:9a:10:a7:00:5f,5f00a7109ad51eff4c001219509f2cc0b6959632bbc81ee0c4ec6d48f93bee9c6ce17302e5,-20144.28940016836,132311.84095602325,-214468.62299140252,122661.516845846,-167435.08686686013,-24393.39155250764,527,450,540,546,2063,1,1,0,ADV_IND,37,37,5,-1,0,1146325,1146960,55,32,8,pre_aa_hdr_payload,APPLE,,
1.078425645828247,1769564696.6432009,Work_to_home_gym.csv,42.3448023,-71.0825832,16.659,f5:e6:a8:78:9b:f3,f39b78a8e6f51eff4c001219601811d8b1fc0f2932103dc470c0231fa4470cde5b3317024e,-14324.904185574294,151907.07900236352,-193736.40481175765,123402.81736925346,-172067.9288941536,-18784.0765490493,527,492,522,522,2063,1,1,0,ADV_IND,37,37,5,-1,0,1151942,1152577,55,32,8,pre_aa_hdr_payload,APPLE,,
1.5098052024841309,1769564697.0745804,Work_to_home_gym.csv,42.3448023,-71.0825832,16.659,c4:cd:3d:a0:52:50,5052a03dcdc41eff4c00121900c491bba3a1d4758ffa5db1fbb0275128be24fcc5c9560100,-51030.09004421305,123352.31619567562,-223102.2805165636,118925.26278422136,-189665.53863202225,-43882.7475827905,497,534,516,516,2063,1,1,2,ADV_NONCONN_IND,37,37,5,-1,0,1191106,1191740,55,32,8,pre_aa_hdr_payload,APPLE,,
2.240162134170532,1769564697.8049374,Work_to_home_gym.csv,42.3448023,-71.0825832,16.659,d0:e0:91:26:75:31,31752691e0d01eff4c00121900c87ea9ac70522a914b84fb371de8d837ba0e584454810000,-40107.603688791554,146705.50763562444,-212056.63014605595,130288.83611288348,-195926.84346307843,-35193.40389056557,545,570,474,474,2063,1,1,2,ADV_NONCONN_IND,37,37,0,-1,0,1375078,1375712,56,32,8,pre_aa_hdr_payload,APPLE,,
2.55657172203064,1769564698.121347,Work_to_home_gym.csv,42.3448023,-71.0825832,16.659,f4:59:36:72:b6:e5,e5b6723659f41eff4c00121900a4e147a1323214314c659b8b3925e4ea42a88b34546f0100,-56856.97779473479,137959.22182371013,-234292.7908889116,113986.2701383789,-199769.2549408849,-40711.19955909606,533,594,468,468,2063,1,1,2,ADV_NONCONN_IND,37,37,4,-1,0,1396809,1397443,55,32,8,pre_aa_hdr_payload,APPLE,,
2.5714499950408936,1769564698.1362252,Work_to_home_gym.csv,42.3448023,-71.0825832,16.659,e2:eb:0f:0c:69:72,23422c7977f81eff4c001219fc6e666937e20ebad14cf88ea39fa58334a84330bf43c800fc,-56685.63965323613,80788.89337498472,-237983.5430741433,69641.24432694257,-204909.22957587388,-59691.02329526294,569,480,504,510,2063,1,1,2,ADV_NONCONN_IND,37,37,0,-1,0,1416807,1417442,56,32,8,pre_aa_hdr_payload,APPLE,4c001219fc,tag::4c001219fc
3.318941116333008,1769564698.8837163,Work_to_home_gym.csv,42.3448023,-71.0825832,16.659,c5:f6:3a:9f:dd:f3,f3dd9f3af6c51eff4c0012196041fd8d177a49a2a98c1991e2cab140443b6d80ef9e16020c,-66914.402903527,130600.61181522987,-203008.09089383093,114101.82961717558,-188637.02773784305,-46128.146541051625,353,558,576,576,2063,1,1,0,ADV_IND,37,37,0,-1,0,1512248,1512882,56,32,8,pre_aa_hdr_payload,APPLE,,
